"region","stockid","name","areaname","biomass_type","yrs","nyr","source"
"US/Canada East Coast","MENATLAN","Atlantic menhaden (Brevoortia tyrannus)","Atlantic","TB","1955-2016",62,"RAM Legacy Database"
"US/Canada East Coast","MENATGM","Gulf menhaden (Brevoortia patronus)","Gulf of Mexico","TB","1977-2011",35,"RAM Legacy Database"
"US/Canada East Coast","LISQUIDATLC","Longfin inshore squid (Doryteuthis pealeii)","Atlantic Coast","TB","1976-2009",34,"RAM Legacy Database"
"US/Canada East Coast","ILLEXNAFO3-4","Northern shortfin squid (Illex illecebrosus)","Subareas 3+4","TB","1970-2015",46,"Hendrickson and Showell 2016"
"US/Canada East Coast","ILLEXNWATLC","Northern shortfin squid (Illex illecebrosus)","Northwestern Atlantic Coast","TB","1967-2005",39,"RAM Legacy Database"
"US/Canada West Coast","NANCHSCAL","Northern anchovy (Engraulis mordax)","Southern California","SSB","1951-2011",61,"MacCall et al. 2016"
"US/Canada West Coast","CMACKPCOAST","Pacific chub mackerel (Scomber japonicus)","Pacific Coast","TB","1983-2015",33,"RAM Legacy Database"
"US/Canada West Coast","PHAKEPCOAST","Pacific hake (Merluccius productus)","Pacific Coast","SSB","1966-2016",51,"RAM Legacy Database"
"US/Canada West Coast","SARDPCOAST","Pacific sardine (Sardinops sagax)","Pacific Coast","TB","1994-2016",23,"RAM Legacy Database"
"US/Canada West Coast","ROCKSEFI1","Rockfish spp. (Sebastes spp.)","SE Farallon Island","Index","1980-1997",18,"Mills et al. 2007"
"US/Canada West Coast","ROCKSEFI2","Rockfish spp. (Sebastes spp.)","SE Farallon Island","Index","1983-1997",15,"Mills et al. 2007"
"US/Canada West Coast","ROCKSEFI3","Rockfish spp. (Sebastes spp.)","SE Farallon Island","Index","1987-2002",16,"Mills et al. 2007"
"US/Canada West Coast","WPOLLAI","Walleye pollock (Theragra chalcogramma)","Aleutian Islands","TB","1978-2015",38,"RAM Legacy Database"
"US/Canada West Coast","WPOLLBOGO","Walleye pollock (Theragra chalcogramma)","Bogoslof","TB","1990-2015",26,"RAM Legacy Database"
"US/Canada West Coast","WPOLLEBS","Walleye pollock (Theragra chalcogramma)","Eastern Bering Sea","TB","1964-2015",52,"RAM Legacy Database"
"US/Canada West Coast","WPOLLGA","Walleye pollock (Theragra chalcogramma)","Gulf of Alaska","TB","1970-2015",46,"RAM Legacy Database"
