source,stocklong,stockid,dietid,region,area,location,pred_type,class,order,family,species,comm_name,reference,n_units,n_yr,diet_yn,diet_prop,name,nprey,prey1,prey1_prop,nprey_impt,prey_impt,prey_impt_prop,prey_prop
Cury et al. (2011),African penguin W Cape (pairs),AFPENWCAPE,African penguin Benguela Current,Benguela Current,Benguela Current,W Cape,birds,Aves,Sphenisciformes,Spheniscidae,Spheniscus demersus,African penguin,Crawford et al 2008,pairs,20,Y,0.86,African penguin (Spheniscus demersus),1,Sardine/anchovy,0.86,1,Sardine/anchovy,0.86,0.86
Free et al. (in prep),Arctic tern Foula (occupied territory),ARCTERFOULA,Arctic tern Europe,Europe,Shetland Islands,Foula,birds,Aves,Ciconiiformes,Laridae,Sterna paradisaea,Arctic tern,JNCC Data,occupied territory,38,Y,1.75,Arctic tern (Sterna paradisaea),2,Lesser sand-eel,1,2,"Lesser sand-eel, Lesser sand-eel",1.75,1.75
Cury et al. (2011),Atlantic puffin Hernyken (apparently occupied burrows),APUFFHERNYKEN,Atlantic puffin Norwegian Sea,Norwegian Sea,Norwegian Sea,Hernyken,birds,Aves,Charadriiformes,Alcidae,Fratercula arctica,Atlantic puffin,Anker-Nilssen and Aarvak 2006,apparently occupied burrows,23,Y,0.56,Atlantic puffin (Fratercula arctica),1,Herring,0.56,1,Herring,0.56,0.56
Free et al. (in prep),Atlantic puffin Hernyken Island (number of occupied burrows),,Atlantic puffin Europe,Europe,Norwegian Sea,Hernyken Island,birds,Aves,Charadriiformes,Alcidae,Fratercula arctica,Atlantic puffin,Anker-Nilssen and Aarvak 2006 Tabell 3.1,number of occupied burrows,23,Y,2.762894872,Atlantic puffin (Fratercula arctica),7,Lesser sand-eel,0.818461538,4,"Atlantic herring (spring spawning), Atlantic herring (spring spawning), Lesser sand-eel, Lesser sand-eel",2.604661538,2.762894872
Free et al. (in prep),"Black-legged kittiwake Isle of May (nests, completed)",BLAKITISLMAY,Black-legged kittiwake Europe,Europe,Scotland,Isle of May,birds,Aves,Ciconiiformes,Laridae,Rissa tridactyla,Black-legged kittiwake,"Frederiksen et al 2004 Figure 1, Frederiksen et al 2004 Figure 3, Frederiksen et al 2004 Figure 5","nests, completed",28,Y,1.604325,Black-legged kittiwake (Rissa tridactyla),3,Lesser sand-eel,0.8315,3,"Atlantic herring (spring spawning), Lesser sand-eel, Sandeel spp.",1.604325,1.604325
Free et al. (in prep),"Black-legged kittiwake Vedoy (nests, occupied)",BLKVEDOY,Black-legged kittiwake Europe,Europe,Norway,Vedoy,birds,Aves,Ciconiiformes,Laridae,Rissa tridactyla,Black-legged kittiwake,Anker-Nilssen and Aarvak 2006,"nests, occupied",24,Y,1.604325,Black-legged kittiwake (Rissa tridactyla),3,Lesser sand-eel,0.8315,3,"Atlantic herring (spring spawning), Lesser sand-eel, Sandeel spp.",1.604325,1.604325
Hilborn et al. (2017),Brandt cormorant Gulf of Farallon Islands [nests (total)],BRACORFIF,Brandt cormorant NE Pacific,NE Pacific,California,Gulf of Farallon Islands,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax penicillatus,Brandt cormorant,Capitolo et al. 2014,nests (total),20,Y,0.289092593,Brandt cormorant (Phalacrocorax penicillatus),5,Northern anchovy,0.199925926,1,Northern anchovy,0.199925926,0.289092593
Hilborn et al. (2017),Brandt cormorant South Farallon Island [breeding adults],BRACORFIS,Brandt cormorant NE Pacific,NE Pacific,California,South Farallon Island,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax penicillatus,Brandt cormorant,Elliot et al. 2015,breeding adults,42,Y,0.289092593,Brandt cormorant (Phalacrocorax penicillatus),5,Northern anchovy,0.199925926,1,Northern anchovy,0.199925926,0.289092593
Hilborn et al. (2017),California gull Lake Mono [breeding adults],,California gull NE Pacific,NE Pacific,California,Lake Mono,birds,Aves,Ciconiiformes,Laridae,Larus californicus,California gull,Wrege et al. 2006,breeding adults,21,Y,0.667,California gull (Larus californicus),2,California market squid,0.5,2,"California market squid, Northern anchovy",0.667,0.667
Hilborn et al. (2017),California sea lion Southern SCB [abundance (total)],SEALIONSCBtot,California sea lion NE Pacific,NE Pacific,California,Southern SCB,mammals,Mammalia,Carnivora,Otariidae,Zalophus californianus,California sea lion,Lowry and Maravilla 2005,abundance (total),26,Y,0.311117949,California sea lion (Zalophus californianus),5,Northern anchovy,0.107333333,1,Northern anchovy,0.107333333,0.311117949
Hilborn et al. (2017),California sea lion Southern SCB [pups],SEALIONSCBpup,California sea lion NE Pacific,NE Pacific,California,Southern SCB,mammals,Mammalia,Carnivora,Otariidae,Zalophus californianus,California sea lion,NOAA 2011,pups,33,Y,0.311117949,California sea lion (Zalophus californianus),5,Northern anchovy,0.107333333,1,Northern anchovy,0.107333333,0.311117949
Cury et al. (2011),Cape gannet E Cape (pairs),CGANNETECAPE,Cape gannet Benguela Current,Benguela Current,Benguela Current,E Cape,birds,Aves,Suliformes,Sulidae,Morus capensis,Cape gannet,Crawford et al 2008,pairs,15,Y,0.61,Cape gannet (Morus capensis),1,Sardine/anchovy,0.61,1,Sardine/anchovy,0.61,0.61
Cury et al. (2011),Cape gannet W Cape (pairs),CGANNETWCAPE,Cape gannet Benguela Current,Benguela Current,Benguela Current,W Cape,birds,Aves,Suliformes,Sulidae,Morus capensis,Cape gannet,Crawford et al 2008,pairs,18,Y,0.61,Cape gannet (Morus capensis),1,Sardine/anchovy,0.61,1,Sardine/anchovy,0.61,0.61
Free et al. (in prep),Common guillemot All Shetland Islands colonies (index relative to 1978),COMGUISHETALL,Common guillemot Europe,Europe,Shetland Islands,All Shetland Islands colonies,birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,Dunnet and Heubeck 1995 Figure 8,index relative to 1978,18,Y,1.624488889,Common guillemot (Uria aalge),4,European sprat,0.6865,3,"European sprat, Lesser sand-eel, Sandeel spp.",1.592488889,1.624488889
Cury et al. (2011),Common guillemot Farallon (breeding adults),COMGUIFI,Common guillemot California Current,California Current,California Current,Farallon,birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,Warzybok et al 2014,breeding adults,26,Y,0.43,Common guillemot (Uria aalge),1,Rockfish spp.,0.43,1,Rockfish spp.,0.43,0.43
Hilborn et al. (2017),Common guillemot Southeast Farallons Island [breeding adults],COMGUIFISE,Common guillemot NE Pacific,NE Pacific,California,Southeast Farallons Island,birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,Lee et al. 2008,breeding adults,17,Y,0.921071429,Common guillemot (Uria aalge),3,Pacific hake,0.5425,3,"California market squid, Northern anchovy, Pacific hake",0.921071429,0.921071429
Hilborn et al. (2017),"Common guillemot UU Colony, Farallons Island [population index]",COMGUIFIUU,Common guillemot NE Pacific,NE Pacific,California,"UU Colony, Farallons Island",birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,Lee et al. 2008,population index,17,Y,0.921071429,Common guillemot (Uria aalge),3,Pacific hake,0.5425,3,"California market squid, Northern anchovy, Pacific hake",0.921071429,0.921071429
Hilborn et al. (2017),Elegant tern Isla Rasa [breeding pairs],,Elegant tern NE Pacific,NE Pacific,Gulf of California,Isla Rasa,birds,Aves,Ciconiiformes,Laridae,Thalasseus elegans,Elegant tern,Velarde et al. 2015,breeding pairs,35,Y,0.517895556,Elegant tern (Thalasseus elegans),4,Northern anchovy,0.42809,1,Northern anchovy,0.42809,0.517895556
Hilborn et al. (2017),Elegant tern San Diego Bay [breeding pairs],ELETERSDB,Elegant tern NE Pacific,NE Pacific,California,San Diego Bay,birds,Aves,Ciconiiformes,Laridae,Thalasseus elegans,Elegant tern,"Schaffner 1986, Velarde et al. 2015",breeding pairs,33,Y,0.517895556,Elegant tern (Thalasseus elegans),4,Northern anchovy,0.42809,1,Northern anchovy,0.42809,0.517895556
Cury et al. (2011),Gentoo penguin S Georgia (breeding pairs),,Gentoo penguin Scotia Sea,Scotia Sea,Scotia Sea,S Georgia,birds,Aves,Sphenisciformes,Spheniscidae,Pygoscelis papua,Gentoo penguin,Boyd and Murray 2001,breeding pairs,21,Y,0.525,Gentoo penguin (Pygoscelis papua),1,Krill,0.525,1,Krill,0.525,0.525
Hilborn et al. (2017),Grey seal Sable Islands [pup production],GSEALSABLEISL,Grey seal NW Atlantic,NW Atlantic,NW Atlantic,Sable Islands,mammals,Mammalia,Carnivora,Phocidae,Halichoerus grypus,Grey seal,Bowen et al. 2003,pup production,29,Y,0.273266667,Grey seal (Halichoerus grypus),3,Atlantic mackerel,0.162666667,1,Atlantic mackerel,0.162666667,0.273266667
Free et al. (in prep),Guanay cormorant 6-14°S (number of adults),GUACORPERU614S,Guanay cormorant Humboldt,Humboldt,Peru,6-14°S,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3,number of adults,30,Y,1.030828571,Guanay cormorant (Phalacrocorax bougainvillii),2,Peruvian anchoveta,0.695828571,2,"Peruvian anchoveta, Peruvian anchoveta",1.030828571,1.030828571
Free et al. (in prep),Guanay cormorant Peru (number of adults),GUACORPERU,Guanay cormorant Humboldt,Humboldt,Peru,Peru,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,IMARPE.Renato,number of adults,64,Y,1.030828571,Guanay cormorant (Phalacrocorax bougainvillii),2,Peruvian anchoveta,0.695828571,2,"Peruvian anchoveta, Peruvian anchoveta",1.030828571,1.030828571
Free et al. (in prep),Guanay cormorant Peruvian Sea (number of individuals),GUACORPERUSEA,Guanay cormorant Humboldt,Humboldt,Peru,Peruvian Sea,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,Jahncke 1998 Figuera 1,number of individuals,44,Y,1.030828571,Guanay cormorant (Phalacrocorax bougainvillii),2,Peruvian anchoveta,0.695828571,2,"Peruvian anchoveta, Peruvian anchoveta",1.030828571,1.030828571
Hilborn et al. (2017),Humpback whale CA/OR [abundance (total est.)],HUMPBACKCAOR,Humpback whale NE Pacific,NE Pacific,CA/OR,CA/OR,mammals,Mammalia,Cetacea,Balaenopteridae,Megaptera novaeangliae,Humpback whale,Calambokidis 2013,abundance (total est.),21,Y,0.727,Humpback whale (Megaptera novaeangliae),2,Pacific sardine,0.514,2,"Northern anchovy, Pacific sardine",0.727,0.727
Hilborn et al. (2017),Northern fur seal San Miguel Islands [pups],NFURSEALSMI,Northern fur seal NE Pacific,NE Pacific,California,San Miguel Islands,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,NOAA 2013,pups,38,Y,0.52135,Northern fur seal (Callorhinus ursinus),3,Northern anchovy,0.32,2,"Northern anchovy, Pacific sardine",0.52,0.52135
Towell et al. (2016),Northern fur seal St. George,NFURSTGEORGE,Northern fur seal Pribolof Islands,Bering Sea,Pribolof Islands,St. George,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,Towell et al 2016 Figure 2,# of males (harem males + idle males),41,Y,0.930191258,Northern fur seal (Callorhinus ursinus),2,Walleye pollock,0.573704203,2,"Armhook squid, Walleye pollock",0.930191258,0.930191258
Towell et al. (2016),Northern fur seal St. Paul,NFURSTPAUL,Northern fur seal Pribolof Islands,Bering Sea,Pribolof Islands,St. Paul,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,Towell et al 2016 Figure 2,# of males (harem males + idle males),42,Y,0.930191258,Northern fur seal (Callorhinus ursinus),2,Walleye pollock,0.573704203,2,"Armhook squid, Walleye pollock",0.930191258,0.930191258
Hilborn et al. (2017),Pacific harbor seal California [abundance (total est.)],PHSEALCA,Pacific harbor seal NE Pacific,NE Pacific,California,California,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,NOAA 2013,abundance (total est.),15,Y,0.460916667,Pacific harbor seal (Phoca vitulina richardsi),5,Pacific hake,0.333,1,Pacific hake,0.333,0.460916667
Hilborn et al. (2017),Pacific harbor seal Coastal Estuaries [abundance (total est.)],PHSEALWA,Pacific harbor seal NE Pacific,NE Pacific,Washington,Coastal Estuaries,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,Jeffries et al. 2003,abundance (total est.),22,Y,0.460916667,Pacific harbor seal (Phoca vitulina richardsi),5,Pacific hake,0.333,1,Pacific hake,0.333,0.460916667
Hilborn et al. (2017),Pacific harbor seal Eastern Bays [abundance (total est.)],PHSEALEBAYS,Pacific harbor seal NE Pacific,NE Pacific,Washington,Eastern Bays,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,Jeffries et al. 2003,abundance (total est.),17,Y,0.460916667,Pacific harbor seal (Phoca vitulina richardsi),5,Pacific hake,0.333,1,Pacific hake,0.333,0.460916667
Hilborn et al. (2017),Pacific harbor seal Juan de la Fuca [abundance (total est.)],PHSEALJFUCA,Pacific harbor seal NE Pacific,NE Pacific,Washington,Juan de la Fuca,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,Jeffries et al. 2003,abundance (total est.),19,Y,0.460916667,Pacific harbor seal (Phoca vitulina richardsi),5,Pacific hake,0.333,1,Pacific hake,0.333,0.460916667
Hilborn et al. (2017),Pacific harbor seal Oregon [abundance (total est.)],PHSEALOR,Pacific harbor seal NE Pacific,NE Pacific,Oregon,Oregon,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,Brown et al. 2005,abundance (total est.),20,Y,0.460916667,Pacific harbor seal (Phoca vitulina richardsi),5,Pacific hake,0.333,1,Pacific hake,0.333,0.460916667
Hilborn et al. (2017),Pacific harbor seal San Juan Islands [abundance (total est.)],PHSEALSJI,Pacific harbor seal NE Pacific,NE Pacific,Washington,San Juan Islands,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,Jeffries et al. 2003,abundance (total est.),18,Y,0.460916667,Pacific harbor seal (Phoca vitulina richardsi),5,Pacific hake,0.333,1,Pacific hake,0.333,0.460916667
Free et al. (in prep),Peruvian booby 6-14°S (number of adults),PERBOOPERU614S,Peruvian booby Humboldt,Humboldt,Peru,6-14°S,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 4,number of adults,30,Y,0.795671429,Peruvian booby (Sula variegata),1,Peruvian anchoveta,0.795671429,1,Peruvian anchoveta,0.795671429,0.795671429
Free et al. (in prep),Peruvian booby Peru (number of adults),PERBOOPERU,Peruvian booby Humboldt,Humboldt,Peru,Peru,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,IMARPE.Renato,number of adults,64,Y,0.795671429,Peruvian booby (Sula variegata),1,Peruvian anchoveta,0.795671429,1,Peruvian anchoveta,0.795671429,0.795671429
Free et al. (in prep),Peruvian booby Peruvian Sea (number of individuals),PERBOOPERUSEA,Peruvian booby Humboldt,Humboldt,Peru,Peruvian Sea,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,Jahncke 1998 Figuera 1,number of individuals,44,Y,0.795671429,Peruvian booby (Sula variegata),1,Peruvian anchoveta,0.795671429,1,Peruvian anchoveta,0.795671429,0.795671429
Free et al. (in prep),Peruvian pelican 6-14°S (number of adults),PERPELPERU614S,Peruvian pelican Humboldt,Humboldt,Peru,6-14°S,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 5,number of adults,30,Y,0.8,Peruvian pelican (Pelecanus thagus),1,Peruvian anchoveta,0.8,1,Peruvian anchoveta,0.8,0.8
Free et al. (in prep),Peruvian pelican Peru (number of adults),PERPELPERU,Peruvian pelican Humboldt,Humboldt,Peru,Peru,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,IMARPE.Renato,number of adults,64,Y,0.8,Peruvian pelican (Pelecanus thagus),1,Peruvian anchoveta,0.8,1,Peruvian anchoveta,0.8,0.8
Free et al. (in prep),Peruvian pelican Peruvian Sea (number of individuals),PERPELPERUSEA,Peruvian pelican Humboldt,Humboldt,Peru,Peruvian Sea,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,Jahncke 1998 Figuera 1,number of individuals,44,Y,0.8,Peruvian pelican (Pelecanus thagus),1,Peruvian anchoveta,0.8,1,Peruvian anchoveta,0.8,0.8
Cury et al. (2011),Pigeon guillemot Farallon (breeding adults),PIGGUIFI,Pigeon guillemot California Current,California Current,California Current,Farallon,birds,Aves,Charadriiformes,Alcidae,Cepphus columba,Pigeon guillemot,Warzybok et al 2009,breeding adults,30,Y,0.2,Pigeon guillemot (Cepphus columba),1,Rockfish spp.,0.2,1,Rockfish spp.,0.2,0.2
Free et al. (in prep),Razorbill UK coast (index relative to 1986),RAZBILLUK,Razorbill Europe,Europe,England,UK coast,birds,Aves,Charadriiformes,Alcidae,Alca torda,Razorbill,Cook et al 2014 Figure 5,index relative to 1986,22,Y,2.4413,Razorbill (Alca torda),4,Lesser sand-eel,1,4,"Atlantic herring (spring spawning), Lesser sand-eel, Lesser sand-eel, Sandeel spp.",2.4413,2.4413
Cury et al. (2011),Red-billed gull Kaikoura (breeders),,Red-billed gull New Zealand,New Zealand,New Zealand,Kaikoura,birds,Aves,Charadriiformes,Laridae,Larus novaehollandiae scopulinus,Red-billed gull,Mills et al 2008,breeders,22,Y,0.84,Red-billed gull (Larus novaehollandiae scopulinus),1,Krill,0.84,1,Krill,0.84,0.84
