"pred_type","pred_comm_name","pred_species","ocean","region","area","reference","prey_species","prey_comm_name","n_data","years","season","year1","month1","month_name1","year2","month2","month_name2","method_length","method_diet","comment","n_samples","pred_stage1","pred_stage2","prey_mm_min","prey_mm_max","prey_mm_range","prey_mm_med","prey_mm_avg","prey_mm_sd","prop_diet_by_wt","prop_diet_by_wt_type","prop_diet_by_n","prop_diet_by_energy","prop_diet_by_occur","prop_diet_by_occur_sd","prop_diet_by_index"
"sea birds","Black-vented shearwater","Puffinus opisthomelas","NE Pacific","Mexico","Navidad Island","Keitt et al. 2000","Sardinops sagax","Pacific sardine","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"regurgitated pellets",NA,NA,"adult","adult",80,100,"80-100",NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2002","Jul",2002,7,"Jul",2002,7,"Jul",NA,"fecal samples",NA,14,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2003","Mar-Oct",2003,3,"Mar",2003,10,"Oct",NA,"fecal samples",NA,75,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2004","Mar",2004,3,"Mar",2004,3,"Mar",NA,"fecal samples",NA,56,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2005","Mar-Apr",2005,3,"Mar",2005,4,"Apr",NA,"fecal samples",NA,6,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2006","Feb-Jul",2006,2,"Feb",2006,7,"Jul",NA,"fecal samples",NA,27,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2002-2006",NA,2002,NA,NA,2006,NA,NA,"otolith length_standard length regressions","fecal samples","Size of prey is refered to all samples from 2002-2006",NA,"juvenile","juvenile",57,207,"57-207",127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2002","Jul",2002,7,"Jul",2002,7,"Jul",NA,"fecal samples",NA,94,"adult","adult-female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2003","Mar-Oct",2003,3,"Mar",2003,10,"Oct",NA,"fecal samples",NA,98,"adult","adult-female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.2,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2004","Mar",2004,3,"Mar",2004,3,"Mar",NA,"fecal samples",NA,35,"adult","adult-female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2005","Mar-Apr",2005,3,"Mar",2005,4,"Apr",NA,"fecal samples",NA,49,"adult","adult-female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2006","Feb-Jul",2006,2,"Feb",2006,7,"Jul",NA,"fecal samples",NA,20,"adult","adult-female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Sardinops sagax","Pacific sardine","YES","2002-2006",NA,2002,NA,NA,2006,NA,NA,"otolith length_standard length regressions","fecal samples","Size of prey is refered to all samples from 2002-2006",NA,"adult","adult-female",57,233,"57-233",123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","San Clemente Island","Lowry and Carreta 1999","Sardinops sagax","Pacific sardine","YES","1981-1995",NA,1981,NA,NA,1995,NA,NA,NA,"scat and spewing samples",NA,2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA
