"stocklong","stocklong_orig","stockid","ocean","region","area","type","species","comm_name","nyr","n_units","reference"
"Albacore tuna North Pacific Ocean","Albacore tuna North Pacific RAM NA","ALBANPAC","NE Pacific","US West Coast","North Pacific Ocean","fish","Thunnus alalunga","Albacore tuna",45,"ram","RAM"
"Albacore tuna Northern Atlantic","Albacore tuna North Atlantic RAM NA","ALBANATL","NW Atlantic","Atlantic Ocean","Northern Atlantic","fish","Thunnus alalunga","Albacore tuna",58,"ram","RAM"
"Arrowtooth flounder Pacific Coast","Arrowtooth flounder Pacific Coast RAM NA","ARFLOUNDPCOAST","NE Pacific","US West Coast","Pacific Coast","fish","Atheresthes stomias","Arrowtooth flounder",92,"ram","RAM"
"Atlantic bluefin tuna Western Atlantic","Bluefin tuna Western Atlantic RAM NA","ATBTUNAWATL","NW Atlantic","Atlantic Ocean","Western Atlantic","fish","Thunnus thynnus","Atlantic bluefin tuna",40,"ram","RAM"
"Atlantic cod Georges Bank","Atlantic cod Georges Bank RAM NA","CODGB","NW Atlantic","US East Coast","Georges Bank","fish","Gadus morhua","Atlantic cod",34,"ram","RAM"
"Atlantic croaker Mid-Atlantic Coast","Atlantic croaker Mid-Atlantic Coast RAM NA","ATLCROAKMATLC","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Micropogonias undulatus","Atlantic croaker",30,"ram","RAM"
"Atlantic halibut Gulf of Maine / Georges Bank","Atlantic Halibut NAFO-5YZ RAM NA","ATHAL5YZ","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Hippoglossus hippoglossus","Atlantic halibut",208,"ram","RAM"
"Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]","Atlantic sharpnose shark Predicted abundance Northwest Atlantic Coast and GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Rhizoprionodon terraenovae","Atlantic sharpnose shark",62,"abundance (pred.)","SEDAR 2013"
"Atlantic white-sided dolphin Central Virginia-Lower Bay of Fundy [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate Central Virginia to lower Bay of Fundy ",NA,"NW Atlantic","NW Atlantic","Central Virginia-Lower Bay of Fundy","mammals","Lagenorhynchus acutus","Atlantic white-sided dolphin",1,"abundance (est.)","NOAA 2015"
"Atlantic white-sided dolphin Georges Bank-Gulf of St. Lawrence [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate Georges Bank to mouth of Gulf of St Lawrence ",NA,"NW Atlantic","NW Atlantic","Georges Bank-Gulf of St. Lawrence","mammals","Lagenorhynchus acutus","Atlantic white-sided dolphin",1,"abundance (est.)","NOAA 2002"
"Atlantic white-sided dolphin NW Atlantic [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate ",NA,"NW Atlantic","NW Atlantic","NW Atlantic","mammals","Lagenorhynchus acutus","Atlantic white-sided dolphin",1,"abundance (est.)","NOAA 2010"
"Atlantic white-sided dolphin S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate S Gulf of Maine to upper Bay of Fundy to Gulf of St Lawrence",NA,"NW Atlantic","NW Atlantic","S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence","mammals","Lagenorhynchus acutus","Atlantic white-sided dolphin",1,"abundance (est.)","NOAA 2011"
"Atlantic white-sided dolphin Virginia-Gulf of St. Lawrence [abundance (est.)]","Atlantic white-sided dolphin Abundance Estimate Virginia to Gulf of St Lawrence",NA,"NW Atlantic","NW Atlantic","Virginia-Gulf of St. Lawrence","mammals","Lagenorhynchus acutus","Atlantic white-sided dolphin",1,"abundance (est.)","NOAA 1997"
"Bigeye tuna Atlantic Ocean","Bigeye tuna Atlantic RAM NA","BIGEYEATL","NW Atlantic","Atlantic Ocean","Atlantic Ocean","fish","Thunnus obesus","Bigeye tuna",61,"ram","RAM"
"Black rockfish Northern Pacific Coast","Black rockfish Northern Pacific Coast RAM NA","BLACKROCKNPCOAST","NE Pacific","US West Coast","Northern Pacific Coast","fish","Sebastes melanops","Black rockfish",92,"ram","RAM"
"Black sea bass Mid-Atlantic Coast","Black sea bass Mid-Atlantic Coast RAM NA","BSBASSMATLC","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Centropristis striata","Black sea bass",40,"ram","RAM"
"Black-legged kittiwake Pribilof Islands [abundance (est.)]","Black-legged kittiwake Estimated abundance Pribilof Islands",NA,"NE Pacific","Alaska","Pribilof Islands","birds","Rissa tridactyla","Black-legged kittiwake",4,"abundance (est.)","Jahncke et al. 2008"
"Black-vented shearwater Southern California [density (fall)]","Black-vented shearwater Density Autumn Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus opisthomelas","Black-vented shearwater",11,"density (fall)","Hyrenbach and Veit 2003"
"Black-vented shearwater Southern California [density (spring)]","Black-vented shearwater Density Spring Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus opisthomelas","Black-vented shearwater",12,"density (spring)","Hyrenbach and Veit 2003"
"Black-vented shearwater Southern California [density (summer)]","Black-vented shearwater Density Summer Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus opisthomelas","Black-vented shearwater",11,"density (summer)","Hyrenbach and Veit 2003"
"Black-vented shearwater Southern California [density (winter)]","Black-vented shearwater Density Winter Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus opisthomelas","Black-vented shearwater",11,"density (winter)","Hyrenbach and Veit 2003"
"Blacktip shark Atlantic","Blacktip shark Atlantic RAM NA","BTIPSHARATL","NW Atlantic","Atlantic Ocean","Atlantic","fish","Carcharhinus limbatus","Blacktip shark",0,"ram","RAM"
"Blacktip shark Gulf of Mexico","Blacktip shark Gulf of Mexico RAM NA","BTIPSHARGM","NW Atlantic","US Southeast and Gulf","Gulf of Mexico","fish","Carcharhinus limbatus","Blacktip shark",0,"ram","RAM"
"Blue marlin Pacific Ocean","Blue marlin Pacific Ocean RAM NA","BMARLINPAC","NE Pacific","Pacific Ocean","Pacific Ocean","fish","Makaira nigricans","Blue marlin",55,"ram","RAM"
"Blue shark Chesapeake Bay [cpue (standardized, females)]","Blue shark StandardizedCPUE_Females Chesapeake Bay",NA,"NW Atlantic","NW Atlantic","Chesapeake Bay","fish","Prionace glauca","Blue shark",10,"cpue (standardized, females)","Simpfendorfer et al. 2002"
"Blue shark Chesapeake Bay [cpue (standardized, males)]","Blue shark StandardizedCPUE_Males Chesapeake Bay",NA,"NW Atlantic","NW Atlantic","Chesapeake Bay","fish","Prionace glauca","Blue shark",17,"cpue (standardized, males)","Simpfendorfer et al. 2002"
"Bluefish Atlantic Coast","Bluefish Atlantic Coast RAM NA","BLUEFISHATLC","NW Atlantic","US East Coast","Atlantic Coast","fish","Pomatomus saltatrix","Bluefish",26,"ram","RAM"
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls",NA,"NE Pacific","California","Gulf of Farallon Islands","birds","Phalacrocorax penicillatus","Brandt cormorant",20,"nests (total)","Capitolo et al. 2014"
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island",NA,"NE Pacific","California","South Farallon Island","birds","Phalacrocorax penicillatus","Brandt cormorant",42,"breeding adults","Elliot et al. 2015"
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama",NA,"NW Atlantic","Atlantic Coast","Florida-Maryland & Gulf Coast-Alabama","birds","Pelecanus occidentalis","Brown pelican",19,"nesting pairs","esasuccess.org"
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ",NA,"NE Pacific","Oregon","Oregon","birds","Pelecanus occidentalis","Brown pelican",22,"abundance (total)","Stinson 2014"
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight",NA,"NE Pacific","California","South California Bight","birds","Pelecanus occidentalis","Brown pelican",34,"nests (total)","esasuccess.org"
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ",NA,"NE Pacific","Washington","Washington","birds","Pelecanus occidentalis","Brown pelican",26,"abundance (total)","Stinson 2014"
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono",NA,"NE Pacific","California","Lake Mono","birds","Larus californicus","California gull",21,"breeding adults","Wrege et al. 2006"
"California sea lion Southern SCB [abundance (total)]","California Sea Lion Total Counts Southern SCB",NA,"NE Pacific","California","Southern SCB","mammals","Zalophus californianus","California sea lion",26,"abundance (total)","Lowry and Maravilla 2005"
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB",NA,"NE Pacific","California","Southern SCB","mammals","Zalophus californianus","California sea lion",33,"pups","NOAA 2011"
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ",NA,"NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Alopias spp.","Common and bigeye thresher sharks",20,"cpue (standardized)","Cortes et al. 2007"
"Common guillemot Southeast Farallons Island [breeding adults]","Common Murre Breeding Adults South East Farallons Island",NA,"NE Pacific","California","Southeast Farallons Island","birds","Uria aalge","Common guillemot",17,"breeding adults","Lee et al. 2008"
"Common guillemot UU Colony, Farallons Island [population index]","Common Murre Population Index UUColony_Farallons Island",NA,"NE Pacific","California","UU Colony, Farallons Island","birds","Uria aalge","Common guillemot",17,"population index","Lee et al. 2008"
"Common thresher shark West Coast US [cpue]","Thresher Shark CPUE West Coast US",NA,"NE Pacific","US West Coast","West Coast US","fish","Alopias vulpinus","Common thresher shark",24,"cpue","NMFS unpublished"
