"stocklong","stocklong_orig","stockid","ocean","region","area","type","species","comm_name","nyr","n_units","reference"
"Cutthroat trout Nestucca River [abundance index]","Cutthroat trout Index of abundance Nestucca River",NA,"NE Pacific","Oregon","Nestucca River","fish","Oncorhynchus clarkii","Cutthroat trout",33,"abundance index","OR Native Fish Status Report Vol II"
"Cutthroat trout Wilson and Tasks Rivers [abundance index]","Cutthroat trout Index of abundance Wilson and Tasks Rivers",NA,"NE Pacific","Oregon","Wilson and Tasks Rivers","fish","Oncorhynchus clarkii","Cutthroat trout",36,"abundance index","OR Native Fish Status Report Vol II"
"Dall's porpoise CA/OR/WA [abundance (geometric mean)]","Dalls porpoise Geometric mean abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Phocoenoides dalli","Dall's porpoise",2,"abundance (geometric mean)","NOAA 2008, NOAA 2010"
"Dall's porpoise CA/OR/WA [abundance (weighted mean)]","Dalls porpoise Weigthed average abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Phocoenoides dalli","Dall's porpoise",2,"abundance (weighted mean)","NOAA 2000, NOAA 2003"
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico",NA,"NE Pacific","Gulf of Mexico","Gulf of Mexico","fish","Coryphaena hippurus","Dolphinfish",19,"cpue (standardized)","Kleisner 2008"
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic",NA,"NW Atlantic","Western Atlantic","Western Atlantic","fish","Coryphaena hippurus","Dolphinfish",12,"cpue (standardized)","Kleisner 2008"
"Dusky shark Northwest Atlantic & GOM [cpue (standardized, bllop)]","Dusky shark StandardizedCPUE_BLLOP North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Carcharhinus obscurus","Dusky shark",13,"cpue (standardized, bllop)","Morgan 2008"
"Dusky shark Northwest Atlantic & GOM [cpue (standardized, lps)]","Dusky shark StandardizedCPUE_LPS North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Carcharhinus obscurus","Dusky shark",21,"cpue (standardized, lps)","Morgan 2008"
"Dusky shark Northwest Atlantic & GOM [cpue (standardized, pllop)]","Dusky shark StandardizedCPUE_PLLOP North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Carcharhinus obscurus","Dusky shark",15,"cpue (standardized, pllop)","Morgan 2008"
"Dusky shark Northwest Atlantic & GOM [cpue (standardized, vims)]","Dusky shark StandardizedCPUE_VIMS North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Carcharhinus obscurus","Dusky shark",30,"cpue (standardized, vims)","Morgan 2008"
"Eastern Pacific bonito Southern California [cpue (tons/trip)]","Pacific bonito CPUE_tons_trip Southern CA ",NA,"NE Pacific","California","Southern California","fish","Sarda chiliensis","Eastern Pacific bonito",16,"cpue (tons/trip)","Mandy 2008"
"Elegant tern Isla Rasa [breeding pairs]","Elegant Tern Breeding Pairs Isla Rasa",NA,"NE Pacific","Gulf of California","Isla Rasa","birds","Thalasseus elegans","Elegant tern",35,"breeding pairs","Velarde et al. 2015"
"Elegant tern San Diego Bay [breeding pairs]","Elegant Tern Breeding Pairs San Diego Bay",NA,"NE Pacific","California","San Diego Bay","birds","Thalasseus elegans","Elegant tern",33,"breeding pairs","Schaffner 1986, Velarde et al. 2015"
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ",NA,"NW Atlantic","NW Atlantic","Northwest Atlantic","mammals","Balaenoptera physalus","Fin whale",6,"abundance (est.)","NOAA 1998, NOAA 2005, NOAA 2007, NOAA 2009, NOAA 2014, NOAA 2015"
"Finetooth shark Atlantic","Finetooth shark Atlantic RAM NA","FTOOTHSHARATL","NW Atlantic","Atlantic Ocean","Atlantic","fish","Carcharhinus isodon","Finetooth shark",0,"ram","RAM"
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ",NA,"NW Atlantic","NW Atlantic","Non-Sable Islands","mammals","Halichoerus grypus","Grey seal",9,"pup production","Hemmil 2005"
"Grey seal Northwest Atlantic [abundance (est.)]","Gray seal Abundance Estimate North West Atlantic ",NA,"NW Atlantic","NW Atlantic","Northwest Atlantic","mammals","Halichoerus grypus","Grey seal",3,"abundance (est.)","NOAA 2011, NOAA 2012, NOAA 2015"
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ",NA,"NW Atlantic","NW Atlantic","Sable Islands","mammals","Halichoerus grypus","Grey seal",29,"pup production","Bowen et al. 2003"
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)]","Harbor porpoise Abundance Estimate Gulf of Maine_bay of Fundy",NA,"NW Atlantic","Gulf of Maine","Gulf of Maine-Bay of Fundy","mammals","Phocoena phocoena","Harbor porpoise",3,"abundance (est.)","NOAA 2007, NOAA 2011, NOAA 2015"
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)].1","Harbor porpoise Abundance Estimate Gulf of Maine-Bay of Fundy",NA,"NW Atlantic","Gulf of Maine","Gulf of Maine-Bay of Fundy","mammals","Phocoena phocoena","Harbor porpoise",3,"abundance (est.)","NOAA 2007, NOAA 2011, NOAA 2015"
"Harbor porpoise Monterrey Bay [abundance (est.)]","Harbor porpoise Estimated abundance MonterreyBay",NA,"NE Pacific","California","Monterrey Bay","mammals","Phocoena phocoena","Harbor porpoise",4,"abundance (est.)","NOAA 2003, NOAA 2005, NOAA 2009, NOAA 2013"
"Humpback whale CA/OR [abundance (total est.)]","Hampback Whale Total Estimated Population California and Oregon",NA,"NE Pacific","CA/OR","CA/OR","mammals","Megaptera novaeangliae","Humpback whale",21,"abundance (total est.)","Calambokidis 2013"
"Humpback whale Washington [abundance (total est.)]","Hampback Whale Total Estimated Population WA",NA,"NE Pacific","Washington","Washington","mammals","Megaptera novaeangliae","Humpback whale",9,"abundance (total est.)","Calambokidis 2009"
"Lingcod Northern Pacific Coast","Lingcod Northern Pacific Coast RAM NA","LINGCODNPCOAST","NE Pacific","US West Coast","Northern Pacific Coast","fish","Ophiodon elongatus","Lingcod",82,"ram","RAM"
"Little skate Georges Bank [biomass (log-scale)]","Little skate LogBiomass George Bank",NA,"NW Atlantic","NW Atlantic","Georges Bank","fish","Leucoraja erinacea","Little skate",40,"biomass (log-scale)","Nye et al. 2010"
"Little skate Gulf of Maine [biomass (log-scale)]","Little skate LogBiomass Gulf of Maine",NA,"NW Atlantic","Gulf of Maine","Gulf of Maine","fish","Leucoraja erinacea","Little skate",37,"biomass (log-scale)","Nye et al. 2010"
"Long-beaked common dolphin CA/OR/WA [abundance (est.)]","Long-beaked common dolphin Estimated abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Delphinus capensis","Long-beaked common dolphin",4,"abundance (est.)","NOAA 2008, NOAA 2010, NOAA 2012"
"Long-beaked common dolphin CA/OR/WA [abundance (weighted mean)]","Long-beaked common dolphin Weigthed average abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Delphinus capensis","Long-beaked common dolphin",1,"abundance (weighted mean)","NOAA 2003"
"Night shark Northwest Atlantic [cpue (standardized)]","Night shark StandarizedCPUE North West Atlantic ",NA,"NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Carcharhinus signatus","Night shark",14,"cpue (standardized)","Cortes et al. 2007"
"Northern fur seal Eastern Pacific [pups]","Northern fur seal Pups Eastern pacific",NA,"NE Pacific","Alaska","Eastern Pacific","mammals","Callorhinus ursinus","Northern fur seal",13,"pups","NOAA 2013"
"Northern fur seal San Miguel Islands [pups]","Northern fur seal Pups San Miguel Is",NA,"NE Pacific","California","San Miguel Islands","mammals","Callorhinus ursinus","Northern fur seal",38,"pups","NOAA 2013"
"Northern shortfin squid North Carolina-Scotian Shelf [abundance index (mean kg/tow)]","Shortfin squid Abundance Index_MeanKg_perTow North Carolina to Scotian Shelf ",NA,"NW Atlantic","Northwest Atlantic Coast","North Carolina-Scotian Shelf","fish","Illex illecebrosus","Northern shortfin squid",32,"abundance index (mean kg/tow)","NEFSC 2003 Shortfin Squid Report"
"Northern shortfin squid Scotian Shelf, Canada [abundance index (mean kg/tow)]","Shortfin squid Abundance Index_MeanKg_perTow Scotian Shelf_Canada",NA,"NW Atlantic","Northwest Atlantic Coast","Scotian Shelf, Canada","fish","Illex illecebrosus","Northern shortfin squid",31,"abundance index (mean kg/tow)","NEFSC 2003 Shortfin Squid Report"
"Offshore hake Northwest Atlantic Coast [abundance]","Offshore hake Abundance Northwest Atlantic Coast",NA,"NW Atlantic","Northwest Atlantic Coast","Northwest Atlantic Coast","fish","Merluccius albidus","Offshore hake",40,"abundance","Offshore Hake Assessment 2010"
"Offshore hake Northwest Atlantic Coast [recruitment index (# less than 30 cm / tow)]","Offshore hake Recruitment index_Nless30cm_per_tow Northwest Atlantic Coast",NA,"NW Atlantic","Northwest Atlantic Coast","Northwest Atlantic Coast","fish","Merluccius albidus","Offshore hake",43,"recruitment index (# less than 30 cm / tow)","Offshore Hake Assessment 2010"
"Osprey Connecticut [breeding pairs]","Osprey Breeding pairs Connecticut",NA,"NW Atlantic","Gulf of Maine","Connecticut","birds","Pandion haliaetus","Osprey",8,"breeding pairs","Bierregaard et al. 2014"
"Osprey Long Island [breeding pairs]","Osprey Breeding pairs Long Island",NA,"NW Atlantic","Gulf of Maine","Long Island","birds","Pandion haliaetus","Osprey",8,"breeding pairs","Bierregaard et al. 2014"
"Osprey Mainland Massachusetts [breeding pairs]","Osprey Breeding pairs Mainland Massachusetts",NA,"NW Atlantic","Gulf of Maine","Mainland Massachusetts","birds","Pandion haliaetus","Osprey",8,"breeding pairs","Bierregaard et al. 2014"
"Osprey Mobjack bay [breeding pairs]","Osprey Breeding pairs Mobjack bay",NA,"NW Atlantic","Chesapeake Bay","Mobjack bay","birds","Pandion haliaetus","Osprey",4,"breeding pairs","Watts and Paxton 2007"
"Osprey Potomac [breeding pairs]","Osprey Breeding pairs Potomac",NA,"NW Atlantic","Chesapeake Bay","Potomac","birds","Pandion haliaetus","Osprey",4,"breeding pairs","Watts and Paxton 2007"
"Osprey Rappahannock [breeding pairs]","Osprey Breeding pairs Rappahannock",NA,"NW Atlantic","Chesapeake Bay","Rappahannock","birds","Pandion haliaetus","Osprey",4,"breeding pairs","Watts and Paxton 2007"
"Osprey Rhode Island [breeding pairs]","Osprey Breeding pairs Rhode Island",NA,"NW Atlantic","Gulf of Maine","Rhode Island","birds","Pandion haliaetus","Osprey",8,"breeding pairs","Bierregaard et al. 2014"
"Osprey Wesport River [breeding pairs]","Osprey Breeding pairs Wesport River",NA,"NW Atlantic","Gulf of Maine","Wesport River","birds","Pandion haliaetus","Osprey",8,"breeding pairs","Bierregaard et al. 2014"
"Osprey York [breeding pairs]","Osprey Breeding pairs York",NA,"NW Atlantic","Chesapeake Bay","York","birds","Pandion haliaetus","Osprey",4,"breeding pairs","Watts and Paxton 2007"
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock",NA,"NE Pacific","Pacific Ocean","Pacific Ocean","fish","Thunnus orientalis","Pacific bluefin tuna",61,"biomass (total)","PBT Stock Assessment 2014"
"Pacific harbor seal California [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population CA",NA,"NE Pacific","California","California","mammals","Phoca vitulina richardsi","Pacific harbor seal",15,"abundance (total est.)","NOAA 2013"
"Pacific harbor seal Coastal Estuaries [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population Coastal Estuaries",NA,"NE Pacific","Washington","Coastal Estuaries","mammals","Phoca vitulina richardsi","Pacific harbor seal",22,"abundance (total est.)","Jeffries et al. 2003"
"Pacific harbor seal Eastern Bays [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population Eastern Bays",NA,"NE Pacific","Washington","Eastern Bays","mammals","Phoca vitulina richardsi","Pacific harbor seal",17,"abundance (total est.)","Jeffries et al. 2003"
"Pacific harbor seal Hood Canal [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population Hood Canal",NA,"NE Pacific","Washington","Hood Canal","mammals","Phoca vitulina richardsi","Pacific harbor seal",8,"abundance (total est.)","Jeffries et al. 2003"
"Pacific harbor seal Juan de la Fuca [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population Juan de la Fuca",NA,"NE Pacific","Washington","Juan de la Fuca","mammals","Phoca vitulina richardsi","Pacific harbor seal",19,"abundance (total est.)","Jeffries et al. 2003"
"Pacific harbor seal Olympic Coast [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population Olympic Coast",NA,"NE Pacific","Washington","Olympic Coast","mammals","Phoca vitulina richardsi","Pacific harbor seal",14,"abundance (total est.)","Jeffries et al. 2003"
"Pacific harbor seal Oregon [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population OR",NA,"NE Pacific","Oregon","Oregon","mammals","Phoca vitulina richardsi","Pacific harbor seal",20,"abundance (total est.)","Brown et al. 2005"
"Pacific harbor seal Puget Sound [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population Puget Sound",NA,"NE Pacific","Washington","Puget Sound","mammals","Phoca vitulina richardsi","Pacific harbor seal",10,"abundance (total est.)","Jeffries et al. 2003"
"Pacific harbor seal San Juan Islands [abundance (total est.)]","Pacific Harbour Seal Total Estimated Population San Juan Islands",NA,"NE Pacific","Washington","San Juan Islands","mammals","Phoca vitulina richardsi","Pacific harbor seal",18,"abundance (total est.)","Jeffries et al. 2003"
"Pacific saury Northwest Pacific","Pacific saury Northwest Pacific RAM NA","SAURNWPAC","NE Pacific","Russia Japan","Northwest Pacific","fish","Cololabis saira","Pacific saury",8,"ram","RAM"
"Pacific white-sided dolphin CA/OR/WA [abundance (geometric mean)]","Pacific white-sided dolphin Geometric mean abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Lagenorhynchus obliquidens","Pacific white-sided dolphin",2,"abundance (geometric mean)","NOAA 2008, NOAA 2013"
"Pacific white-sided dolphin CA/OR/WA [abundance (weighted mean)]","Pacific white-sided dolphin Weigthed average abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Lagenorhynchus obliquidens","Pacific white-sided dolphin",2,"abundance (weighted mean)","NOAA 2000, NOAA 2003"
"Pink-footed shearwater Southern California [density (fall)]","Pink-footed shearwater Density Autumn Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus creatopus","Pink-footed shearwater",11,"density (fall)","Hyrenbach and Veit 2003"
"Pink-footed shearwater Southern California [density (spring)]","Pink-footed shearwater Density Spring Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus creatopus","Pink-footed shearwater",12,"density (spring)","Hyrenbach and Veit 2003"
"Pink-footed shearwater Southern California [density (summer)]","Pink-footed shearwater Density Summer Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus creatopus","Pink-footed shearwater",11,"density (summer)","Hyrenbach and Veit 2003"
"Pink-footed shearwater Southern California [density (winter)]","Pink-footed shearwater Density Winter Southern CA ",NA,"NE Pacific","California","Southern California","birds","Puffinus creatopus","Pink-footed shearwater",11,"density (winter)","Hyrenbach and Veit 2003"
"Pollock Gulf of Maine / Georges Bank","Pollock NAFO-5YZ RAM NA","POLL5YZ","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Pollachius virens","Pollock",40,"ram","RAM"
"Pollock NAFO-4VWX5","Pollock NAFO-4VWX5 RAM NA",NA,"NW Atlantic","Canada East Coast","NAFO-4VWX5","fish","Pollachius virens","Pollock",35,"ram","RAM"
"Red drum Florida-South Carolina [abundance (ages 1-3)]","Red drum AbundanceAges1-3 FromFlorida_to_SouthCarolina",NA,"NW Atlantic","NW Atlantic","Florida-South Carolina","fish","Sciaenops ocellatus","Red drum",18,"abundance (ages 1-3)","Red Drum Stock Assessment Summary 2009"
"Red drum North of North Carolina [abundance (ages 1-3)]","Red drum AbundanceAges1-3 North of NorthCarolina",NA,"NW Atlantic","NW Atlantic","North of North Carolina","fish","Sciaenops ocellatus","Red drum",19,"abundance (ages 1-3)","Red Drum Stock Assessment Summary 2009"
"Red hake Gulf of Maine [biomass (log-scale)]","Red hake LogBiomass Gulf of Maine",NA,"NW Atlantic","Gulf of Maine","Gulf of Maine","fish","Urophycis chuss","Red hake",25,"biomass (log-scale)","Nye et al. 2010"
"Rhinoceros auklet Southern California [density (fall)]","Rhinoceros Auklet Density Autumn Southern CA ",NA,"NE Pacific","California","Southern California","birds","Cerorhinca monocerata","Rhinoceros auklet",11,"density (fall)","Hyrenbach and Veit 2003"
"Rhinoceros auklet Southern California [density (spring)]","Rhinoceros Auklet Density Spring Southern CA ",NA,"NE Pacific","California","Southern California","birds","Cerorhinca monocerata","Rhinoceros auklet",12,"density (spring)","Hyrenbach and Veit 2003"
"Rhinoceros auklet Southern California [density (summer)]","Rhinoceros Auklet Density Summer Southern CA ",NA,"NE Pacific","California","Southern California","birds","Cerorhinca monocerata","Rhinoceros auklet",11,"density (summer)","Hyrenbach and Veit 2003"
"Rhinoceros auklet Southern California [density (winter)]","Rhinoceros Auklet Density Winter Southern CA ",NA,"NE Pacific","California","Southern California","birds","Cerorhinca monocerata","Rhinoceros auklet",11,"density (winter)","Hyrenbach and Veit 2003"
"Sablefish Pacific Coast","Sablefish Pacific Coast RAM NA","SABLEFPCOAST","NE Pacific","US West Coast","Pacific Coast","fish","Anoplopoma fimbria","Sablefish",112,"ram","RAM"
"Sandbar shark Atlantic","Sandbar shark Atlantic RAM NA","SBARSHARATL","NW Atlantic","US Southeast and Gulf","Atlantic","fish","Carcharhinus plumbeus","Sandbar shark",0,"ram","RAM"
