"stocklong","stocklong_orig","reference","year","year_orig","n","n_units","catch"
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1971,1971,20018,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1972,1972,21917,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1973,1973,14253,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1974,1974,23697,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1975,1975,15022,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1976,1976,14248,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1977,1977,21613,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1978,1978,6760,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1979,1979,18759,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1980,1980,15490,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1981,1981,17984,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1982,1982,14299,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1983,1983,4199,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1984,1984,4435,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1985,1985,8236,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1986,1986,6333,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1987,1987,8352,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1988,1988,5023,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1989,1989,11022,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1990,1990,6446,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1991,1991,10128,"breeding adults",NA
