"stocklong","stocklong_orig","reference","year","year_orig","n","n_units","catch"
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1992,1992,2998,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1993,1993,4601,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1994,1994,11728,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1995,1995,10598,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1996,1996,8042,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1997,1997,7446,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1998,1998,5128,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",1999,1999,6315,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2000,2000,5898,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2001,2001,6609,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2002,2002,9400,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2003,2003,11181,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2004,2004,16704,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2005,2005,11653,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2006,2006,15572,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2007,2007,20561,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2008,2008,4817,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2009,2009,1311,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2010,2010,5052,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2011,2011,4872,"breeding adults",NA
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island","Elliot et al. 2015",2012,2012,3505,"breeding adults",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1979,1979,10947,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1980,1980,8575,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1986,1986,3537,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1987,1987,4618,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1988,1988,6407,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1989,1989,8455,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1990,1990,5097,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1993,1993,5688,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1994,1994,6816,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1995,1995,6589,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1997,1997,6789,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1998,1998,3526,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",1999,1999,5509,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2000,2000,5682,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2001,2001,6522,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2002,2002,9976,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2003,2003,9447,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2004,2004,12357,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2005,2005,10959,"nests (total)",NA
"Brandt cormorant Gulf of Farallon Islands [nests (total)]","Brandt Cormoran Total Nests Gulf Farallonls","Capitolo et al. 2014",2006,2006,17438,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1971,1971,663,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1972,1972,531,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1973,1973,616,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1974,1974,1305,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1975,1975,633,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1976,1976,933,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1977,1977,348,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1978,1978,466,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1979,1979,2202,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1980,1980,2977,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1981,1981,3732,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1982,1982,2757,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1983,1983,2733,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1984,1984,1500,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1985,1985,6964,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1986,1986,7977,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1987,1987,7900,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1988,1988,3544,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1989,1989,5939,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1990,1990,2481,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1991,1991,6454,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1992,1992,1936,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1993,1993,4440,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1994,1994,6145,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1995,1995,6251,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1996,1996,6616,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1997,1997,6614,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1998,1998,3414,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",1999,1999,6005,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",2004,2004,7500,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",2005,2005,5948,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",2006,2006,9000,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",2007,2007,5944,"nests (total)",NA
"Brown pelican South California Bight [nests (total)]","Brown Pelican Total Nests South California Bight","esasuccess.org",2009,2009,11695,"nests (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1987,1987,840.6205,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1988,1988,2883.3822,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1989,1989,3281.9396,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1990,1990,4933.431,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1991,1991,7613,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1992,1992,3714.5805,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1993,1993,4485.2825,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1994,1994,3533.4878,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1996,1996,5759.7584,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1997,1997,1186.6207,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1998,1998,2114.0354,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",1999,1999,2003.8199,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2000,2000,5025.1727,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2001,2001,2644.6696,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2002,2002,3239.2776,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2003,2003,4224.9641,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2004,2004,2607.7479,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2005,2005,11501.2861,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2007,2007,7581.4757,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2008,2008,5553.0327,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2009,2009,6343.2439,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2010,2010,3884.1927,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2011,2011,3538.9083,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2012,2012,3742.1183,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2013,2013,3632.0308,"abundance (total)",NA
"Brown pelican Washington [abundance (total)]","Brown Pelican Total Counts Washington ","Stinson 2014",2014,2014,1523,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1987,1987,3151.2051,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1988,1988,1455.6965,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1989,1989,1619.5046,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1990,1990,1900.7511,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1991,1991,2455.9573,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1992,1992,1602.0281,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1993,1993,1961.6311,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1996,1996,3314.4634,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",1997,1997,4691.484,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2001,2001,4016.0011,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2002,2002,8838.1429,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2003,2003,4852.7734,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2004,2004,12454.2953,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2005,2005,5023.8048,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2007,2007,11223.3507,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2008,2008,7002.7205,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2009,2009,11824.9902,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2010,2010,8700.5814,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2011,2011,14305.6472,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2012,2012,8636.6077,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2013,2013,3594.2909,"abundance (total)",NA
"Brown pelican Oregon [abundance (total)]","Brown Pelican Total Counts Oregon ","Stinson 2014",2014,2014,1996.4561,"abundance (total)",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1983,1983,45095,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1984,1984,44914,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1985,1985,44649,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1986,1986,49612,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1987,1987,47744,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1988,1988,45117,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1989,1989,44260,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1990,1990,61368,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1991,1991,37488,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1992,1992,64716,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1993,1993,60992,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1994,1994,63173,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1995,1995,50003,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1996,1996,47629,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1997,1997,49726,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1998,1998,35291,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",1999,1999,40508,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",2000,2000,49266,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",2001,2001,47735,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",2002,2002,45783,"breeding adults",NA
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono","Wrege et al. 2006",2003,2003,40035,"breeding adults",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1975,1975,12200,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1976,1976,11602,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1977,1977,11401,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1978,1978,11299,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1979,1979,14573,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1980,1980,16755,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1981,1981,15958,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1982,1982,19232,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1983,1983,12379,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1984,1984,13965,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1985,1985,15154,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1986,1986,17336,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1987,1987,19319,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1988,1988,19515,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1989,1989,23882,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1990,1990,24573,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1991,1991,29933,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1992,1992,20597,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1993,1993,22878,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1994,1994,35585,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1995,1995,36179,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1996,1996,41240,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1997,1997,41436,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1998,1998,14923,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",1999,1999,42225,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2000,2000,49570,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2001,2001,49171,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2002,2002,45494,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2003,2003,36556,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2004,2004,48465,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2005,2005,56208,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2006,2006,54319,"pups",NA
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB","NOAA 2011",2007,2007,59777,"pups",NA
"California sea lion Southern SCB [abundance (total)]","California Sea Lion Total Counts Southern SCB","Lowry and Maravilla 2005",1927,1927,1621.5965,"abundance (total)",NA
"California sea lion Southern SCB [abundance (total)]","California Sea Lion Total Counts Southern SCB","Lowry and Maravilla 2005",1928,1928,2233.0288,"abundance (total)",NA
