"stocklong","reference","year","n","n_sd","n_units","catch","sp","sp_sd","prey1","prey1_sd1","prey1_sd2","prey1_name"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1971,20018,0.844748280373043,"breeding adults",NA,1899,0.0801367261678693,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1972,21917,0.924885006540912,"breeding adults",NA,-7664,-0.323416466219353,399.2,0.189499667711004,-85.7516977560975,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1973,14253,0.60146854032156,"breeding adults",NA,9444,0.39853145967844,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1974,23697,1,"breeding adults",NA,-8675,-0.366080094526733,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1975,15022,0.633919905473267,"breeding adults",NA,-774,-0.0326623623243449,1892.7,0.898461976644831,1407.7483022439,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1976,14248,0.601257543148922,"breeding adults",NA,7365,0.310798835295607,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1977,21613,0.912056378444529,"breeding adults",NA,-14853,-0.626788201038106,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1978,6760,0.285268177406423,"breeding adults",NA,11999,0.5063510148964,495.5,0.235213139656318,10.5483022439025,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1979,18759,0.791619192302823,"breeding adults",NA,-3269,-0.13794995147065,453.1,0.21508592044052,-31.8516977560975,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1980,15490,0.653669240832173,"breeding adults",NA,2494,0.105245389711778,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1981,17984,0.758914630543951,"breeding adults",NA,-3685,-0.155504916234122,634.5,0.301196240387354,149.548302243902,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1982,14299,0.603409714309828,"breeding adults",NA,-10100,-0.426214288728531,330.5,0.156887876198614,-154.451697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1983,4199,0.177195425581297,"breeding adults",NA,236,0.00995906654850825,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1984,4435,0.187154492129805,"breeding adults",NA,3801,0.160400050639321,415.5,0.197237254343492,-69.4516977560975,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1985,8236,0.347554542769127,"breeding adults",NA,-1903,-0.0803055239059797,550.127451,0.261144712332669,65.1757532439024,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1986,6333,0.267249018863147,"breeding adults",NA,2019,0.0852006583111786,2106.6,1,1621.6483022439,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1987,8352,0.352449677174326,"breeding adults",NA,-3329,-0.140481917542305,483.4,0.229469287002753,-1.55169775609755,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1988,5023,0.211967759632021,"breeding adults",NA,5999,0.253154407730936,703.9,0.334140320896231,218.948302243902,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1989,11022,0.465122167362957,"breeding adults",NA,-4576,-0.193104612398194,173.9,0.0825500806987563,-311.051697756097,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1990,6446,0.272017554964763,"breeding adults",NA,3682,0.15537831793054,76,0.036077091047185,-408.951697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1991,10128,0.427395872895303,"breeding adults",NA,-7130,-0.300881968181626,394.8,0.187410994018798,-90.1516977560975,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1992,2998,0.126513904713677,"breeding adults",NA,1603,0.0676456935477065,142.2,0.0675021361435488,-342.751697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1993,4601,0.194159598261383,"breeding adults",NA,7127,0.300755369878044,128.4,0.0609512959270863,-356.551697756097,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1994,11728,0.494914968139427,"breeding adults",NA,-1130,-0.0476853610161624,369.4,0.175353650431976,-115.551697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1995,10598,0.447229607123265,"breeding adults",NA,-2556,-0.107861754652488,146.2,0.0694009304091902,-338.751697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1996,8042,0.339367852470777,"breeding adults",NA,-596,-0.0251508629784361,452.6,0.214848571157315,-32.3516977560975,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1997,7446,0.314216989492341,"breeding adults",NA,-2318,-0.0978182892349242,261.4,0.12408620525966,-223.551697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1998,5128,0.216398700257417,"breeding adults",NA,1187,0.0500907287842343,100,0.0474698566410329,-384.951697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",1999,6315,0.266489429041651,"breeding adults",NA,-417,-0.0175971641979997,197.6,0.0938004367226811,-287.351697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2000,5898,0.248892264843651,"breeding adults",NA,711,0.0300037979491075,186.2,0.0883888730656033,-298.751697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2001,6609,0.278896062792759,"breeding adults",NA,2791,0.117778621766468,371.7,0.176445457134719,-113.251697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2002,9400,0.396674684559227,"breeding adults",NA,1781,0.0751571928936152,164.3,0.0779929744612171,-320.651697756098,"Northern anchovy"
