"pred_comm_name","ocean","prey_comm_name","nrefs","refs","prop_wt","prop_n","prop_energy","prop_occur","prop_use","prop_use_type"
"Albacore tuna","NE Pacific","California market squid",1,"Pinkas et al. 1971",0.0025,0.009,NA,0.096,0.0025,"wt"
"Albacore tuna","NE Pacific","Northern anchovy",5,"Bernard et al. 1985, Glaser 2010, Glaser 2011, Glaser et al. 2015, Pinkas et al. 1971",0.3575,0.154533333333333,0.270666666666667,0.342333333333333,0.3575,"wt"
"Albacore tuna","NE Pacific","Pacific chub mackerel",1,"Pinkas et al. 1971",NA,0.001,NA,0.01,0.001,"n"
"Albacore tuna","NE Pacific","Pacific hake",3,"Glaser 2010, Glaser et al. 2015, Pinkas et al. 1971",0.179333333333333,0.136,0.099,0.083,0.179333333333333,"wt"
"Albacore tuna","NE Pacific","Pacific sardine",2,"Glaser 2010, Glaser et al. 2015",0.053,0.021,0.0335,0.267,0.053,"wt"
"Albacore tuna","NW Atlantic","Northern shortfin squid",2,"Logan et al. 2013, Tefferet 2015",0.5195,NA,NA,NA,0.5195,"wt"
"Arctic loon","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.727,NA,0.5,0.727,"n"
"Arrowtooth flounder","NE Pacific","Pacific hake",1,"Buckley et al. 1999",0.5989,0.1162,NA,0.1448,0.5989,"wt"
"Atlantic bluefin tuna","NW Atlantic","Atlantic herring",3,"Chase 2002, Logan 2009, Logan et al. 2013",0.2944,NA,NA,NA,0.2944,"wt"
"Atlantic bluefin tuna","NW Atlantic","Atlantic mackerel",2,"Chase 2002, Logan et al. 2013",0.1482,NA,NA,NA,0.1482,"wt"
"Atlantic bluefin tuna","NW Atlantic","Atlantic menhaden",3,"Butler et al. 2010, Butler et al. 2014, Chase 2002",0.8149,NA,NA,NA,0.8149,"wt"
"Atlantic bluefin tuna","NW Atlantic","Longfin inshore squid",3,"Butler et al. 2010, Eggleston and Bochenek 1990, Logan et al. 2013",0.01082,NA,NA,NA,0.01082,"wt"
