"pred_comm_name","ocean","prey_comm_name","nrefs","refs","prop_wt","prop_n","prop_energy","prop_occur","prop_use","prop_use_type"
"Atlantic bluefin tuna","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",NA,NA,NA,NA,NA,"none"
"Atlantic bottlenose dolphin","NW Atlantic","Atlantic menhaden",3,"Fox 2010, Gannon et al. 2004, Pate and Mc Fee 2012",0.04,0.025,NA,NA,0.04,"wt"
"Atlantic cod","NW Atlantic","Atlantic herring",2,"fishecology.org, Link and Garrison 2002",0.15,NA,NA,NA,0.15,"wt"
"Atlantic cod","NW Atlantic","Atlantic mackerel",1,"Overholtz et al. 1991",NA,0.115,NA,NA,0.115,"n"
"Atlantic cod","NW Atlantic","Longfin inshore squid",2,"Bowman et al. 2000, Staudinger and Juanes 2010a",0.069,NA,NA,NA,0.069,"wt"
"Atlantic cod","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.292,NA,NA,NA,0.292,"wt"
"Atlantic halibut","NW Atlantic","Atlantic herring",1,"Link et al. 2002b",0.04,NA,NA,NA,0.04,"wt"
"Atlantic halibut","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, Link et al. 2002b",0.086,NA,NA,NA,0.086,"wt"
"Atlantic mackerel","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.018,NA,NA,NA,0.018,"wt"
"Atlantic mackerel","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.019,NA,NA,NA,0.019,"wt"
"Atlantic sea raven","NW Atlantic","Atlantic herring",2,"fishecology.org, Vinogradov 1984",0.32,NA,NA,NA,0.32,"wt"
"Atlantic sea raven","NW Atlantic","Longfin inshore squid",1,"Staudinger and Juanes 2010a",NA,NA,NA,NA,NA,"none"
"Atlantic sea raven","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Smith and Link 2010",0.013,NA,NA,NA,0.013,"wt"
"Atlantic sharpnose shark","NW Atlantic","Gulf menhaden",2,"Bethea 2003, Bethea et al. 2004",0.03665,NA,NA,NA,0.03665,"wt"
"Atlantic white-sided dolphin","NW Atlantic","Atlantic herring",2,"Craddock et al. 2009, Katona et al. 1978",NA,0.19,NA,NA,0.19,"n"
"Atlantic white-sided dolphin","NW Atlantic","Longfin inshore squid",1,"Craddock et al. 2009",0.16,NA,NA,NA,0.16,"wt"
"Atlantic white-sided dolphin","NW Atlantic","Northern shortfin squid",2,"Craddock et al. 2009, Katona et al. 1978",NA,NA,NA,NA,NA,"none"
"Atlantic wreckfish","NW Atlantic","Northern shortfin squid",1,"Goldman and Sedberry 2011",0.0286,NA,NA,NA,0.0286,"wt"
"Barndoor skate","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.072,NA,NA,NA,0.072,"wt"
"Barrelfish","NW Atlantic","Northern shortfin squid",1,"Goldman and Sedberry 2011",0.028,NA,NA,NA,0.028,"wt"
"Bigeye thresher shark","NW Atlantic","Atlantic mackerel",1,"Bowman et al. 2000",0.015,NA,NA,NA,0.015,"wt"
"Bigeye thresher shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.119,NA,NA,NA,0.119,"wt"
"Bigeye tuna","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",0.618,NA,NA,NA,0.618,"wt"
"Black rockfish","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.419,0.006,NA,0.105,0.419,"wt"
"Black sea bass","NW Atlantic","Atlantic herring",2,"Bowman et al. 2000, fishecology.org",0.02,NA,NA,NA,0.02,"wt"
"Black sea bass","NW Atlantic","Longfin inshore squid",2,"Bowman et al. 2000, Staudinger and Juanes 2010a",0.023,NA,NA,NA,0.023,"wt"
"Black sea bass","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,"none"
"Black-legged kittiwake","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.824,NA,0.875,0.824,"n"
"Black-legged kittiwake","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.118,NA,0.25,0.118,"n"
"Black-vented shearwater","NE Pacific","Northern anchovy",1,"Keitt et al. 2000",NA,NA,NA,0.3,0.3,"occur"
"Black-vented shearwater","NE Pacific","Pacific sardine",1,"Keitt et al. 2000",NA,NA,NA,0.1,0.1,"occur"
"Blacktip shark","NW Atlantic","Gulf menhaden",3,"Barry et al. 2008, Bethea 2003, Bethea et al. 2004",0.431675,NA,NA,NA,0.431675,"wt"
"Blue shark","NE Pacific","California market squid",2,"Markaida and Sosa 2010, Preti et al. 2012",0.00675,0.0367,NA,0.0877,0.00675,"wt"
"Blue shark","NE Pacific","Northern anchovy",2,"Brodeur et al. 1987, Markaida and Sosa 2010",0.08274,0.11582,NA,0.09245,0.08274,"wt"
"Blue shark","NE Pacific","Pacific chub mackerel",2,"Markaida and Sosa 2010, Preti et al. 2012",0.0955,0.0455714285714286,NA,0.0209,0.0955,"wt"
"Blue shark","NE Pacific","Pacific hake",3,"Brodeur et al. 1987, Markaida and Sosa 2010, Preti et al. 2012",0.169728571428571,0.0437142857142857,NA,0.0664333333333333,0.169728571428571,"wt"
"Blue shark","NE Pacific","Pacific sardine",3,"Emmet et al. 2005, Markaida and Sosa 2010, Preti et al. 2012",0.0927833333333333,0.03285,NA,0.346733333333333,0.0927833333333333,"wt"
"Blue shark","NW Atlantic","Atlantic herring",1,"Bowman et al. 2000",0.004,NA,NA,NA,0.004,"wt"
"Blue shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.037,NA,NA,NA,0.037,"wt"
"Bluefish","NW Atlantic","Atlantic herring",4,"Bowman et al. 2000, Buckel et al. 1999b, fishecology.org, Smith and Link 2010",0.0835,NA,NA,NA,0.0835,"wt"
"Bluefish","NW Atlantic","Atlantic mackerel",3,"Bowman et al. 2000, Buckel et al. 1999b, Smith and Link 2010",0.011,NA,NA,NA,0.011,"wt"
"Bluefish","NW Atlantic","Atlantic menhaden",3,"Bowman et al. 2000, Sagarese et al. 2011, Smith and Link 2010",0.125,NA,NA,NA,0.125,"wt"
"Bluefish","NW Atlantic","Longfin inshore squid",5,"Bowman et al. 2000, Buckel et al. 1999b, Smith and Link 2010, Staudinger 2006, Staudinger and Juanes 2010a",0.101684210526316,NA,NA,NA,0.101684210526316,"wt"
"Bluefish","NW Atlantic","Northern shortfin squid",3,"fishecology.org, Smith and Link 2010, Staudinger 2006",0.06125,NA,NA,NA,0.06125,"wt"
"Bonaparte's gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.017,NA,0.167,0.017,"n"
"Brandt cormorant","NE Pacific","California market squid",3,"Baltz and Morejohn 1977, Morejohn et al. 1978, Webb 2013",NA,0.0536666666666667,NA,0.124333333333333,0.0536666666666667,"n"
"Brandt cormorant","NE Pacific","Northern anchovy",3,"Baltz and Morejohn 1977, Elliot et al. 2015, Webb 2013",NA,0.199925925925926,NA,0.584333333333333,0.199925925925926,"n"
"Brandt cormorant","NE Pacific","Pacific chub mackerel",1,"Webb 2013",NA,0.0015,NA,0.02,0.0015,"n"
"Brandt cormorant","NE Pacific","Pacific hake",1,"Webb 2013",NA,0.0025,NA,0.003,0.0025,"n"
"Brandt cormorant","NE Pacific","Pacific sardine",1,"Webb 2013",NA,0.0315,NA,0.0705,0.0315,"n"
"Brown pelican","NW Atlantic","Atlantic menhaden",1,"Fogarty et al. 1981",NA,0.14,NA,NA,0.14,"n"
"California brown pelican","NE Pacific","Northern anchovy",2,"Sunada et al. 1981, Velarde et al. 2015",NA,0.626,NA,NA,0.626,"n"
"California brown pelican","NE Pacific","Pacific sardine",1,"Velarde et al. 2015",NA,0.34,NA,NA,0.34,"n"
"California gull","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.5,NA,0.6,0.5,"n"
"California gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.167,NA,0.4,0.167,"n"
"California halibut","NE Pacific","Northern anchovy",1,"Plummer et al. 1983",0.816,NA,NA,NA,0.816,"wt"
"California sea lion","NE Pacific","California market squid",3,"Lowry and Carreta 1999, Morejohn et al. 1978, Orr et al. 2011",0.08,NA,NA,0.335846153846154,0.08,"wt"
"California sea lion","NE Pacific","Northern anchovy",4,"Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Mellinkelal 2005, Orr et al. 2011",NA,0.107333333333333,NA,0.44225,0.107333333333333,"n"
"California sea lion","NE Pacific","Pacific chub mackerel",2,"Lowry and Carreta 1999, Orr et al. 2011",NA,NA,NA,0.0453846153846154,0.0453846153846154,"occur"
"California sea lion","NE Pacific","Pacific hake",3,"Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Orr et al. 2011",NA,0.0104,NA,0.243385714285714,0.0104,"n"
"California sea lion","NE Pacific","Pacific sardine",3,"Garcia-Rodriguez and Aurioles-Gamboa 2004, Lowry and Carreta 1999, Orr et al. 2011",NA,0.068,NA,0.337457142857143,0.068,"n"
"Chinook salmon","NE Pacific","California market squid",4,"Baldwin et al. 2008, Brodeur et al. 1987, Hunt et al. 1999, Morejohn et al. 1978",0.0478571428571429,0.0055,NA,0.043,0.0478571428571429,"wt"
"Chinook salmon","NE Pacific","Northern anchovy",7,"Baldwin et al. 2008, Brodeur 1987, Hunt et al. 1999, Morejohn et al. 1978, Schabetsberger et al. 2003, Silliman 1941, Thayer et al. 2014",0.30840625,0.0246642857142857,NA,0.146666666666667,0.30840625,"wt"
"Chinook salmon","NE Pacific","Pacific hake",1,"Brodeur et al. 1987",0.1,NA,NA,0.036,0.1,"wt"
"Coho salmon","NE Pacific","California market squid",3,"Baldwin et al. 2008, Brodeur et al. 1987, Morejohn et al. 1978",0.0495,0.001,NA,0.0296,0.0495,"wt"
"Coho salmon","NE Pacific","Northern anchovy",3,"Baldwin et al. 2008, Brodeur 1987, Silliman 1941",0.242125,0.00783333333333333,NA,0.138142857142857,0.242125,"wt"
"Coho salmon","NE Pacific","Pacific sardine",3,"Baldwin et al. 2008, Emmet et al. 2005, Silliman 1941",0.18297,0.04,NA,0.5584,0.18297,"wt"
"Common guillemot","NE Pacific","California market squid",3,"Ainley et al. 1996, Baltz and Morejohn 1977, Morejohn et al. 1978",0.22,0.0785833333333333,NA,0.295375,0.22,"wt"
"Common guillemot","NE Pacific","Northern anchovy",2,"Ainley et al. 1996, Schrimpf et al. 2012",0.158571428571429,0.120865217391304,NA,0.241428571428571,0.158571428571429,"wt"
"Common guillemot","NE Pacific","Pacific hake",1,"Ainley et al. 1996",0.5425,0.125,NA,0.185,0.5425,"wt"
"Common thresher shark","NE Pacific","California market squid",2,"Preti et al. 2004, Preti et al. 2012",0.0209333333333333,0.0770666666666667,NA,0.191166666666667,0.0209333333333333,"wt"
"Common thresher shark","NE Pacific","Northern anchovy",2,"Preti et al. 2004, Preti et al. 2012",0.412866666666667,0.467066666666667,NA,0.311333333333333,0.412866666666667,"wt"
"Common thresher shark","NE Pacific","Pacific chub mackerel",2,"Preti et al. 2004, Preti et al. 2012",0.114433333333333,0.0137666666666667,NA,0.112133333333333,0.114433333333333,"wt"
"Common thresher shark","NE Pacific","Pacific hake",2,"Preti et al. 2004, Preti et al. 2012",0.106833333333333,0.0853,NA,0.1342,0.106833333333333,"wt"
"Common thresher shark","NE Pacific","Pacific sardine",2,"Preti et al. 2004, Preti et al. 2012",0.160366666666667,0.1268,NA,0.178766666666667,0.160366666666667,"wt"
"Common thresher shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.022,NA,NA,NA,0.022,"wt"
"Curlfin sole","NE Pacific","California market squid",1,"Morejohn et al. 1978",0.36,NA,NA,NA,0.36,"wt"
"Cutthroat trout","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.4795,0.1495,NA,0.3345,0.4795,"wt"
"Dall's porpoise","NE Pacific","California market squid",1,"Walker et al. 1998",0.012,NA,NA,NA,0.012,"wt"
"Dall's porpoise","NE Pacific","Pacific hake",2,"Nichol et al. 2013, Walker et al. 1998",0.057,NA,NA,NA,0.057,"wt"
"Dolphinfish","NW Atlantic","Northern shortfin squid",2,"Logan et al. 2013, Tefferet 2015",0.321,NA,NA,NA,0.321,"wt"
"Dusky shark","NW Atlantic","Longfin inshore squid",1,"Bowman et al. 2000",0.247,NA,NA,NA,0.247,"wt"
"Eastern Pacific bonito","NE Pacific","California market squid",1,"Pinkas et al. 1971",0.1815,0.0985,NA,0.2475,0.1815,"wt"
"Eastern Pacific bonito","NE Pacific","Northern anchovy",1,"Pinkas et al. 1971",0.7545,0.65,NA,0.5585,0.7545,"wt"
"Eastern Pacific bonito","NE Pacific","Pacific hake",1,"Pinkas et al. 1971",0.001,NA,NA,0.0175,0.001,"wt"
"Elegant tern","NE Pacific","California market squid",1,"Horn and Whitcombe 2015",NA,0.0189444444444444,NA,0.5,0.0189444444444444,"n"
"Elegant tern","NE Pacific","Northern anchovy",2,"Horn and Whitcombe 2015, Schaffner 1986",NA,0.42809,NA,1,0.42809,"n"
"Elegant tern","NE Pacific","Pacific chub mackerel",1,"Horn and Whitcombe 2015",NA,0.00595555555555556,NA,0.278,0.00595555555555556,"n"
"Elegant tern","NE Pacific","Pacific sardine",1,"Horn and Whitcombe 2015",NA,0.0649055555555556,NA,0.889,0.0649055555555556,"n"
"Fin whale","NW Atlantic","Atlantic herring",1,"Overholtz and Link 2007",0.308571428571429,NA,NA,NA,0.308571428571429,"wt"
"Finetooth shark","NW Atlantic","Gulf menhaden",2,"Bethea 2003, Bethea et al. 2004",0.7466,NA,NA,NA,0.7466,"wt"
"Fourspot flounder","NW Atlantic","Longfin inshore squid",3,"Link et al. 2002b, Smith and Link 2010, Staudinger and Juanes 2010a",0.14025,NA,NA,NA,0.14025,"wt"
"Fourspot flounder","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Smith and Link 2010",0.033,NA,NA,NA,0.033,"wt"
"Glaucous-winged gull","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.55,NA,0.375,0.55,"n"
"Glaucous-winged gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.15,NA,0.125,0.15,"n"
"Goosefish","NW Atlantic","Atlantic herring",2,"Bowman et al. 2000, fishecology.org",0.013,NA,NA,NA,0.013,"wt"
"Goosefish","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.034,NA,NA,NA,0.034,"wt"
"Goosefish","NW Atlantic","Longfin inshore squid",3,"Bowman et al. 2000, Staudinger 2006, Staudinger and Juanes 2010a",0.0338,NA,NA,NA,0.0338,"wt"
"Goosefish","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.24675,NA,NA,NA,0.24675,"wt"
"Grey seal","NW Atlantic","Atlantic herring",3,"Ampela 2009, Becket et al. 2007, Bowen et al. 1993 ",0.0966,NA,NA,NA,0.0966,"wt"
"Grey seal","NW Atlantic","Atlantic mackerel",2,"Ampela 2009, Bowen et al. 1993 ",0.162666666666667,NA,NA,NA,0.162666666666667,"wt"
"Grey seal","NW Atlantic","Longfin inshore squid",2,"Ampela 2009, Staudinger and Juanes 2010a",0.014,NA,NA,NA,0.014,"wt"
"Haddock","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.014,NA,NA,NA,0.014,"wt"
"Haddock","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.025,NA,NA,NA,0.025,"wt"
"Harbor porpoise","NE Pacific","California market squid",3,"Morejohn et al. 1978, Toperoff 2002, Walker et al. 1998",0.38045,NA,NA,NA,0.38045,"wt"
"Harbor porpoise","NE Pacific","Northern anchovy",3,"Nichol et al. 2013, Sekiguchi 1995, Toperoff 2002",0.18705,0.1656,NA,NA,0.18705,"wt"
"Harbor porpoise","NE Pacific","Pacific hake",4,"Morejohn et al. 1978, Nichol et al. 2013, Toperoff 2002, Walker et al. 1998",0.1279,NA,NA,NA,0.1279,"wt"
"Harbor porpoise","NE Pacific","Pacific sardine",1,"Toperoff 2002",0.0642,NA,NA,NA,0.0642,"wt"
"Harbor porpoise","NW Atlantic","Atlantic herring",2,"Gannon et al. 1998, Recchia and Read 1989",0.573333333333333,NA,NA,NA,0.573333333333333,"wt"
"Harbor porpoise","NW Atlantic","Atlantic menhaden",1,"Gannon et al. 1998",0.015,NA,NA,NA,0.015,"wt"
"Harbor porpoise","NW Atlantic","Longfin inshore squid",1,"Gannon et al. 1998",0.01,NA,NA,NA,0.01,"wt"
"Harbor porpoise","NW Atlantic","Northern shortfin squid",1,"Gannon et al. 1998",0.01,NA,NA,NA,0.01,"wt"
"Heermann gull","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.256,NA,0.133,0.256,"n"
"Heermann gull","NE Pacific","Northern anchovy",2,"Baltz and Morejohn 1977, Velarde et al. 2015",NA,0.554833333333333,NA,0.467,0.554833333333333,"n"
"Heermann gull","NE Pacific","Pacific sardine",1,"Velarde et al. 2015",NA,0.282,NA,NA,0.282,"n"
"Hooded seal","NW Atlantic","Atlantic herring",1,"Ross 1993 cited by Hammil et al. 1997",NA,NA,0.165,NA,0.165,"energy"
"Humboldt squid","NE Pacific","California market squid",1,"Field et al. 2007",NA,0.015,NA,0.031,0.015,"n"
"Humboldt squid","NE Pacific","Northern anchovy",3,"Field et al. 2007, Field et al. 2013, Markaida et al. 2008",0.049,0.0786666666666667,NA,0.119333333333333,0.049,"wt"
"Humboldt squid","NE Pacific","Pacific chub mackerel",1,"Ehrhardt 1991",0.145,NA,NA,NA,0.145,"wt"
"Humboldt squid","NE Pacific","Pacific hake",2,"Field et al. 2007, Field et al. 2013",0.28,0.161,NA,0.1795,0.28,"wt"
"Humboldt squid","NE Pacific","Pacific sardine",3,"Ehrhardt 1991, Field et al. 2007, Field et al. 2013",0.331625,0.0205,NA,0.061,0.331625,"wt"
"Humpback whale","NE Pacific","Northern anchovy",1,"Clapham 1997",NA,NA,NA,0.213,0.213,"occur"
"Humpback whale","NE Pacific","Pacific sardine",1,"Clapham 1997",NA,NA,NA,0.514,0.514,"occur"
"Indo-pacific blue marlin","NE Pacific","Pacific chub mackerel",1,"Abitia Cardenas 1992",0.0418,0.0521,NA,0.0556,0.0418,"wt"
"Indo-pacific blue marlin","NE Pacific","Pacific hake",1,"Abitia Cardenas 1992",0.352275,0.38125,NA,0.166666666666667,0.352275,"wt"
"Indo-pacific blue marlin","NE Pacific","Pacific sardine",1,"Abitia Cardenas 1992",0.02605,0.04675,NA,0.075,0.02605,"wt"
"Indo-Pacific sailfish","NE Pacific","Pacific chub mackerel",1,"Rosas-Alayola et al. 2002.pdf",0.142,NA,NA,NA,0.142,"wt"
"Jack mackerel","NE Pacific","Northern anchovy",3,"Brodeur et al. 1987, Emmett and Krutzikowsky 2008, Mason and Bishop 2001",0.706,0.2805,NA,0.117,0.706,"wt"
"Jack mackerel","NE Pacific","Pacific hake",1,"Emmett and Krutzikowsky 2008",NA,NA,NA,0.209,0.209,"occur"
"Jack mackerel","NE Pacific","Pacific sardine",2,"Emmet et al. 2005, Emmett and Krutzikowsky 2008",NA,NA,NA,0.385,0.385,"occur"
"Lingcod","NE Pacific","California market squid",1,"Tinus 2012",NA,0.0093,NA,NA,0.0093,"n"
"Lingcod","NE Pacific","Northern anchovy",1,"Tinus 2012",NA,0.0062,NA,NA,0.0062,"n"
"Lingcod","NE Pacific","Pacific hake",1,"Tinus 2012",NA,0.0247,NA,NA,0.0247,"n"
"Long-beaked common dolphin","NE Pacific","California market squid",1,"Osnes-Erie 1999",NA,0.4994,NA,NA,0.4994,"n"
"Long-beaked common dolphin","NE Pacific","Northern anchovy",1,"Osnes-Erie 1999",NA,0.2101,NA,NA,0.2101,"n"
"Long-beaked common dolphin","NE Pacific","Pacific chub mackerel",1,"Osnes-Erie 1999",NA,0.05,NA,NA,0.05,"n"
"Long-beaked common dolphin","NE Pacific","Pacific hake",1,"Osnes-Erie 1999",NA,0.5191,NA,NA,0.5191,"n"
"Long-beaked common dolphin","NE Pacific","Pacific sardine",1,"Osnes-Erie 1999",NA,0.3438,NA,NA,0.3438,"n"
"Long-finned and short-finned pilot whales","NW Atlantic","Atlantic mackerel",1,"Overholtz and Waring 1991",NA,0.0834,NA,NA,0.0834,"n"
"Long-finned pilot whale","NW Atlantic","Atlantic mackerel",1,"Gannon et al. 1997",0.172,NA,NA,NA,0.172,"wt"
"Long-finned pilot whale","NW Atlantic","Longfin inshore squid",2,"Gannon et al. 1997, Staudinger and Juanes 2010a",0.771,NA,NA,NA,0.771,"wt"
"Long-finned pilot whale","NW Atlantic","Northern shortfin squid",1,"Gannon et al. 1997",0.048,NA,NA,NA,0.048,"wt"
"Longbill spearfish","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",0.638,NA,NA,NA,0.638,"wt"
"Mew gull","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.267,NA,0.333,0.267,"n"
"Mew gull","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.267,NA,1,0.267,"n"
"Night shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.388,NA,NA,NA,0.388,"wt"
"Northern fulmar","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.296,NA,0.697,0.296,"n"
"Northern fur seal","NE Pacific","Northern anchovy",1,"Stroud et al. 1981",NA,NA,NA,0.32,0.32,"occur"
"Northern fur seal","NE Pacific","Pacific hake",1,"Zeppelin and Ream 2006",NA,NA,NA,0.00135,0.00135,"occur"
"Northern fur seal","NE Pacific","Pacific sardine",1,"Clemens and Wilby 1933",NA,0.2,NA,NA,0.2,"n"
"Northern fur seal","NW Atlantic","Northern anchovy",1,"Perez and Bigg 1986",NA,NA,NA,NA,NA,"none"
"Northern fur seal","NW Atlantic","Pacific sardine",1,"Perez and Bigg 1986",NA,NA,NA,NA,NA,"none"
"Northern shortfin squid","NW Atlantic","Atlantic herring",1,"Dawe et al. 1997",NA,0.03,NA,NA,0.03,"n"
"Offshore hake","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.213,NA,NA,NA,0.213,"wt"
"Offshore hake","NW Atlantic","Northern shortfin squid",1,"Smith and Link 2010",0.318,NA,NA,NA,0.318,"wt"
"Osprey","NW Atlantic","Atlantic menhaden",2,"Glass and Watts 2009, Mc Clean and Byrd 1991 cited by Viverette et al. 1991",0.75,0.1285,NA,NA,0.75,"wt"
"Pacific bluefin tuna","NE Pacific","California market squid",1,"Pinkas et al. 1971",0.0158,NA,NA,NA,0.0158,"wt"
"Pacific bluefin tuna","NE Pacific","Northern anchovy",1,"Pinkas et al. 1971",0.7999,NA,NA,NA,0.7999,"wt"
"Pacific bluefin tuna","NE Pacific","Pacific chub mackerel",1,"Pinkas et al. 1971",0.0001,NA,NA,NA,0.0001,"wt"
"Pacific chub mackerel","NE Pacific","Northern anchovy",1,"Molina et al. 1996",0.43,NA,NA,1,0.43,"wt"
"Pacific hake","NE Pacific","Northern anchovy",3,"Brodeur et al. 1987, Buckley et al. 1999, Emmett and Krutzikowsky 2008",0.2691,0.253,NA,0.07956,0.2691,"wt"
"Pacific hake","NE Pacific","Pacific chub mackerel",1,"Emmett and Krutzikowsky 2008",NA,NA,NA,0.001,0.001,"occur"
"Pacific hake","NE Pacific","Pacific hake",2,"Buckley et al. 1999, Emmett and Krutzikowsky 2008",0.4019,0.0152,NA,0.026875,0.4019,"wt"
"Pacific hake","NE Pacific","Pacific sardine",2,"Emmet et al. 2005, Emmett and Krutzikowsky 2008",NA,NA,NA,0.192,0.192,"occur"
"Pacific harbor seal","NE Pacific","California market squid",3,"Olesiuk 1993, Orr et al. 2014, Torok 1994",0.02125,0.0005,NA,0.0344,0.02125,"wt"
"Pacific harbor seal","NE Pacific","Northern anchovy",3,"Luxa and Acevedo 2013, Orr et al. 2014, Torok 1994",0.0155,0.041,NA,0.111625,0.0155,"wt"
"Pacific harbor seal","NE Pacific","Pacific chub mackerel",1,"Orr et al. 2014",NA,NA,NA,0.0306666666666667,0.0306666666666667,"occur"
"Pacific harbor seal","NE Pacific","Pacific hake",2,"Olesiuk 1993, Orr et al. 2014",0.426,NA,0.333,0.288333333333333,0.426,"wt"
"Pacific harbor seal","NE Pacific","Pacific sardine",2,"Luxa and Acevedo 2013, Orr et al. 2004",NA,NA,NA,0.0605,0.0605,"occur"
"Pacific herring","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.002,NA,NA,0.167,0.002,"wt"
"Pacific sanddab","NE Pacific","California market squid",1,"Morejohn et al. 1978",0.18,NA,NA,NA,0.18,"wt"
"Pacific saury","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.046,0.059,NA,0.074,0.046,"wt"
"Pacific white-sided dolphin","NE Pacific","California market squid",1,"Morejohn et al. 1978",0.05,NA,NA,NA,0.05,"wt"
"Pacific white-sided dolphin","NE Pacific","Northern anchovy",1,"Morejohn et al. 1978",0.12,NA,NA,NA,0.12,"wt"
"Pacific white-sided dolphin","NE Pacific","Pacific hake",1,"Stroud et al. 1981",NA,NA,NA,0.34,0.34,"occur"
"Pacific white-sided dolphin","NE Pacific","Pacific sardine",1,"Stroud et al. 1981",NA,NA,NA,NA,NA,"none"
"Pink-footed shearwater","NE Pacific","California market squid",1,"Baltz and Morejohn 1977",NA,0.712,NA,0.6,0.712,"n"
"Pink-footed shearwater","NE Pacific","Northern anchovy",1,"Baltz and Morejohn 1977",NA,0.089,NA,0.6,0.089,"n"
"Pollock","Europe","Atlantic mackerel",1,"Pinnegar et al. 2003",NA,NA,NA,NA,NA,"none"
