"pred_comm","pred_species"
"Razorbill","Aka torda"
"Razorbill","Alca torda"
"Common minke whale","Balaenoptera acutorostrata"
"Great skua","Catharacta skua"
"Black guillemot","Cepphus grylle"
"Grey gurnard","Eutrigla gurnardus"
"Puffin","Fratercula arctica"
"Atlantic puffin","Fratercula arctica"
"Fulmar","Fulmarus glaciulis"
"Atlantic cod","Gadus morhua"
"Great black back gull","Larus marinus"
"Megrim","Lepidorhombus whiffiagonis"
"Large crabs","Majidae spp"
"European hake","Merluccius merluccius"
"Whiting","Merluccius merluccius"
"Hake","Merluccius merluccius"
"Harp seal","Pagophilus groenlandicus"
"Peruvian pelican","Pelecanus thagus"
"Shag","Phalacrocorax aristotelis"
"European shag","Phalacrocorax aristotelis"
"Guanay cormorant","Phalacrocorax bougainvillii"
"Saithe","Pollachius virens"
"Black legged kittiwake","Rissa tridactyla"
"Kittiwake","Rissa tridactyla"
"Black-legged kittiwake","Rissa tridactyla"
"Eastern pacific bonito","Sarda chiliensis chiliensis"
"Chub mackerel","Scomber japonicus"
"Mackerel","Scomber japonicus"
"Mackerel","Scomber scombrus"
"Arctic skua","Stercorarius parasiticus"
"Arctic tern","Sterna paradisaea"
"Gannet","Sula bassana"
"Peruvian booby","Sula variegate"
"Horse mackerel","Trachurus murphyi"
"Chilean jack mackerel","Trachurus murphyi"
"Horse mackerel","Trachurus trachurus"
"Guillemot","Uria aalge"
"Common guillemot","Uria aalge"
"Herring gull",NA
