type,comm_name,class,order,family,genus,species,species_sub
mammals,Northern fur seal,Mammalia,Carnivora,Otariidae,Callorhinus,Callorhinus ursinus,Callorhinus ursinus
fish,Armhook squid,Cephalopoda,Oegopsida,Gonatidae,Gonatidae spp.,Gonatidae spp.,Gonatidae spp.
fish,Walleye pollock,Actinopterygii,Gadiformes,Gadidae,Theragra,Theragra chalcogramma,Theragra chalcogramma
