"pred_comm","pred_species","prey_comm","prey_species","area","reference","units","diet_prop","dietid"
"Northern fur seal","Callorhinus ursinus","Armhook squid","Gonatidae spp.","Pribolof Islands","Sinclair et al 2008 Figure 3","percent occurrence",35.6487055233333,"Northern fur seal Pribolof Islands"
"Northern fur seal","Callorhinus ursinus","Walleye pollock","Theragra chalcogramma","Pribolof Islands","Sinclair et al 2008 Figure 3","percent occurrence",57.370420325,"Northern fur seal Pribolof Islands"
