"source","stocklong","dietid","region","area","location","comm_name","species","reference","n_units","n_yr"
"Towell et al. (2016)","Northern fur seal St. George","Northern fur seal Pribolof Islands","Bering Sea","Pribolof Islands","St. George","Northern fur seal","Callorhinus ursinus","Towell et al 2016 Figure 2","# of males (harem males + idle males)",41
"Towell et al. (2016)","Northern fur seal St. Paul","Northern fur seal Pribolof Islands","Bering Sea","Pribolof Islands","St. Paul","Northern fur seal","Callorhinus ursinus","Towell et al 2016 Figure 2","# of males (harem males + idle males)",42
