"source","stocklong","stockid","dietid","region","area","location","pred_type","class","order","family","species","comm_name","reference","n_units","n_yr","diet_yn","diet_prop"
"Hilborn et al. (2017)","Albacore tuna North Pacific Ocean","ALBANPAC","Albacore tuna NE Pacific","NE Pacific","US West Coast","North Pacific Ocean","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","RAM","ram",45,"Y",0.406666666666667
"Hilborn et al. (2017)","Albacore tuna Northern Atlantic","ALBANATL","Albacore tuna NW Atlantic","NW Atlantic","Atlantic Ocean","Northern Atlantic","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","RAM","ram",58,"Y",0.5195
"Hilborn et al. (2017)","Arrowtooth flounder Pacific Coast","ARFLOUNDPCOAST","Arrowtooth flounder NE Pacific","NE Pacific","US West Coast","Pacific Coast","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder","RAM","ram",92,"Y",0.5989
"Hilborn et al. (2017)","Atlantic bluefin tuna Western Atlantic","ATBTUNAWATL","Atlantic bluefin tuna NW Atlantic","NW Atlantic","Atlantic Ocean","Western Atlantic","fish","Actinopterygii","Perciformes","Scombridae","Thunnus thynnus","Atlantic bluefin tuna","RAM","ram",40,"Y",1.26832
"Hilborn et al. (2017)","Atlantic cod Georges Bank","CODGB","Atlantic cod NW Atlantic","NW Atlantic","US East Coast","Georges Bank","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","RAM","ram",34,"Y",0.626
"Hilborn et al. (2017)","Atlantic croaker Mid-Atlantic Coast","ATLCROAKMATLC","Atlantic croaker NW Atlantic","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias undulatus","Atlantic croaker","RAM","ram",30,"N",0
"Hilborn et al. (2017)","Atlantic halibut Gulf of Maine / Georges Bank","ATHAL5YZ","Atlantic halibut NW Atlantic","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut","RAM","ram",208,"Y",0.126
"Hilborn et al. (2017)","Atlantic sharpnose shark Northwest Atlantic & GOM [abundance (pred.)]",NA,"Atlantic sharpnose shark NW Atlantic","NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon terraenovae","Atlantic sharpnose shark","SEDAR 2013","abundance (pred.)",62,"Y",0.03665
"Hilborn et al. (2017)","Atlantic white-sided dolphin Central Virginia-Lower Bay of Fundy [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","Central Virginia-Lower Bay of Fundy","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2015","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin Georges Bank-Gulf of St. Lawrence [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","Georges Bank-Gulf of St. Lawrence","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2002","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin NW Atlantic [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","NW Atlantic","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2010","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","S. Gulf of Maine-Upper Bay of Fundy-Gulf of St. Lawrence","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 2011","abundance (est.)",1,"Y",0.35
"Hilborn et al. (2017)","Atlantic white-sided dolphin Virginia-Gulf of St. Lawrence [abundance (est.)]",NA,"Atlantic white-sided dolphin NW Atlantic","NW Atlantic","NW Atlantic","Virginia-Gulf of St. Lawrence","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus acutus","Atlantic white-sided dolphin","NOAA 1997","abundance (est.)",1,"Y",0.35
