"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"AFPENWCAPE","African penguin W Cape (pairs)","Benguela Current","Benguela Current","W Cape","Crawford et al 2008","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","pairs",1,"Sardine/anchovy",999,999,0.102863278262391,0.149639309715382,0.00594238525100737,1.78057355219312,0.798364392465836,0.0667642783611702,0.677668027304758,0.9405574373818,6.56641937505921,5.02405849437738,-3.28073527392045,16.4135740240389,"none",0.107857961147492,0.0174968659053371,0.0784813728056589,0.148230584749086
"ALBANATL","Albacore tuna North Atlantic","Atlantic Ocean","Atlantic Ocean","Northern Atlantic","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","MT",1,"Northern shortfin squid",0.5195,0.5195,0.122010879259291,0.00423233492860375,0.113991215550402,0.130594753163616,1.1349151222957,0.0259755178205908,1.08512817156827,1.1869863566015,-0.00150646137050028,0.0499581995347126,-0.0994245324585371,0.0964116097175365,"none",0.00599730733708113,0.000542970513029403,0.00502216235138992,0.0071617946173032
"ALBANPAC","Albacore tuna North Pacific","Pacific Ocean","Pacific Ocean","North Pacific Ocean","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","MT",5,"Northern anchovy",0.3575,0.593333333333333,0.279272231897303,0.0517597968961559,0.194206939125037,0.401597285144823,1.0508291228925,0.0592858714531225,0.940823100133075,1.17369763280985,0.0717252546731249,0.259945639523631,-0.437768198793191,0.581218708139441,"none",0.0225050450382318,0.00365079917183324,0.0163754887525707,0.030928973163829
"APUFFHERNYKEN","Atlantic puffin Hernyken (apparently occupied burrows)","Norwegian Sea","Norwegian Sea","Hernyken","Anker-Nilssen and Aarvak 2006","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin","apparently occupied burrows",1,"Herring",999,999,0.226101273362866,0.0972738733413159,0.0972949175335533,0.525431205578436,0.518738330504858,0.0595080198549565,0.41428518023071,0.649527109285239,0.272624760970893,0.942097876046059,-1.57388707607938,2.11913659802117,"none",0.0555955444608024,0.00838134088767611,0.0413727331075899,0.0747077684197284
"ARCTERFOULA","Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","JNCC Data","birds","Aves","Ciconiiformes","Laridae","Sterna paradisaea","Arctic tern","occupied territory",1,"Lesser sand-eel",1,1,0.0628713341222056,0.146136761699984,0.000660544323577851,5.98416262650715,0.0466567594725599,0.157350934942785,6.28298646522385e-05,34.6467912437681,1.54633859331418,1.0430939118386,-0.498125473889484,3.59080266051784,"none",0.114708050379805,0.0156097832867968,0.0878532738709186,0.149771730092478
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder","MT",1,"Pacific hake",0.5989,0.5989,0.0771671830159849,0.0637449867917664,0.0152852755272663,0.389575845329071,2.32952325235943,2.71726522998189,0.236792195351144,22.9174723230888,0.244294562094838,0.252759327499881,-0.25111371980493,0.739702843994605,"none",0.0402222819069617,0.00438860928627548,0.0324781533020969,0.0498129295331162
"BLACKROCKCAL","Black rockfish California","USA/Canada West","US West Coast","California","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes melanops","Black rockfish","MT",1,"Northern anchovy",0.419,0.419,0.140614434905887,0.0393479421659887,0.0812521726200817,0.243346345904541,2.40775726808998,1.07850833823357,1.00075187967728,5.79293946858202,0.0458907960162911,0.127560606073345,-0.204127991887465,0.295909583920048,"none",0.0401326071387733,0.00460352422496322,0.0320520711980208,0.0502502988279451
"BLKVEDOY","Black-legged kittiwake Vedoy (occupied nests)","Norwegian Sea","Norwegian Sea","Vedoy","Anker-Nilssen and Aarvak 2006","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","occupied nests",1,"Herring",999,999,0.19647880705162,0.0947222409140766,0.0763738597926561,0.505459874952396,0.580431689486349,0.0726717494728692,0.454125854315256,0.741866914113414,0.668136267208277,0.767707169793149,-0.836569785586296,2.17284232000285,"none",0.0573254858353496,0.00864213927568369,0.0426601097035934,0.0770324162101735
"BLUEFISHATLC","Bluefish Atlantic Coast","USA/Canada East","US East Coast","Atlantic Coast","RAM","fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","Bluefish","MT",5,"Atlantic menhaden",0.125,0.382434210526316,0.216371738344688,0.0330793321429439,0.160348460885541,0.291968684300127,1.5119598325983,0.303102951025389,1.02069629912092,2.23966966213118,0.0674469492563955,0.373709569523391,-0.665023807009452,0.799917705522243,"none",0.0302879319863504,0.00397699898217976,0.0234152805987327,0.0391777847863773
"BRACORFIF","Brandt cormorant Gulf of Farallon Islands [nests (total)]","NE Pacific","California","Gulf of Farallon Islands","Capitolo et al. 2014","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","nests (total)",5,"Northern anchovy",0.199925925925926,0.289092592592593,0.237308519713685,0.281426406943793,0.0232191790206549,2.42538004804582,0.967883537243755,0.507785981536147,0.34613412804918,2.70646106741135,-0.244332636846661,1.30962271385759,-2.81119315600753,2.32252788231421,"none",0.201406234079857,0.0356039166048068,0.142428728859909,0.284805400223216
"BRACORFIS","Brandt cormorant South Farallon Island [breeding adults]","NE Pacific","California","South Farallon Island","Elliot et al. 2015","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","breeding adults",5,"Northern anchovy",0.199925925925926,0.289092592592593,0.557602452077747,0.176161451840873,0.300194351551152,1.03573066234105,0.52312635450725,0.0698028568485259,0.402740460078659,0.679497616719703,0.322285849622585,0.401108343261783,-0.463886503170511,1.10845820241568,"none",0.203068598153283,0.0224251677168917,0.163546626154303,0.252141279374564
