"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"GSEALSABLEISL","Grey seal Sable Islands [pup production]","NW Atlantic","NW Atlantic","Sable Islands","Bowen et al. 2003","mammals","Mammalia","Carnivora","Phocidae","Halichoerus grypus","Grey seal","pup production",3,"Atlantic mackerel",0.162666666666667,0.273266666666667,0.10999814879748,0.0515604844364915,0.0438920841709511,0.275666853543499,2.42615314444932,2.32374370343745,0.371220059548902,15.8564143529154,-0.280360144932433,0.263986212797408,-0.797773122015353,0.237052832150487,"none",0.0395927122272632,0.00626015538240157,0.0290419680873113,0.0539764680133979
"GUACORPERU","Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","IMARPE.Renato","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","number of adults",1,"Peruvian anchoveta",0.335,0.335,0.323535677733128,0.056107205579102,0.230305876876775,0.454505704264947,0.134651602117779,0.0177513618209951,0.103990589336779,0.174352833929678,-1.07657528125268,0.118075661401993,-1.30800357760058,-0.845146984904769,"negative",0.0719278673192233,0.00698624973491828,0.0594592859439679,0.0870111037318411
"HAKENRTN","Hake Northeast Atlantic North","Europe","European Union","IIIa-IV-VI-VII-VIIIabd","RAM","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius merluccius","European hake","MT",1,"Blue whiting",0.309,0.309,0.611845903653298,0.0497103415629194,0.52177544255747,0.717464601213171,2.06420979332059,0.264901547539069,1.60515328662816,2.65455150379523,0.00427594385932926,0.0543680297356064,-0.102285394422459,0.110837282141118,"none",0.0531237979121067,0.0064422046180999,0.0418855193159444,0.0673774123061203
"HAKESOTH","Hake Northeast Atlantic South","Europe","European Union","VIIIc-IXa","RAM","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius merluccius","European hake","MT",1,"Blue whiting",0.309,0.309,0.637300112589191,0.0625794058435057,0.525725564536168,0.772554086968417,1.82732232071499,0.266398124780782,1.37315498566801,2.43170428584854,0.0923106775072343,0.0543410910763562,-0.0141978610024239,0.198819216016892,"none",0.0672565044409491,0.00827870065017786,0.0528392609088933,0.0856075068388036
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII","Europe","European Union","IIa-IVa-Vb-VIa-VII-VIII","RAM","fish","Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","Horse mackerel","MT",1,"Norway pout",0.229,0.229,0.116702899551268,0.0457191469298216,0.0541516359243746,0.251507946734865,1.09272757642214,0.227556706607478,0.726522206707922,1.64351969595534,-0.107654043337658,0.282178242389772,-0.660723398421611,0.445415311746294,"none",0.0507273116031164,0.00654886558493776,0.0393867564207102,0.065333131649465
"MACKNEICES","Mackerel ICES Northeast Atlantic","Europe","European Union","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","RAM","fish","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","Atlantic mackerel","MT",3,"Sandeel spp.",0.1899,0.2794,0.243320656303133,0.0689567676971785,0.139619185668119,0.424045889542145,1.79298857365099,0.563516189173956,0.968388252762688,3.31975115979729,-0.114169071863781,0.110438689910961,-0.330628904089265,0.102290760361702,"none",0.0539267064313585,0.00696190554357706,0.041870897227832,0.0694537222527175
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","USA/Canada East","US East Coast","Southern Georges Bank / Mid-Atlantic","RAM","fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius americanus","Goosefish","MT",4,"Northern shortfin squid",0.24675,0.32755,0.484777545129686,0.0360922500504231,0.418955975672984,0.560940246488812,1.03997921668361,0.01883590709361,1.00370843859564,1.0775607034321,-0.0769934568287119,0.0500682529138769,-0.175127232539911,0.0211403188824868,"none",0.0178927349463211,0.00248127506950686,0.013634341986332,0.0234811451979302
"NFURSEALSMI","Northern fur seal San Miguel Islands [pups]","NE Pacific","California","San Miguel Islands","NOAA 2013","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","pups",3,"Northern anchovy",0.32,0.52135,0.391777796612238,0.136243024009866,0.198163679036274,0.774560921884394,0.607182699415347,0.0749367388733658,0.476721366052114,0.773346564099679,-0.0480274231775051,0.334242972919687,-0.703143650100092,0.607088803745082,"none",0.133065251309272,0.0159043342258675,0.105274885868272,0.168191691303805
"PERBOOPERU","Peruvian booby Peru (number of adults)","Humboldt","Peru","Peru","IMARPE.Renato","birds","Aves","Ciconiiformes","Sulidae","Sula variegata","Peruvian booby","number of adults",1,"Peruvian anchoveta",0.795671428571429,0.795671428571429,0.677776540317254,0.161216295092035,0.425221829770059,1.08033267918733,0.574430841858728,0.0434909020797347,0.495211812468477,0.666322538700611,-0.15730491925918,0.271991083771405,-0.690407443451134,0.375797604932773,"none",0.176395732994348,0.0171330624527367,0.145817813294233,0.213385826571327
"PERPELPERU","Peruvian pelican Peru (number of adults)","Humboldt","Peru","Peru","IMARPE.Renato","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus thagus","Peruvian pelican","number of adults",1,"Peruvian anchoveta",0.8,0.8,0.488789019696504,0.161398194570818,0.255887706597747,0.933670120196282,0.355667750161997,0.0670611468880047,0.245780546359368,0.51468495118542,0.147428391529136,0.329134921999289,-0.497676055589471,0.792532838647743,"none",0.183081447687926,0.0177824362524391,0.151344569981474,0.221473532163128
"POLL5YZ","Pollock NAFO-5YZ","USA/Canada East","US East Coast","Gulf of Maine / Georges Bank","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Pollachius virens","Pollock","MT",4,"Longfin inshore squid",0.378,0.547333333333333,0.142050973909506,0.0347324252547991,0.0879662034482749,0.229388997110741,0.957365187612172,0.0969012398269289,0.785091599474121,1.16744097512395,0.0196666531457563,0.202296874220129,-0.376835220325696,0.416168526617209,"none",0.0338192066724074,0.00416285518542828,0.0265696515147691,0.0430468099784915
"POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea","Europe","European Union","IIIa, VI and North Sea","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Pollachius virens","Pollock","MT",3,"Norway pout",0.34605,0.62345,0.416555971555435,0.13289466337815,0.222898880616687,0.778464552887943,2.14996266548169,0.875839586277738,0.967535466517177,4.77743671723384,-0.110174865917512,0.0717257241067844,-0.250757285166809,0.0304075533317855,"none",0.085729010914289,0.0107161227925859,0.0671004913809494,0.109529202560041
"SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","USA/Canada East","Canada East Coast","Scotian Shelf and Bay of Fundy","RAM","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius bilinearis","Silver hake","MT",4,"Atlantic mackerel",0.127833333333333,0.400208333333333,0.514033467027784,0.112988194961282,0.334108736772922,0.79085152868717,1.03831316775129,0.0710254618076359,0.908031965940357,1.18728665373497,-0.496628302868679,0.232778166959416,-0.952873510109134,-0.0403830956282241,"negative",0.0978489660231497,0.0150984182149167,0.0723120413058811,0.132404230041019
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus alascanus","Shortspine thornyhead","MT",1,"Pacific hake",0.224633333333333,0.224633333333333,0.0471161373666925,0.0148991101592396,0.0253511091176242,0.0875673876853667,0.932884453755881,0.00906628382065283,0.915282711815842,0.95082469364341,0.0764016011923839,0.242891195935589,-0.39966514284137,0.552468345226137,"none",0.00149704498653965,0.000236703516964573,0.00109810948223353,0.00204091097288868
"WHAKE4T","White hake Southern Gulf of St. Lawrence","USA/Canada East","Canada East Coast","Southern Gulf of St. Lawrence","RAM","fish","Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","White hake","MT",4,"Northern shortfin squid",0.3095,0.4495,0.0274175151763217,0.0208457939418617,0.00617788306099347,0.121679243686258,5.49794347802034,3.24584022420616,1.72847932149461,17.4878473300849,0.424055320699855,0.340037177111536,-0.242417546438756,1.09052818783847,"none",0.0706466873826902,0.00870042535476267,0.0554959081532485,0.0899337375354837
"WHAKEGBGOM","White hake Georges Bank / Gulf of Maine","USA/Canada East","US East Coast","Gulf of Maine / Georges Bank","RAM","fish","Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","White hake","MT",4,"Northern shortfin squid",0.3095,0.4495,0.357456256822881,0.0297519921105118,0.303650454207867,0.420796260210287,1.51929100367847,0.116488950331628,1.30730040058536,1.76565780353529,0.0109105914667885,0.0401425361878243,-0.0677687794613472,0.0895899623949241,"none",0.0304289891674673,0.00344540341234232,0.0243728429922195,0.0379899621086231
"WHITNS-VIId","Whiting NS-VIId","Europe","European Union","IV and VIId","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Merlangius merlangus","Whiting","MT",3,"Sandeel spp.",0.207025,0.50765,0.3096687310701,0.164816069950565,0.109106609527149,0.878908467765231,0.93749763441456,0.187312113714061,0.633719263299084,1.38689458476836,0.205790196654187,0.243975415332877,-0.272401617398251,0.683982010706626,"none",0.125555508757565,0.0174114105324482,0.095673844710446,0.164770066752108
"YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","USA/Canada West","US West Coast","Northern Pacific Coast","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes flavidus","Yellowtail rockfish","MT",2,"Pacific hake",0.163,0.246,0.249386629299871,0.0859548634297596,0.126907802282336,0.490069875571458,0.931399433613096,0.084559863503988,0.779571026168417,1.11279777700125,-0.159650923671915,0.294342135575639,-0.736561509400168,0.417259662056337,"none",0.0796900476861246,0.00902311807678526,0.0638296924563022,0.0994913723666202
