"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"AFPENWCAPE","African penguin W Cape (pairs)","Benguela Current","Benguela Current","W Cape","Crawford et al 2008","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","pairs",1,"Sardine/anchovy",999,999,0.213721401429917,0.151692043213676,0.0531720688794356,0.859038182861325,0.653975314244272,0.135334933367835,0.435922015230868,0.981101428002872,0.105950865398118,0.485926302591483,-0.846464687681189,1.05836641847742,"none",0.117013566918853,0.019020368243847,0.0850887660385938,0.160916363940011
"ALBANATL","Albacore tuna North Atlantic","Atlantic Ocean","Atlantic Ocean","Northern Atlantic","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","MT",1,"Northern shortfin squid",0.5195,0.5195,0.121926186559934,0.00426638984800364,0.113844369703097,0.130581731954051,1.13494172035471,0.0261946658579357,1.08474413358751,1.18746224913121,-0.00144168809772331,0.0501464224538123,-0.0997286761071954,0.0968452999117488,"none",0.00604657040439813,0.000551881333923067,0.00505611558710962,0.00723104783216474
"ALBANPAC","Albacore tuna North Pacific","Pacific Ocean","Pacific Ocean","North Pacific Ocean","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","MT",5,"Northern anchovy",0.3575,0.593333333333333,0.276682791211163,0.0524985831799002,0.190752293360117,0.401323442061463,1.05061239589323,0.0604115748629131,0.938634318525427,1.17594933896999,0.0586961635808858,0.236004000399053,-0.403871677201258,0.521264004363029,"none",0.0229795961891159,0.00378799280821028,0.0166351381586789,0.0317437604652131
"APUFFHERNYKEN","Atlantic puffin Hernyken (apparently occupied burrows)","Norwegian Sea","Norwegian Sea","Hernyken","Anker-Nilssen and Aarvak 2006","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin","apparently occupied burrows",1,"Herring",999,999,0.206653503371401,0.0846699843888808,0.0925725941380074,0.461320878531371,0.516073518639468,0.0655914092330347,0.402276258602705,0.662062130054649,0.0387611998589656,0.450421017424369,-0.844063994292798,0.921586394010729,"none",0.0560093292632616,0.0084603404844123,0.0416564274044037,0.0753075854073079
"ARCTERFOULA","Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","JNCC Data","birds","Aves","Ciconiiformes","Laridae","Sterna paradisaea","Arctic tern","occupied territory",1,"Lesser sand-eel",1,1,0.137086102609421,0.153652042669093,0.0152374513680065,1.23331645658924,0.151013386638118,0.189136959572478,0.0129690185673871,1.75842472777864,0.429376253699523,0.398433371260276,-0.351553153970617,1.21030566136966,"none",0.119308316636229,0.0166625090335023,0.0907382442526488,0.156874034050479
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder","MT",1,"Pacific hake",0.5989,0.5989,0.0721009081571403,0.0631849789268046,0.0129414891337435,0.40169573248953,2.53602594830544,3.4641755888239,0.174342413597753,36.889632750624,0.195760114322277,0.235182050520435,-0.265196704697776,0.65671693334233,"none",0.0406544097490085,0.00447593119231025,0.032763564634361,0.0504457024284504
"BLACKROCKCAL","Black rockfish California","USA/Canada West","US West Coast","California","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes melanops","Black rockfish","MT",1,"Northern anchovy",0.419,0.419,0.139402980091221,0.039734195087173,0.0797349313215309,0.243722425494406,2.41242803530973,1.10212851821185,0.985307970222376,5.90658880414303,0.044057051129267,0.126110843089416,-0.203120201325989,0.291234303584523,"none",0.040639983263369,0.00471716754932284,0.0323706162967222,0.051021834879744
"BLKVEDOY","Black-legged kittiwake Vedoy (occupied nests)","Norwegian Sea","Norwegian Sea","Vedoy","Anker-Nilssen and Aarvak 2006","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","occupied nests",1,"Herring",999,999,0.157926369632387,0.0987389076588311,0.0463719819821547,0.537840677908988,0.56089107946815,0.101089247960939,0.393970668504222,0.798533566525082,0.156155041996654,0.437898539248144,-0.702126094929708,1.01443617892302,"none",0.0582297323896296,0.00883811552381548,0.0432461003141713,0.0784047974160753
"BLUEFISHATLC","Bluefish Atlantic Coast","USA/Canada East","US East Coast","Atlantic Coast","RAM","fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","Bluefish","MT",5,"Atlantic menhaden",0.125,0.382434210526316,0.215212951626937,0.0329328583779913,0.159445146442843,0.290486199055181,1.51470547006868,0.302421869652145,1.02418059901332,2.24016415002032,0.0486121481029954,0.29814366811838,-0.535749441409029,0.632973737615019,"none",0.030628666722823,0.00405080709618757,0.0236346953334533,0.0396922918608529
"BRACORFIF","Brandt cormorant Gulf of Farallon Islands [nests (total)]","NE Pacific","California","Gulf of Farallon Islands","Capitolo et al. 2014","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","nests (total)",5,"Northern anchovy",0.199925925925926,0.289092592592593,0.207393212098243,0.270617225592504,0.016072484051593,2.67612301162395,0.989445068917694,0.582959894336133,0.311797558564619,3.13986276516224,-0.0136246716123105,0.457095313226385,-0.909531485536026,0.882282142311405,"none",0.20234750568444,0.0357926313553823,0.143063435902659,0.286198306355326
