sort_cmf,sort_orig,country,location_orig,location,pred_common,pred_scientific,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
1,766,English Channel,Celtic Sea,Celtic Sea,European hake,Merluccius merluccius,Celtic Sea European hake,,Du Buit 1996 Figure 4,1983-1985,1984,,,European sprat,Sprattus sprattus,"mean 128, range=90-160",,,,
2,769,English Channel,English Channel,English Channel,European bass,Dicentrarchus labrax,English Channel European bass,,Standord and Pitcher 2004 Table 2.14,1998,1998,,,Sandeel spp.,Ammodytidae spp.,,,29.7,diet matrix,
3,770,English Channel,English Channel,English Channel,John Dory,Zeus faber,English Channel John Dory,,Standord and Pitcher 2004 Table 2.14,1998,1998,,,European sprat,Sprattus sprattus,,,19.5,diet matrix,
4,767,English Channel,English Channel,English Channel,Whiting,Merlangius merlangus,English Channel Whiting,,Standord and Pitcher 2004 Table 2.14,1998,1998,,,Sandeel spp.,Ammodytidae spp.,,,25.2,diet matrix,
5,768,English Channel,English Channel,English Channel,Whiting (juvenile),Merlangius merlangus,English Channel Whiting (juvenile),,Standord and Pitcher 2004 Table 2.14,1998,1998,,,Atlantic herring,Clupea harengus,,,23,diet matrix,
6,211,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1977,1977,,max number of nests,,,,,,,
7,212,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1978,1978,43,max number of nests,,,,,,,
8,213,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1979,1979,41,max number of nests,,,,,,,
9,214,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1980,1980,31,max number of nests,,,,,,,
10,215,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1981,1981,27,max number of nests,,,,,,,
11,216,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1982,1982,27,max number of nests,,,,,,,
12,217,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1983,1983,25,max number of nests,,,,,,,
13,218,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1984,1984,25,max number of nests,,,,,,,
14,219,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1985,1985,26,max number of nests,,,,,,,
15,220,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1986,1986,28,max number of nests,,,,,,,
16,221,North Sea,Burravoe,Burravoe,European shag,Phalacrocorax aristotelis,Burravoe European shag,,Dunnet and Heubeck 1995 Table 4,1987,1987,23,max number of nests,,,,,,,
17,760,North Sea,,Daan 1989,Mackerel,Scomber scombrus,Daan 1989 Mackerel,Jan-Mar,Daan 1989 Table 8D,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,12.2,by weight,values are averaged over all age classes (1-8+)
18,761,North Sea,,Daan 1989,Mackerel,Scomber scombrus,Daan 1989 Mackerel,Apr-Jun,Daan 1989 Table 8D,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,48.63,by weight,values are averaged over all age classes (1-8+)
