sort_cmf,sort_orig,country,location_orig,location,pred_common,pred_scientific,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
19,762,North Sea,,Daan 1989,Mackerel,Scomber scombrus,Daan 1989 Mackerel,Jul-Sep,Daan 1989 Table 8D,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,13.8,by weight,values are averaged over all age classes (1-8+)
20,763,North Sea,,Daan 1989,Mackerel,Scomber scombrus,Daan 1989 Mackerel,Oct-Dec,Daan 1989 Table 8D,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,1.3,by weight,values are averaged over all age classes (1-8+)
21,764,North Sea,,Daan 1989,Saithe,Pollachius virens,Daan 1989 Saithe,Jan-Jun,Daan 1989 Table 8E,1981,1981,,,Norway pout,Trisopterus esmarkii,,,47.9,by weight,values are averaged over all size classes (250-1000)
22,765,North Sea,,Daan 1989,Saithe,Pollachius virens,Daan 1989 Saithe,Jul-Dec,Daan 1989 Table 8E,1981,1981,,,Norway pout,Trisopterus esmarkii,,,21.31,by weight,values are averaged over all size classes (250-1000)
23,752,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Jan-Mar,Daan 1989 Table 8C4,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,7.16,by weight,values are averaged over all age classes (1-6+)
24,753,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Apr-Jun,Daan 1989 Table 8C4,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,46.75,by weight,values are averaged over all age classes (1-6+)
25,754,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Jul-Sep,Daan 1989 Table 8C4,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,14.66,by weight,values are averaged over all age classes (1-6+)
26,755,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Oct-Dec,Daan 1989 Table 8C4,1981,1981,,,Sandeel spp.,Ammodytidae spp.,,,14.21,by weight,values are averaged over all age classes (1-6+)
27,756,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Jan-Mar,Daan 1989 Table 8C4,1981,1981,,,European sprat,Sprattus sprattus,,,16.53,by weight,values are averaged over all age classes (1-6+)
28,757,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Apr-Jun,Daan 1989 Table 8C4,1981,1981,,,European sprat,Sprattus sprattus,,,3.15,by weight,values are averaged over all age classes (1-6+)
29,758,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Jul-Sep,Daan 1989 Table 8C4,1981,1981,,,European sprat,Sprattus sprattus,,,21.12,by weight,values are averaged over all age classes (1-6+)
30,759,North Sea,,Daan 1989,Whiting,Merlangius merlangus,Daan 1989 Whiting,Oct-Dec,Daan 1989 Table 8C4,1981,1981,,,European sprat,Sprattus sprattus,,,9.53,by weight,values are averaged over all age classes (1-6+)
31,171,North Sea,Farne Islands,Farne Islands,Black-legged kittiwake,Rissa tridactyla,Farne Islands Black-legged kittiwake,Jun-Jul,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,1968,1968,,,Sandeel spp.,Ammodytidae spp.,,,56,,
32,172,North Sea,Farne Islands,Farne Islands,Black-legged kittiwake,Rissa tridactyla,Farne Islands Black-legged kittiwake,Jun-Jul,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,1969,1969,,,Sandeel spp.,Ammodytidae spp.,,,56,,
33,173,North Sea,Farne Islands,Farne Islands,Black-legged kittiwake,Rissa tridactyla,Farne Islands Black-legged kittiwake,Jun-Jul,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,1970,1970,,,Sandeel spp.,Ammodytidae spp.,,,56,,
34,174,North Sea,Farne Islands,Farne Islands,Black-legged kittiwake,Rissa tridactyla,Farne Islands Black-legged kittiwake,Jun-Jul,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,1971,1971,,,Sandeel spp.,Ammodytidae spp.,,,56,,
35,175,North Sea,Farne Islands,Farne Islands,Black-legged kittiwake,Rissa tridactyla,Farne Islands Black-legged kittiwake,Jun-Jul,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,1972,1972,,,Sandeel spp.,Ammodytidae spp.,,,56,,
36,176,North Sea,Farne Islands,Farne Islands,Black-legged kittiwake,Rissa tridactyla,Farne Islands Black-legged kittiwake,Jun-Jul,diet=Pearson 1968  in Coulston and Thomas 1985 Table 4,1973,1973,,,Sandeel spp.,Ammodytidae spp.,,,56,,
37,1,North Sea,Foula,Foula,Arctic skua,Stercorarius parasiticus,Foula Arctic skua,,JNCC Data,2006,2006,79,occupied territory,,,,,,,
38,2,North Sea,Foula,Foula,Arctic skua,Stercorarius parasiticus,Foula Arctic skua,,JNCC Data,2007,2007,71,occupied territory,,,,,,,
39,3,North Sea,Foula,Foula,Arctic skua,Stercorarius parasiticus,Foula Arctic skua,,JNCC Data,2008,2008,41,occupied territory,,,,,,,
40,4,North Sea,Foula,Foula,Arctic skua,Stercorarius parasiticus,Foula Arctic skua,,JNCC Data,2009,2009,63,occupied territory,,,,,,,
41,5,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1969,1969,262,occupied territory,,,,,,,
42,6,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1970,1970,500,occupied territory,,,,,,,
43,7,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1971,1971,916,occupied territory,,,,,,,
44,8,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1972,1972,1000,occupied territory,,,,,,,
45,9,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1973,1973,750,occupied territory,,,,,,,
46,10,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1974,1974,1700,occupied territory,,,,,,,
47,11,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1975,1975,6000,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80 ,,100,by mass,
48,12,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1976,1976,5650,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80 ,,100,by mass,
49,13,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1977,1977,3000,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80 ,,100,by mass,
50,14,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1978,1978,2000,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80,,100,by mass,
51,15,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1979,1979,4450,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80,,100,by mass,
52,16,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1980,1980,4200,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80,,100,by mass,
53,17,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1981,1981,1900,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80,,100,by mass,
54,18,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1982,1982,1259,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80,,100,by mass,
55,19,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,Jun-Jul,JNCC Data; diet=Furness 1990 Table 3,1983,1983,1150,occupied territory,Lesser sand-eel,Ammodytes marinus,30-80,,100,by mass,
56,20,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1984,1984,274,occupied territory,,,,,,,
57,21,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1986,1986,643,occupied territory,,,,,,,
58,22,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1987,1987,300,occupied territory,,,,,,,
59,23,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1988,1988,300,occupied territory,,,,,,,
60,24,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1989,1989,300,occupied territory,,,,,,,
61,25,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1990,1990,115,occupied territory,,,,,,,
62,26,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1991,1991,1010,occupied territory,,,,,,,
63,27,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1992,1992,1500,occupied territory,,,,,,,
64,28,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1993,1993,1500,occupied territory,,,,,,,
65,29,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1994,1994,1000,occupied territory,,,,,,,
66,30,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1995,1995,1000,occupied territory,,,,,,,
67,31,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1996,1996,505,occupied territory,,,,,,,
68,32,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1997,1997,1000,occupied territory,,,,,,,
69,33,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1998,1998,750,occupied territory,,,,,,,
70,34,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,1999,1999,750,occupied territory,,,,,,,
71,35,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2000,2000,952,occupied territory,,,,,,,
72,36,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2001,2001,800,occupied territory,,,,,,,
73,37,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2002,2002,400,occupied territory,,,,,,,
74,38,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2003,2003,50,occupied territory,,,,,,,
75,39,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2004,2004,0,occupied territory,,,,,,,
76,40,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2005,2005,107,occupied territory,,,,,,,
77,41,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2006,2006,79,occupied territory,,,,,,,
78,42,North Sea,Foula,Foula,Arctic tern,Sterna paradisaea,Foula Arctic tern,,JNCC Data,2007,2007,95,occupied territory,,,,,,,
79,43,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,1987,1987,4350,occupied nests,,,,,,,
80,44,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,1992,1992,4306,occupied nests,,,,,,,
81,45,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,1996,1996,2775,occupied nests,,,,,,,
82,46,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,1997,1997,2359,occupied nests,,,,,,,
83,47,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,1998,1998,2091,occupied nests,,,,,,,
84,48,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,1999,1999,2218,occupied nests,,,,,,,
85,49,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2000,2000,1934,occupied nests,,,,,,,
86,50,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2002,2002,1298,occupied nests,,,,,,,
87,51,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2003,2003,1081,occupied nests,,,,,,,
88,52,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2004,2004,942,occupied nests,,,,,,,
89,53,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2005,2005,898,occupied nests,,,,,,,
90,54,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2006,2006,1035,occupied nests,,,,,,,
91,55,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2007,2007,997,occupied nests,,,,,,,
92,56,North Sea,Foula,Foula,Black-legged kittiwake,Rissa tridactyla,Foula Black-legged kittiwake,,JNCC Data,2009,2009,509,occupied nests,,,,,,,
93,301,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1973,1973,,,Lesser sand-eel,Ammodytes marinus,77.3,,90,by weight,also have % of sandeels >100mm available
94,312,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1973,1973,,,Lesser sand-eel,Ammodytes marinus,77.3,,68,by number,also have % of sandeels >100mm available
95,302,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1974,1974,,,Lesser sand-eel,Ammodytes marinus,97.4,,79,by weight,also have % of sandeels >100mm available
96,313,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1974,1974,,,Lesser sand-eel,Ammodytes marinus,97.4,,53,by number,also have % of sandeels >100mm available
97,303,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1976,1976,,,Lesser sand-eel,Ammodytes marinus,80.9,,81,by weight,also have % of sandeels >100mm available
98,314,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1976,1976,,,Lesser sand-eel,Ammodytes marinus,80.9,,48,by number,also have % of sandeels >100mm available
99,304,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1978,1978,,,Lesser sand-eel,Ammodytes marinus,79.8,,87,by weight,also have % of sandeels >100mm available
100,315,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1978,1978,,,Lesser sand-eel,Ammodytes marinus,79.8,,54,by number,also have % of sandeels >100mm available
101,305,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1979,1979,,,Lesser sand-eel,Ammodytes marinus,105.4,,90,by weight,also have % of sandeels >100mm available
102,316,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1979,1979,,,Lesser sand-eel,Ammodytes marinus,105.4,,23,by number,also have % of sandeels >100mm available
103,306,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1981,1981,,,Lesser sand-eel,Ammodytes marinus,76.7,,99,by weight,also have % of sandeels >100mm available
104,317,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1981,1981,,,Lesser sand-eel,Ammodytes marinus,76.7,,98,by number,also have % of sandeels >100mm available
105,307,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1983,1983,,,Lesser sand-eel,Ammodytes marinus,64.3,,96,by weight,also have % of sandeels >100mm available
106,318,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1983,1983,,,Lesser sand-eel,Ammodytes marinus,64.3,,94,by number,also have % of sandeels >100mm available
107,308,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1984,1984,,,Lesser sand-eel,Ammodytes marinus,56.9,,90,by weight,also have % of sandeels >100mm available
108,319,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1984,1984,,,Lesser sand-eel,Ammodytes marinus,56.9,,76,by number,also have % of sandeels >100mm available
109,309,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1986,1986,,,Lesser sand-eel,Ammodytes marinus,43.8,,100,by weight,also have % of sandeels >100mm available
110,320,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1986,1986,,,Lesser sand-eel,Ammodytes marinus,43.8,,100,by number,also have % of sandeels >100mm available
111,310,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1987,1987,,,Lesser sand-eel,Ammodytes marinus,30,,19,by weight,also have % of sandeels >100mm available
112,321,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1987,1987,,,Lesser sand-eel,Ammodytes marinus,30,,20,by number,also have % of sandeels >100mm available
113,311,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1988,1988,,,Lesser sand-eel,Ammodytes marinus,,,36,by weight,also have % of sandeels >100mm available
114,322,North Sea,"Hermaness, Shetland","Hermaness, Shetland",Atlantic puffin,Fratercula arctica,"Hermaness, Shetland Atlantic puffin",,"Heubeck ed 1989 Martin p32-33, Table 2",1988,1988,,,Lesser sand-eel,Ammodytes marinus,,,49,by number,also have % of sandeels >100mm available
115,253,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",1969,1969,3100.076,completed nests,Lesser sand-eel,Ammodytes marinus,,,80,,
116,254,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",1970,1970,,completed nests,Lesser sand-eel,Ammodytes marinus,,,80,,
117,255,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",1971,1971,3471.3542,completed nests,Lesser sand-eel,Ammodytes marinus,,,80,,
118,256,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",1972,1972,,completed nests,Lesser sand-eel,Ammodytes marinus,,,80,,
119,257,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet= Galbraith 1983 in Coulston and Thomas 1995 Table 4",1973,1973,3473.625,completed nests,Lesser sand-eel,Ammodytes marinus,,,80,,
120,258,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1974,1974,3068.852,completed nests,,,,,,,
121,259,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1975,1975,3900.3062,completed nests,,,,,,,
122,260,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1976,1976,3403.1782,completed nests,,,,,,,
123,261,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1977,1977,,completed nests,,,,,,,
124,262,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1978,1978,,completed nests,,,,,,,
125,263,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1979,1979,4974.866,completed nests,,,,,,,
126,264,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1980,1980,,completed nests,,,,,,,
