country,location_orig,location_format
English Channel,Celtic Sea,Celtic Sea
English Channel,English Channel,English Channel
North Sea,Burravoe,Burravoe
North Sea,Farne Islands,Farne Islands
North Sea,Foula,Foula
North Sea,"Hermaness, Shetland","Hermaness, Shetland"
North Sea,Isle of May,Isle of May
North Sea,JNCC sites in UK and Ireland,JNCC Sites in UK & Ireland
North Sea,NE,North Sea (NE)
North Sea,North Sea,North Sea
North Sea,North Shields and Marsden,North Shields & Marsden
North Sea,Peterhead,Peterhead
North Sea,S and SE,North Sea (S & SE)
North Sea,Shetland,Shetland
North Sea,Sumburgh,Sumburgh
North Sea,Troswick,Troswick
North Sea,,North Sea
Norway,Barents Sea,Barents Sea
Norway,Hernyken,Hernyken
Norway,Norwegian Sea,Norwegian Sea
Norway,Rost,Rost
Norway,Vedoy,Vedoy
Peru,4-10S,4-10¡S
Peru,4-14û S,4-14¡S
Peru,6-14û S,6-14¡S
Peru,Callao - 12S,Callao-12¡S
Peru,Callao - 9S,Callao-9¡S
Peru,Chimbote,Chimbote
Peru,Chimbote - 9S,Chimbote-9¡S
Peru,Grupo Pescadores,Grupo Pescadores
Peru,Ilo - 17S,Ilo-17¡S
Peru,Paita - 5S,Paita-5¡S
Peru,Peru,Peru
Peru,Pisco - 14S,Pisco-14¡S
Peru,Punta San Juan,Punta San Juan
Peru,,Peru
Scotland,Isle of May,Isle of May
