Ref Cury,Year,Main LOC,Focused LOC,Spp Fish,Mean Biomass,Unit,Notes
Piatt ed 2002,1998,Cook Inlet,Chisik,sand lance/capelin/pollock,0.0082,g/m3,
Piatt ed 2002,1998,Cook Inlet,Gull ,sand lance/capelin/pollock,0.036,g/m3,
Piatt ed 2002,1998,Cook Inlet,Barren,sand lance/capelin/pollock,0.0191,g/m3,
Piatt ed 2002,1999,Cook Inlet,Chisik,sand lance/capelin/pollock,0.0034,g/m3,
Piatt ed 2002,1999,Cook Inlet,Gull ,sand lance/capelin/pollock,0.0147,g/m3,
Piatt ed 2002,1999,Cook Inlet,Barren,sand lance/capelin/pollock,0.0154,g/m3,
Mills et al 2007,1980,CA,SE Farallon Island,Sebastes spp ,1.1408451,MRI1,age 0
Mills et al 2007,1981,CA,SE Farallon Island,Sebastes spp ,1.7605634,MRI1,age 0
Mills et al 2007,1982,CA,SE Farallon Island,Sebastes spp ,1.2394366,MRI1,age 0
Mills et al 2007,1983,CA,SE Farallon Island,Sebastes spp ,-1.8028169,MRI1,age 0
Mills et al 2007,1984,CA,SE Farallon Island,Sebastes spp ,1.2816901,MRI1,age 0
Mills et al 2007,1985,CA,SE Farallon Island,Sebastes spp ,1.5633802,MRI1,age 0
Mills et al 2007,1986,CA,SE Farallon Island,Sebastes spp ,-0.3943662,MRI1,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,2.309859,MRI1,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,2.4225352,MRI1,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,1.3521127,MRI1,age 0
Mills et al 2007,1990,CA,SE Farallon Island,Sebastes spp ,-1.3521127,MRI1,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,-0.30985916,MRI1,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.8169014,MRI1,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,1.028169,MRI1,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-1.2676057,MRI1,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.4929577,MRI1,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-1.1408451,MRI1,age 0
Mills et al 2007,1997,CA,SE Farallon Island,Sebastes spp ,-1.0140845,MRI1,age 0
Mills et al 2007,1983,CA,SE Farallon Island,Sebastes spp ,-1.9145775,MRI2,age 0
Mills et al 2007,1984,CA,SE Farallon Island,Sebastes spp ,1.5205973,MRI2,age 0
Mills et al 2007,1985,CA,SE Farallon Island,Sebastes spp ,2.030944,MRI2,age 0
Mills et al 2007,1986,CA,SE Farallon Island,Sebastes spp ,-0.30145505,MRI2,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.265136,MRI2,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,3.2332323,MRI2,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,1.6073252,MRI2,age 0
Mills et al 2007,1990,CA,SE Farallon Island,Sebastes spp ,-1.1194379,MRI2,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,0.5410604,MRI2,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.7091411,MRI2,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,1.3316313,MRI2,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-1.3623066,MRI2,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.5257419,MRI2,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.98249316,MRI2,age 0
Mills et al 2007,1997,CA,SE Farallon Island,Sebastes spp ,-0.9651783,MRI2,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.8356807,MRI3,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,3.3474178,MRI3,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,-0.089201875,MRI3,age 0
Mills et al 2007,1990,CA,SE Farallon Island,Sebastes spp ,-1.2347418,MRI3,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,1.0375587,MRI3,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.685446,MRI3,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,0.75586855,MRI3,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-1.0657277,MRI3,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.4413146,MRI3,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.6713615,MRI3,age 0
Mills et al 2007,1997,CA,SE Farallon Island,Sebastes spp ,-1.0093896,MRI3,age 0
Mills et al 2007,1998,CA,SE Farallon Island,Sebastes spp ,-2.3239436,MRI3,age 0
Mills et al 2007,1999,CA,SE Farallon Island,Sebastes spp ,-0.8028169,MRI3,age 0
Mills et al 2007,2000,CA,SE Farallon Island,Sebastes spp ,-1.9859155,MRI3,age 0
Mills et al 2007,2001,CA,SE Farallon Island,Sebastes spp ,1.2065728,MRI3,age 0
Mills et al 2007,2002,CA,SE Farallon Island,Sebastes spp ,2.0516431,MRI3,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.9308941,MRI4,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,3.650569,MRI4,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,0.92891586,MRI4,age 0
Mills et al 2007,1990,CA,SE Farallon Island,Sebastes spp ,-1.1918391,MRI4,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,0.9691638,MRI4,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.7713569,MRI4,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,1.2348092,MRI4,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-1.1677256,MRI4,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.4480507,MRI4,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.75180054,MRI4,age 0
Mills et al 2007,1997,CA,SE Farallon Island,Sebastes spp ,-1.0509051,MRI4,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.3573484,MRI5,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,3.154995,MRI5,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,0.7411696,MRI5,age 0
Mills et al 2007,1990,CA,SE Farallon Island,Sebastes spp ,-1.263784,MRI5,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,0.89381915,MRI5,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.6686257,MRI5,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,1.4181297,MRI5,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-1.0514448,MRI5,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.4025524,MRI5,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.41563606,MRI5,age 0
Mills et al 2007,1997,CA,SE Farallon Island,Sebastes spp ,-0.9340358,MRI5,age 0
Mills et al 2007,1998,CA,SE Farallon Island,Sebastes spp ,-2.0470033,MRI5,age 0
Mills et al 2007,1999,CA,SE Farallon Island,Sebastes spp ,-0.5769279,MRI5,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.301689,MRI7,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-1.218737,MRI7,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.84304607,MRI7,age 0
Mills et al 2007,1999,CA,SE Farallon Island,Sebastes spp ,-1.1157914,MRI7,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.8962567,MRI8,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,3.4151576,MRI8,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,0.053596966,MRI8,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,1.1353987,MRI8,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.5757552,MRI8,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,0.8791766,MRI8,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-0.9771574,MRI8,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.3653862,MRI8,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.5271343,MRI8,age 0
Mills et al 2007,1998,CA,SE Farallon Island,Sebastes spp ,-2.214206,MRI8,age 0
Mills et al 2007,1987,CA,SE Farallon Island,Sebastes spp ,3.4689364,MRI9,age 0
Mills et al 2007,1988,CA,SE Farallon Island,Sebastes spp ,3.266493,MRI9,age 0
Mills et al 2007,1989,CA,SE Farallon Island,Sebastes spp ,0.9084169,MRI9,age 0
Mills et al 2007,1990,CA,SE Farallon Island,Sebastes spp ,-1.1894966,MRI9,age 0
Mills et al 2007,1991,CA,SE Farallon Island,Sebastes spp ,0.5408309,MRI9,age 0
Mills et al 2007,1992,CA,SE Farallon Island,Sebastes spp ,-1.6129214,MRI9,age 0
Mills et al 2007,1993,CA,SE Farallon Island,Sebastes spp ,1.1951779,MRI9,age 0
Mills et al 2007,1994,CA,SE Farallon Island,Sebastes spp ,-0.84703135,MRI9,age 0
Mills et al 2007,1995,CA,SE Farallon Island,Sebastes spp ,-1.2352602,MRI9,age 0
Mills et al 2007,1996,CA,SE Farallon Island,Sebastes spp ,-0.6200048,MRI9,age 0
Mills et al 2007,1997,CA,SE Farallon Island,Sebastes spp ,-0.8596141,MRI9,age 0
Mills et al 2007,1998,CA,SE Farallon Island,Sebastes spp ,-2.0655415,MRI9,age 0
Mills et al 2007,1999,CA,SE Farallon Island,Sebastes spp ,-0.6512601,MRI9,age 0
Anker-Nilssen and Aavark 2006,1975,Norway,Rost,herring,2935263200,individuals,age 0
Anker-Nilssen and Aavark 2006,1977,Norway,Rost,herring,5028872000,individuals,age 0
Anker-Nilssen and Aavark 2006,1978,Norway,Rost,herring,6161775600,individuals,age 0
Anker-Nilssen and Aavark 2006,1979,Norway,Rost,herring,12294359000,individuals,age 0
Anker-Nilssen and Aavark 2006,1980,Norway,Rost,herring,1456247800,individuals,age 0
Anker-Nilssen and Aavark 2006,1981,Norway,Rost,herring,1084661200,individuals,age 0
Anker-Nilssen and Aavark 2006,1982,Norway,Rost,herring,2347406100,individuals,age 0
Anker-Nilssen and Aavark 2006,1983,Norway,Rost,herring,3.27119E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,1984,Norway,Rost,herring,11567388000,individuals,age 0
Anker-Nilssen and Aavark 2006,1985,Norway,Rost,herring,35361397000,individuals,age 0
Anker-Nilssen and Aavark 2006,1986,Norway,Rost,herring,5976825700,individuals,age 0
Anker-Nilssen and Aavark 2006,1987,Norway,Rost,herring,8882381000,individuals,age 0
Anker-Nilssen and Aavark 2006,1988,Norway,Rost,herring,25033953000,individuals,age 0
Anker-Nilssen and Aavark 2006,1989,Norway,Rost,herring,67061090000,individuals,age 0
Anker-Nilssen and Aavark 2006,1990,Norway,Rost,herring,1.14893E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,1991,Norway,Rost,herring,3.23813E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,1992,Norway,Rost,herring,3.77112E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,1993,Norway,Rost,herring,93768900000,individuals,age 0
Anker-Nilssen and Aavark 2006,1994,Norway,Rost,herring,30673597000,individuals,age 0
Anker-Nilssen and Aavark 2006,1995,Norway,Rost,herring,9832117000,individuals,age 0
Anker-Nilssen and Aavark 2006,1996,Norway,Rost,herring,58170914000,individuals,age 0
Anker-Nilssen and Aavark 2006,1997,Norway,Rost,herring,38746750000,individuals,age 0
Anker-Nilssen and Aavark 2006,1998,Norway,Rost,herring,2.69701E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,1999,Norway,Rost,herring,2.02933E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,2000,Norway,Rost,herring,41602330000,individuals,age 0
Anker-Nilssen and Aavark 2006,2001,Norway,Rost,herring,14464190000,individuals,age 0
Anker-Nilssen and Aavark 2006,2002,Norway,Rost,herring,2.92534E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,2003,Norway,Rost,herring,1.62291E+11,individuals,age 0
Anker-Nilssen and Aavark 2006,2004,Norway,Rost,herring,4.09039E+11,individuals,age 0
Mills et al 2008,1975,New Zealand,Kaikoura,Nyctiphanes australis,0.11981707,Krill Index,
Mills et al 2008,1976,New Zealand,Kaikoura,Nyctiphanes australis,0.23597561,Krill Index,
Mills et al 2008,1977,New Zealand,Kaikoura,Nyctiphanes australis,0.16646342,Krill Index,
Mills et al 2008,1978,New Zealand,Kaikoura,Nyctiphanes australis,0.09237805,Krill Index,
Mills et al 2008,1979,New Zealand,Kaikoura,Nyctiphanes australis,0.10060976,Krill Index,
Mills et al 2008,1980,New Zealand,Kaikoura,Nyctiphanes australis,0.14268292,Krill Index,
Mills et al 2008,1981,New Zealand,Kaikoura,Nyctiphanes australis,0.13628049,Krill Index,
