region,area,location,comm_name,sci_name,reference,year,n,n_units,catch,catch_units,Date,NB Notes
North Sea,Channel Islands,Burhou,Common Guillemot,Common Guillemot,JNCC Channel Islands 11.15 NB,1999-2000,13,Individuals on land,,,,
North Sea,Channel Islands,Les Amfroques,Common Guillemot,Common Guillemot,JNCC Channel Islands 11.15 NB,1999-2000,105,Individuals on land,,,,
North Sea,Channel Islands,Sark,Common Guillemot,Common Guillemot,JNCC Channel Islands 11.15 NB,1999-2000,298,Individuals on land,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1986,4,Individuals on land,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1986,1,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1986,10,Occupied sites,,,,
North Sea,Channel Islands,Jersey,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,78,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,53,Occupied sites,,,,
North Sea,Channel Islands,Guernsey Southwest,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,11,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,6,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,1,Occupied sites,,,,
North Sea,Channel Islands,Little Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,15,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1987,32,Occupied sites,,,,
North Sea,Channel Islands,Guernsey Southwest,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1988,6,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1988,8,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1988,2,Occupied sites,,,,
North Sea,Channel Islands,Little Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1988,12,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1988,25,Occupied sites,,,,
North Sea,Channel Islands,Guernsey Southwest,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1989,10,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1989,2,Individuals on land,,,,
North Sea,Channel Islands,Les Autelets,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1989,0,Occupied sites,,,,
North Sea,Channel Islands,Guernsey Southwest,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1990,12,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1990,2,Occupied sites,,,,
North Sea,Channel Islands,Les Autelets,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1990,0,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1990,17,Occupied sites,,,,
North Sea,Channel Islands,Brecqhou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1991,1,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1991,15,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1991,7,Occupied sites,,,,
North Sea,Channel Islands,Les Autelets,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1991,0,Occupied sites,,,,
North Sea,Channel Islands,Little Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1991,20,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1991,32,Occupied sites,,,,
North Sea,Channel Islands,Jersey,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1992,102,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1992,15,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1992,2,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1994,27,Occupied sites,,,,
North Sea,Channel Islands,Les Autelets,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1994,0,Occupied sites,,,,
