region,predator,prey,percent
Gulf of Alaska,Black-legged kittiwake,Sand lance/capelin/walleye pollock,83
Gulf of Alaska,Common guillemot,Sand lance/capelin/walleye pollock,91
California Current,Rhinoceros auklet,Rockfish spp.,999
California Current,Pigeon guillemot,Rockfish spp.,999
California Current,Common guillemot,Rockfish spp.,999
North Sea,Common guillemot,Sandeel,999
North Sea,Northern fulmar,Sandeel,999
North Sea,Arctic tern,Sandeel,999
North Sea,Black-legged kittiwake,Sandeel,999
North Sea,European shag,Sandeel,999
North Sea,Great skua,Sandeel,999
North Sea,Arctic skua,Sandeel,999
Norwegian Sea,Black-legged kittiwake,Herring,999
Norwegian Sea,Atlantic puffin,Herring,999
New Zealand,Red-billed gull,Krill,999
Benguela Current,Cape gannet,Sardine/anchovy,999
Benguela Current,African penguin,Sardine/anchovy,999
Scotia Sea,Gentoo penguin,Krill,999
