"stockid","stocklong","year","catch","catch_sd","catch_type","catch_units","tb","tb_sd","tb_units","sp","sp_sd","sp_units","prey1","prey1_stocks","prey1_b","prey1_b_sd","prey1_lag1_b","prey1_lag1_b_sd","prey1_lag2_b","prey1_lag2_b_sd","prey1_btype","prey1_bunits","prey_impt","prey_stocks","prey_b","prey_b_sd","prey_lag1_b","prey_lag1_b_sd","prey_lag2_b","prey_lag2_b_sd","prey_btype","prey_bunits","sst_c","sst_c_sd","sst_c_sd2"
"AFPENWCAPE","African penguin W Cape (pairs)",1997,0,NA,NA,NA,17026,0.441213817409106,"pairs",1328,0.0344139521625334,"pairs","Sardine/anchovy","SARDSA",274000,-0.376084943586231,244000,-0.36804305215596,238000,-0.243331948085689,"ssb","MT","Sardine/anchovy","SARDSA",274000,-0.376084943586231,244000,-0.36804305215596,238000,-0.243331948085689,"ssb","MT",17.1773331960042,-0.0318729459193712,-0.123848142016073
"AFPENWCAPE","African penguin W Cape (pairs)",1998,0,NA,NA,NA,18354,0.47562776957164,"pairs",5841,0.151364378449817,"pairs","Sardine/anchovy","SARDSA",248000,-0.45710804089613,274000,-0.273986138719403,244000,-0.215793139307997,"ssb","MT","Sardine/anchovy","SARDSA",248000,-0.45710804089613,274000,-0.273986138719403,244000,-0.215793139307997,"ssb","MT",17.2982501983643,0.089044056440656,0.345996914613631
"AFPENWCAPE","African penguin W Cape (pairs)",1999,0,NA,NA,NA,24195,0.626992148021457,"pairs",2080,0.05390137085698,"pairs","Sardine/anchovy","SARDSA",331000,-0.198457384099145,248000,-0.355502130364419,274000,-0.0780990954195405,"ssb","MT","Sardine/anchovy","SARDSA",331000,-0.198457384099145,248000,-0.355502130364419,274000,-0.0780990954195405,"ssb","MT",17.3206666310628,0.111460489139223,0.433100050526102
"AFPENWCAPE","African penguin W Cape (pairs)",2000,0,NA,NA,NA,26275,0.680893518878437,"pairs",7347,0.190391044079919,"pairs","Sardine/anchovy","SARDSA",314000,-0.251434024647925,331000,-0.0952780031899441,248000,-0.197433933456203,"ssb","MT","Sardine/anchovy","SARDSA",314000,-0.251434024647925,331000,-0.0952780031899441,248000,-0.197433933456203,"ssb","MT",17.2365833123525,0.0273771704288954,0.106378986738574
"AFPENWCAPE","African penguin W Cape (pairs)",2001,0,NA,NA,NA,33622,0.871284562958356,"pairs",1617,0.0419031330171811,"pairs","Sardine/anchovy","SARDSA",354000,-0.126783105709619,314000,-0.148576920803993,331000,0.183519587968527,"ssb","MT","Sardine/anchovy","SARDSA",354000,-0.126783105709619,314000,-0.148576920803993,331000,0.183519587968527,"ssb","MT",17.2332501411438,0.0240439992201971,0.09342734234828
"AFPENWCAPE","African penguin W Cape (pairs)",2002,0,NA,NA,NA,35239,0.913187695975537,"pairs",-3881,-0.100572702065355,"pairs","Sardine/anchovy","SARDSA",810000,1.29423737018707,354000,-0.0231677028885835,314000,0.105492963098402,"ssb","MT","Sardine/anchovy","SARDSA",810000,1.29423737018707,354000,-0.0231677028885835,314000,0.105492963098402,"ssb","MT",17.5098334948222,0.300627352898584,1.16814238601872
"AFPENWCAPE","African penguin W Cape (pairs)",2003,0,NA,NA,NA,31358,0.812614993910182,"pairs",7231,0.187385006089818,"pairs","Sardine/anchovy","SARDSA",898000,1.56846939185134,810000,1.40649738134709,354000,0.289085021616344,"ssb","MT","Sardine/anchovy","SARDSA",898000,1.56846939185134,810000,1.40649738134709,354000,0.289085021616344,"ssb","MT",17.5949168205261,0.385710678602521,1.49874915928773
"AFPENWCAPE","African penguin W Cape (pairs)",2004,0,NA,NA,NA,38589,1,"pairs",-3823,-0.099069683070305,"pairs","Sardine/anchovy","SARDSA",1360000,3.00818750558877,898000,1.68239766076099,810000,2.38203448872089,"ssb","MT","Sardine/anchovy","SARDSA",1360000,3.00818750558877,898000,1.68239766076099,810000,2.38203448872089,"ssb","MT",17.3714999357859,0.162293793862329,0.630622123271418
"AFPENWCAPE","African penguin W Cape (pairs)",2005,0,NA,NA,NA,34766,0.900930316929695,"pairs",-13545,-0.351006763585478,"pairs","Sardine/anchovy","SARDSA",712000,0.988842618788219,1360000,3.13087412768397,898000,2.78593701746036,"ssb","MT","Sardine/anchovy","SARDSA",712000,0.988842618788219,1360000,3.13087412768397,898000,2.78593701746036,"ssb","MT",17.5114999612172,0.302293819293642,1.17461774500443
"ALBANATL","Albacore tuna North Atlantic",1951,34100,0.0369447453954496,"tl","MT",923000,1,"MT",13100,0.014192849404117,"MT","Northern shortfin squid","NANCHSCAL",15500,-0.943148933315288,NA,NA,NA,NA,"ssb","MT","Northern shortfin squid","NANCHSCAL",15500,-0.943148933315288,NA,NA,NA,NA,"ssb","MT",14.0712501207987,0.039583436778333,0.0921150329772799
"ALBANATL","Albacore tuna North Atlantic",1952,32400,0.0351029252437703,"tl","MT",902000,0.977248104008667,"MT",17400,0.018851570964247,"MT","Northern shortfin squid","NANCHSCAL",11100,-0.950911077400767,15500,-0.958086137856929,NA,NA,"ssb","MT","Northern shortfin squid","NANCHSCAL",11100,-0.950911077400767,15500,-0.958086137856929,NA,NA,"ssb","MT",14.6179165840149,0.586249899994479,1.36426832195829
"ALBANATL","Albacore tuna North Atlantic",1953,30100,0.0326110509209101,"tl","MT",887000,0.960996749729144,"MT",16100,0.0174431202600217,"MT","Northern shortfin squid","NANCHSCAL",14300,-0.945265881702236,11100,-0.965841975797655,15500,-0.973796038474878,"ssb","MT","Northern shortfin squid","NANCHSCAL",14300,-0.945265881702236,11100,-0.965841975797655,15500,-0.973796038474878,"ssb","MT",14.4262500603994,0.394583376378961,0.918239134488946
"ALBANATL","Albacore tuna North Atlantic",1954,40000,0.0433369447453954,"tl","MT",873000,0.945828819068256,"MT",28000,0.0303358613217768,"MT","Northern shortfin squid","NANCHSCAL",97500,-0.798490793540446,14300,-0.960201366386218,11100,-0.981547547830866,"ssb","MT","Northern shortfin squid","NANCHSCAL",97500,-0.798490793540446,14300,-0.960201366386218,11100,-0.981547547830866,"ssb","MT",14.3104166984558,0.278750014435397,0.648682096906474
"ALBANATL","Albacore tuna North Atlantic",1955,31400,0.0340195016251354,"tl","MT",861000,0.932827735644637,"MT",12400,0.0134344528710726,"MT","Northern shortfin squid","NANCHSCAL",88300,-0.814720731173721,97500,-0.813545521688857,14300,-0.975910086481056,"ssb","MT","Northern shortfin squid","NANCHSCAL",88300,-0.814720731173721,97500,-0.813545521688857,14300,-0.975910086481056,"ssb","MT",14.8929165999095,0.861249915889051,2.00422375773154
"ALBANATL","Albacore tuna North Atlantic",1956,40900,0.0443120260021668,"tl","MT",842000,0.912242686890574,"MT",19900,0.0215601300108342,"MT","Northern shortfin squid","NANCHSCAL",34000,-0.910512645683159,88300,-0.829762273746738,97500,-0.829336091385998,"ssb","MT","Northern shortfin squid","NANCHSCAL",34000,-0.910512645683159,88300,-0.829762273746738,97500,-0.829336091385998,"ssb","MT",14.4795832633972,0.447916579376804,1.04235139337242
"ALBANATL","Albacore tuna North Atlantic",1957,42100,0.0456121343445287,"tl","MT",821000,0.889490790899242,"MT",30100,0.0326110509209101,"MT","Northern shortfin squid","NANCHSCAL",972300,0.744764580545298,34000,-0.925476364697059,88300,-0.845543792766701,"ssb","MT","Northern shortfin squid","NANCHSCAL",972300,0.744764580545298,34000,-0.925476364697059,88300,-0.845543792766701,"ssb","MT",14.4904166062673,0.458749922246881,1.06756177976003
