"stocklong","area","location","comm_name","sci_name","year","n","n_units","type","ref"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1995,0.15118966,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1996,0.44200045,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1997,0.16031896,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1998,0.48015806,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1999,0.48836014,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2000,0.8589096,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2001,2.7294307,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2002,1.5139507,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2003,1.471471,"million tons","YOY","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",2004,1.0666153,"million tons","YOY","Crawford et al 2006"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1975,0.11981707,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1976,0.23597561,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1977,0.16646342,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1978,0.09237805,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1979,0.10060976,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1980,0.14268292,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1981,0.13628049,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1982,0.14817072,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1983,0.21859756,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1984,0.26432925,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1985,0.13628049,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1986,0.21219513,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1987,0.087804876,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1988,0.30457318,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1989,0.20487805,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1990,0.18384147,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1991,0.29634145,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1992,0.15182927,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1993,0.12256098,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1994,0.1070122,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1995,0.039329268,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1996,0.26432925,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1997,0.1637195,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1998,0.43719512,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1999,0.23048781,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2000,0.3640244,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2001,0.25792682,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2002,0.1097561,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2003,0.075,"index","","Mills et al 2008"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",2004,0.12256098,"index","","Mills et al 2008"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1980,1.1408451,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1981,1.7605634,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1982,1.2394366,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1983,-1.8028169,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1984,1.2816901,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1985,1.5633802,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1986,-0.3943662,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,2.309859,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,2.4225352,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,1.3521127,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.3521127,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,-0.30985916,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.8169014,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,1.028169,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.2676057,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.4929577,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-1.1408451,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-1.0140845,"index","MRI1","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1983,-1.9145775,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1984,1.5205973,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1985,2.030944,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1986,-0.30145505,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.265136,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,3.2332323,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,1.6073252,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.1194379,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,0.5410604,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.7091411,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,1.3316313,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.3623066,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.5257419,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.98249316,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-0.9651783,"index","MRI2","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.8356807,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,3.3474178,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,-0.089201875,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.2347418,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,1.0375587,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.685446,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,0.75586855,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.0657277,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.4413146,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.6713615,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-1.0093896,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1998,-2.3239436,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1999,-0.8028169,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",2000,-1.9859155,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",2001,1.2065728,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",2002,2.0516431,"index","MRI3","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.9308941,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,3.650569,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,0.92891586,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.1918391,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,0.9691638,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.7713569,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,1.2348092,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.1677256,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.4480507,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.75180054,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-1.0509051,"index","MRI4","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.3573484,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,3.154995,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,0.7411696,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.263784,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,0.89381915,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.6686257,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,1.4181297,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.0514448,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.4025524,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.41563606,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-0.9340358,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1998,-2.0470033,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1999,-0.5769279,"index","MRI5","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI7","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.301689,"index","MRI7","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI7","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-1.218737,"index","MRI7","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI7","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.84304607,"index","MRI7","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI7","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1999,-1.1157914,"index","MRI7","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.8962567,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,3.4151576,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,0.053596966,"index","MRI8","Mills et al 2007"
