"stocklong","region","area","location","comm_name","sci_name","reference","year","n","n_units","catch","catch_units","Date","NB.Notes"
"African penguin Dassen Island","Benguela","South Africa","Dassen Island","African penguin","Spheniscus demersus","Shannon and Crawford 1999 in 106",1910,1450000,"adult plumage",NA,NA,NA,NA
"African penguin Dassen Island","Benguela","South Africa","Dassen Island","African penguin","Spheniscus demersus","Crawford et al 2005 in 106",2000,55000,NA,NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1993,22710,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1999,18466,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",2000,20257,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",2001,22684,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",2003,10062,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",2004,13820,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",2005,7914,"pairs",NA,NA,NA,NA
"African penguin E Cape","Benguela","South Africa","E Cape","African penguin","Spheniscus demersus","Crawford et al 2008",2006,11326,"pairs",NA,NA,NA,NA
"African penguin Robben Island","Benguela","South Africa","Robben Island","African penguin","Spheniscus demersus","Du Toit et al 2004 in 106",1983,9,"pairs",NA,NA,NA,NA
"African penguin Robben Island","Benguela","South Africa","Robben Island","African penguin","Spheniscus demersus","Du Toit et al 2004 in 106",2002,7200,"pairs",NA,NA,NA,NA
"African penguin South","Benguela","Namibia","South","African penguin","Spheniscus demersus","Crawford et al 2001 in 106",1956,40000,"pairs",NA,NA,NA,NA
"African penguin South","Benguela","Namibia","South","African penguin","Spheniscus demersus","Crawford et al 2001 in 106",2001,1000,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1987,23540,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1988,23073,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1989,22144,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1990,20347,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1991,18897,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1992,19125,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1993,13219,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1994,19177,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1995,18190,"pairs",NA,NA,NA,NA
"African penguin W Cape","Benguela","South Africa","W Cape","African penguin","Spheniscus demersus","Crawford et al 2008",1996,17666,"pairs",NA,NA,NA,NA
