"source","stocklong","dietid","region","area","location","type","class","order","family","species","species_sub","comm_name","reference","n_units","n_yr"
"Cury et al. (2011)","Pigeon guillemot Farallon (breeding adults)","Pigeon guillemot California Current","California Current","California Current","Farallon","birds","Aves","Charadriiformes","Alcidae","Cepphus columba","Cepphus columba","Pigeon guillemot","Warzybok et al 2009","breeding adults",30
"Cury et al. (2011)","Common guillemot Farallon (breeding adults)","Common guillemot California Current","California Current","California Current","Farallon","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Uria aalge","Common guillemot","Warzybok et al 2014","breeding adults",26
"Cury et al. (2011)","Black-legged kittiwake Vedoy (occupied nests)","Black-legged kittiwake Norwegian Sea","Norwegian Sea","Norwegian Sea","Vedoy","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","Anker-Nilssen and Aarvak 2006","occupied nests",24
"Cury et al. (2011)","Atlantic puffin Hernyken (apparently occupied burrows)","Atlantic puffin Norwegian Sea","Norwegian Sea","Norwegian Sea","Hernyken","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Fratercula arctica","Atlantic puffin","Anker-Nilssen and Aarvak 2006","apparently occupied burrows",23
"Cury et al. (2011)","Red-billed gull Kaikoura (breeders)","Red-billed gull New Zealand","New Zealand","New Zealand","Kaikoura","birds","Aves","Charadriiformes","Laridae","Chroicocephalus novaehollandiae","Larus novaehollandiae scopulinus","Red-billed gull","Mills et al 2008","breeders",22
"Cury et al. (2011)","Gentoo penguin S Georgia (breeding pairs)","Gentoo penguin Scotia Sea","Scotia Sea","Scotia Sea","S Georgia","birds","Aves","Sphenisciformes","Spheniscidae","Pygoscelis papua","Pygoscelis papua","Gentoo penguin","Boyd and Murray 2001","breeding pairs",21
"Cury et al. (2011)","African penguin W Cape (pairs)","African penguin Benguela Current","Benguela Current","Benguela Current","W Cape","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","Spheniscus demersus","African penguin","Crawford et al 2008","pairs",20
"Cury et al. (2011)","Cape gannet W Cape (pairs)","Cape gannet Benguela Current","Benguela Current","Benguela Current","W Cape","birds","Aves","Suliformes","Sulidae","Morus capensis","Morus capensis","Cape gannet","Crawford et al 2008","pairs",18
"Cury et al. (2011)","Cape gannet E Cape (pairs)","Cape gannet Benguela Current","Benguela Current","Benguela Current","E Cape","birds","Aves","Suliformes","Sulidae","Morus capensis","Morus capensis","Cape gannet","Crawford et al 2008","pairs",15
"Cury et al. (2011)","Rhinoceros auklet Farallon (pairs)","Rhinoceros auklet California Current","California Current","California Current","Farallon","birds","Aves","Charadriiformes","Alcidae","Cerorhinca monocerata","Cerorhinca monocerata","Rhinoceros auklet","Ainley and Boekelheide 1989","pairs",15
"Cury et al. (2011)","Black-legged kittiwake Chisik (NA)","Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","Jones and Peterson 1979 in Piatt 2002, Kafka 1984 in Piatt 2002, Nishimoto 1987 in Piatt 2002, Nishimoto unpub in Piatt 2002, North Pacific Seabird Data Portal (Robb Kaler), Slater et al 1995 in Piatt 2002, Snarski 1974 in Piatt 2002, Zador et al 1997","",9
"Cury et al. (2011)","Common guillemot Chisik (NA)","Common guillemot Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Uria aalge","Common guillemot","Erikson 1993 in Piatt 2002, Jones and Peterson 1979 in Piatt 2002, Muhlberg 1984 in Piatt 2002, Nishimoto et al 1987 in Piatt 2002, Piatt 2002, Slater et al 1995 in Piatt 2002, Zador and Piatt 1999, Zador et al 1997 in Piatt 2002","",9
"Cury et al. (2011)","Common guillemot Gull (NA)","Common guillemot Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Uria aalge","Common guillemot","in Nishimoto and Beringer 1989, Nishimoto and Thomas 1991, Nishinoto and Beringer 1989, North Pacific Seabird Data Portal (Robb Kaler); Nishomoto and Thomas 1991, Piatt 2002, Zador et al 1997","",9
"Cury et al. (2011)","African penguin E Cape (pairs)","African penguin Benguela Current","Benguela Current","Benguela Current","E Cape","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","Spheniscus demersus","African penguin","Crawford et al 2008","pairs",8
"Cury et al. (2011)","Black-legged kittiwake Gull (nests)","Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","Nishimoto et al 1987 in Piatt 2002, Piatt 2002, Zador et al 1997 in Piatt 2002","nests",4
"Cury et al. (2011)","Black-legged kittiwake Gull (NA)","Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","Nishimoto et al 1987 in Piatt 2002, Piatt 2002, Zador et al 1997 in Piatt 2002","",3
"Cury et al. (2011)","African penguin Robben Island (pairs)","African penguin Benguela Current","Benguela Current","Benguela Current","Robben Island","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","Spheniscus demersus","African penguin","Du Toit et al 2004 in 106","pairs",2
"Cury et al. (2011)","African penguin South (pairs)","African penguin Benguela Current","Benguela Current","Benguela Current","South","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","Spheniscus demersus","African penguin","Crawford et al 2001 in 106","pairs",2
"Cury et al. (2011)","Atlantic puffin Rost (apparently occupied burrows)","Atlantic puffin Norwegian Sea","Norwegian Sea","Norwegian Sea","Rost","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Fratercula arctica","Atlantic puffin","Anker-Nilssen 2010","apparently occupied burrows",2
"Cury et al. (2011)","Black-legged kittiwake Chisik (nests)","Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Chisik","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","Piatt 2002, Zador et al 1997","nests",2
"Cury et al. (2011)","African penguin Dassen Island (adult plumage)","African penguin Benguela Current","Benguela Current","Benguela Current","Dassen Island","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","Spheniscus demersus","African penguin","Shannon and Crawford 1999 in 106","adult plumage",1
"Cury et al. (2011)","African penguin Dassen Island (NA)","African penguin Benguela Current","Benguela Current","Benguela Current","Dassen Island","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","Spheniscus demersus","African penguin","Crawford et al 2005 in 106","",1
"Cury et al. (2011)","Black-legged kittiwake Barren (NA)","Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Barren","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","pers comm Arthur Kettle","",1
"Cury et al. (2011)","Black-legged kittiwake Gull (breeding only)","Black-legged kittiwake Gulf of Alaska","Gulf of Alaska","Gulf of Alaska","Gull","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Rissa tridactyla","Black-legged kittiwake","North Pacific Seabird Data Portal (Robb Kaler)","breeding only",1
