stocklong,year,SSB,R,TB,Abundance,AbundanceType
Pacific chub mackerel Pacific Coast,1929,1089110,2832540000,NA,1089110,SSB
Pacific chub mackerel Pacific Coast,1930,996757,2466690000,NA,996757,SSB
Pacific chub mackerel Pacific Coast,1931,963593,2356700000,NA,963593,SSB
Pacific chub mackerel Pacific Coast,1932,928197,866344000,NA,928197,SSB
Pacific chub mackerel Pacific Coast,1933,840657,564630000,NA,840657,SSB
Pacific chub mackerel Pacific Coast,1934,712147,441430000,NA,712147,SSB
Pacific chub mackerel Pacific Coast,1935,564283,816214000,NA,564283,SSB
Pacific chub mackerel Pacific Coast,1936,429301,692408000,NA,429301,SSB
Pacific chub mackerel Pacific Coast,1937,327346,989893000,NA,327346,SSB
Pacific chub mackerel Pacific Coast,1938,253329,676424000,NA,253329,SSB
Pacific chub mackerel Pacific Coast,1939,224774,438609000,NA,224774,SSB
Pacific chub mackerel Pacific Coast,1940,179607,876571000,NA,179607,SSB
Pacific chub mackerel Pacific Coast,1941,155143,352122000,NA,155143,SSB
Pacific chub mackerel Pacific Coast,1942,139479,334084000,NA,139479,SSB
Pacific chub mackerel Pacific Coast,1943,140357,338972000,NA,140357,SSB
Pacific chub mackerel Pacific Coast,1944,123104,248540000,NA,123104,SSB
Pacific chub mackerel Pacific Coast,1945,101881,193681000,NA,101881,SSB
Pacific chub mackerel Pacific Coast,1946,85730.5,557898000,NA,85730.5,SSB
Pacific chub mackerel Pacific Coast,1947,67354.4,309960000,NA,67354.4,SSB
Pacific chub mackerel Pacific Coast,1948,58863.8,102598000,NA,58863.8,SSB
Pacific chub mackerel Pacific Coast,1949,55983.5,80024900,NA,55983.5,SSB
Pacific chub mackerel Pacific Coast,1950,49164.6,74263500,NA,49164.6,SSB
Pacific chub mackerel Pacific Coast,1951,42537,204026000,NA,42537,SSB
Pacific chub mackerel Pacific Coast,1952,33991,659370000,NA,33991,SSB
Pacific chub mackerel Pacific Coast,1953,28592.7,200881000,NA,28592.7,SSB
Pacific chub mackerel Pacific Coast,1954,31721.9,410646000,NA,31721.9,SSB
Pacific chub mackerel Pacific Coast,1955,38991.7,147555000,NA,38991.7,SSB
Pacific chub mackerel Pacific Coast,1956,45090.2,154403000,NA,45090.2,SSB
Pacific chub mackerel Pacific Coast,1957,40031.8,399309000,NA,40031.8,SSB
Pacific chub mackerel Pacific Coast,1958,32676.7,239901000,NA,32676.7,SSB
Pacific chub mackerel Pacific Coast,1959,33843.3,322528000,NA,33843.3,SSB
Pacific chub mackerel Pacific Coast,1960,35366,297979000,NA,35366,SSB
Pacific chub mackerel Pacific Coast,1961,35607.8,93976600,NA,35607.8,SSB
Pacific chub mackerel Pacific Coast,1962,38256.4,68283600,NA,38256.4,SSB
Pacific chub mackerel Pacific Coast,1963,38083,54550100,NA,38083,SSB
Pacific chub mackerel Pacific Coast,1964,29331,96708000,NA,29331,SSB
Pacific chub mackerel Pacific Coast,1965,18498.5,47216300,NA,18498.5,SSB
Pacific chub mackerel Pacific Coast,1966,13217.8,114845000,NA,13217.8,SSB
Pacific chub mackerel Pacific Coast,1967,10701.7,309418000,NA,10701.7,SSB
Pacific chub mackerel Pacific Coast,1968,12437.3,155927000,NA,12437.3,SSB
