year,biomass_mt
1976,104063
1977,124926
1978,107020
1979,105202
1980,129494
1981,163281
1982,159351
1983,127469
1984,95585
1985,77416
1986,66104
1987,37912
1988,26599
1989,23726
1990,17425
1991,124531
1992,80251
1993,111930
1994,78461
1995,50271
1996,45816
1997,96745
1998,60905
1999,27439
2000,17181
2001,19584
2002,11173
2003,7508
2004,5426
