"diet_id","pred_comm","region","prey_comm","nrefs","references","prop_wt","prop_n","prop_occur","prop_model","prop_unk","prop_use","prop_use_type"
"Eastern Pacific bonito Humboldt","Eastern Pacific bonito","Humboldt","Peruvian anchoveta",3,"Canal 1974 in Pauly and Tsukayama 1987 pdf p270, Pauly et al in Pauly and Tsukayama 1987 pdf p268 Figure 7, Vildoso 1955 in Pauly and Tsukayama 1987 pdf p 270",NA,NA,NA,NA,0.425974837833333,0.425974837833333,"unknown"
"European hake Europe","European hake","Europe","Blue whiting",1,"Mackinson and Daskalov 2007 Table 3.4",NA,NA,NA,0.309,NA,0.309,"model"
"European hake Europe","European hake","Europe","European sprat",1,"Du Buit 1996 Figure 4",NA,NA,NA,NA,NA,NA,"none"
"European herring gull Europe","European herring gull","Europe","Lesser sand-eel",1,"Hudson 1986 in Furness 1990",0.2,NA,NA,NA,NA,0.2,"weight"
"European shag Europe","European shag","Europe","Lesser sand-eel",2,"Furness (1983, 1989) in Furness 1990, Rindorf et al 2000 Figure 6",0.972221428571429,NA,NA,NA,NA,0.972221428571429,"weight"
"European shag Europe","European shag","Europe","Lesser sand-eel",2,"Wanless et al 1993 pdf p 10, Wanless et al 1993b Figure 1",NA,NA,NA,NA,1,1,"unknown"
"European shag Europe","European shag","Europe","Sandeel spp.",1,"Anker-Nilssen 2010 Figure 3",0.1305,NA,NA,NA,NA,0.1305,"weight"
"Great black-backed gull Europe","Great black-backed gull","Europe","Lesser sand-eel",3,"Beaman 1978 in Furness 1990, Furness (1983, 1989) in Furness 1990, Furness 1990",0.566666666666667,NA,NA,NA,NA,0.566666666666667,"weight"
"Great skua Europe","Great skua","Europe","Lesser sand-eel",2,"Furness (1983, 1989) in Furness 1990; Furness and Hislop 1981, Furness 1990",0.525,NA,NA,NA,NA,0.525,"weight"
"Grey gurnard Europe","Grey gurnard","Europe","Sandeel spp.",1,"de Gee and Kikkert 1993 Table 10",0.3462,NA,NA,NA,NA,0.3462,"weight"
"Guanay cormorant Humboldt","Guanay cormorant","Humboldt","Peruvian anchoveta",1,"Zavalaga and Paredes 1999 Table 1",NA,0.335,NA,NA,NA,0.335,"count"
"Guanay cormorant Humboldt","Guanay cormorant","Humboldt","Peruvian anchoveta",4,"Boyd 2012 pdf p 188 Table A.5.1, Jahncke and Goya 1997 in Goya 2000 Tabla 1, Jordan 1959 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p230 Figure 1, Jordan 1967 and Avila 1954 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1",NA,NA,NA,NA,0.695828571428571,0.695828571428571,"unknown"
"Harp seal Europe","Harp seal","Europe","Atlantic herring",1,"Blanchard et al 2002 Table 8",NA,NA,NA,NA,0.0915666666666667,0.0915666666666667,"unknown"
"Harp seal Europe","Harp seal","Europe","Capelin",1,"Blanchard et al 2002 Table 8",NA,NA,NA,NA,0.17,0.17,"unknown"
"Horse mackerel Europe","Horse mackerel","Europe","Norway pout",1,"Mackinson and Daskalov 2007 Table 3.4",NA,NA,NA,0.229,NA,0.229,"model"
"Large crabs Europe","Large crabs","Europe","Norway pout",1,"Mackinson and Daskalov 2007 Table 3.4",NA,NA,NA,0.24,NA,0.24,"model"
"Megrim Europe","Megrim","Europe","European sprat",1,"Mackinson and Daskalov 2007 Table 3.4",NA,NA,NA,0.338,NA,0.338,"model"
"Megrim Europe","Megrim","Europe","Norway pout",1,"Mackinson and Daskalov 2007 Table 3.4",NA,NA,NA,0.24,NA,0.24,"model"
"Northern fulmar Europe","Northern fulmar","Europe","Lesser sand-eel",2,"Fowler and Dye 1987 in Furness 1990, Furness and Todd 1984 in Furness 1990",0.6,NA,NA,NA,NA,0.6,"weight"
"Northern gannet Europe","Northern gannet","Europe","Lesser sand-eel",2,"Furness (1983, 1989) in Furness 1990, Martin 1989 in Furness 1990",0.65,NA,NA,NA,NA,0.65,"weight"
"Pacific chub mackerel Humboldt","Pacific chub mackerel","Humboldt","Peruvian anchoveta",1,"Konchina 1982 pdf p8",NA,NA,NA,NA,NA,NA,"none"
"Pacific chub mackerel Humboldt","Pacific chub mackerel","Humboldt","Peruvian anchoveta",6,"Muck and Sanchez in Pauly and Tsukayama 1987 pdf p 287 (Table 1) and pdf p 288 (Figure 2), Muck and Sanchez in Pauly and Tsukayama 1987 pdf p287 Table 1, Muck and Sanchez in Pauly and Tsukayama 1987 pdf p288 Figure 1, Muck and Sanchez in Pauly and Tsukayama 1987 pdf p290 Table 3, Muck and Sanchez in Pauly and Tsukayama 1987 pdf p290 Table 3 , Pauly et al 1989 pg 394 Figure 5",0.23178073598,NA,NA,NA,NA,0.23178073598,"weight"
"Peruvian booby Humboldt","Peruvian booby","Humboldt","Peruvian anchoveta",4,"Boyd 2012 pdf p 188 Table A.5.1, Jahncke and Goya 1997 in Goya 2000 Tabla 2, Jordan 1967 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1, Muck and Pauly in Pauly and Tsukayama 1987 pdf p230 Figure 2",NA,NA,NA,NA,0.795671428571429,0.795671428571429,"unknown"
"Peruvian pelican Humboldt","Peruvian pelican","Humboldt","Peruvian anchoveta",1,"Jordan 1967 in Muck and Pauly in Pauly and Tsukayama 1987 pdf p232 Table 1",NA,NA,NA,NA,0.8,0.8,"unknown"
"Pollock Europe","Pollock","Europe","European sprat",1,"Daan 1989 Table 8E",0.0211,NA,NA,NA,NA,0.0211,"weight"
"Pollock Europe","Pollock","Europe","Norway pout",1,"Daan 1989 Table 8E",0.34605,NA,NA,NA,NA,0.34605,"weight"
"Pollock Europe","Pollock","Europe","Norway pout",1,"Mackinson and Daskalov 2007 Table 3.4",NA,NA,NA,0.2795,NA,0.2795,"model"
"Pollock Europe","Pollock","Europe","Sandeel spp.",1,"Daan 1989 Table 8E",0.2563,NA,NA,NA,NA,0.2563,"weight"
"Razorbill Europe","Razorbill","Europe","Atlantic herring (spring spawning)",1,"Anker-Nilssen 2010 Figure 3",NA,NA,0.2006,NA,NA,0.2006,"occurence"
"Razorbill Europe","Razorbill","Europe","Lesser sand-eel",1,"Furness (1983, 1989) in Furness 1990",1,NA,NA,NA,NA,1,"weight"
"Razorbill Europe","Razorbill","Europe","Lesser sand-eel",1,"Furness and Tasker 2000 Table 2",NA,NA,NA,NA,0.725,0.725,"unknown"
"Razorbill Europe","Razorbill","Europe","Sandeel spp.",1,"Anker-Nilssen 2010 Figure 3",NA,NA,0.5157,NA,NA,0.5157,"occurence"
"Whiting Europe","Whiting","Europe","European sprat",4,"Daan 1989 Table 8C1, Daan 1989 Table 8C2, Daan 1989 Table 8C3, Daan 1989 Table 8C4",0.125875,NA,NA,NA,NA,0.125875,"weight"
"Whiting Europe","Whiting","Europe","Norway pout",4,"Daan 1989 Table 8C1, Daan 1989 Table 8C2, Daan 1989 Table 8C3, Daan 1989 Table 8C4",0.17475,NA,NA,NA,NA,0.17475,"weight"
"Whiting Europe","Whiting","Europe","Sandeel spp.",4,"Daan 1989 Table 8C1, Daan 1989 Table 8C2, Daan 1989 Table 8C3, Daan 1989 Table 8C4",0.207025,NA,NA,NA,NA,0.207025,"weight"
