"diet_id","region","area","location","pred_comm","pred_species","pred_stage","stage_units","season","reference","year","prey_comm","prey_species","prey_size_mm","prey_age_yr","diet_prop","diet_prop_units","comment"
"European hake Europe","Europe",NA,NA,"European hake","Merluccius merluccius",NA,NA,NA,"Du Buit 1996 Figure 4","1983-1985","European sprat","Sprattus sprattus","90-160",NA,NA,NA,NA
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jan-Mar","Daan 1989 Table 8C1","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.0717,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jan-Mar","Daan 1989 Table 8C1","1981","European sprat","Sprattus sprattus",NA,NA,0.1654,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jan-Mar","Daan 1989 Table 8C1","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.2104,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Apr-Jun","Daan 1989 Table 8C2","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.4676,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Apr-Jun","Daan 1989 Table 8C2","1981","European sprat","Sprattus sprattus",NA,NA,0.0316,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Apr-Jun","Daan 1989 Table 8C2","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.1576,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jul-Sep","Daan 1989 Table 8C3","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.1467,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jul-Sep","Daan 1989 Table 8C3","1981","European sprat","Sprattus sprattus",NA,NA,0.2112,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Jul-Sep","Daan 1989 Table 8C3","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.0767,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Oct-Dec","Daan 1989 Table 8C4","1981","Sandeel spp.","Ammodytidae spp.",NA,NA,0.1421,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Oct-Dec","Daan 1989 Table 8C4","1981","European sprat","Sprattus sprattus",NA,NA,0.0953,"by weight","percents are averaged across age classes of the predator"
"Whiting Europe","Europe",NA,NA,"Whiting","Merlangius merlangus",NA,NA,"Oct-Dec","Daan 1989 Table 8C4","1981","Norway pout","Trisopterus esmarkii",NA,NA,0.2543,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus","3-7 yr","yr","Jan-Mar","Daan 1989 Table 8D1","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.122,"by weight",NA
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Apr-Jun","Daan 1989 Table 8D2","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.4863,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Apr-Jun","Daan 1989 Table 8D2","1980-1983","European sprat","Sprattus sprattus",NA,NA,0.0167,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Apr-Jun","Daan 1989 Table 8D2","1980-1983","Norway pout","Trisopterus esmarkii",NA,NA,7e-04,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Jul-Sep","Daan 1989 Table 8D3","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.1383,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Jul-Sep","Daan 1989 Table 8D3","1980-1983","European sprat","Sprattus sprattus",NA,NA,0.0457,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Jul-Sep","Daan 1989 Table 8D3","1980-1983","Norway pout","Trisopterus esmarkii",NA,NA,0.0537,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Oct-Dec","Daan 1989 Table 8D4","1980-1983","Sandeel spp.","Ammodytidae spp.",NA,NA,0.013,"by weight","percents are averaged across age classes of the predator"
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus","3-7 yr","yr","Oct-Dec","Daan 1989 Table 8D4","1980-1983","European sprat","Sprattus sprattus",NA,NA,0.017,"by weight",NA
"Atlantic mackerel Europe","Europe",NA,NA,"Atlantic mackerel","Scomber scombrus",NA,NA,"Oct-Dec","Daan 1989 Table 8D4","1980-1983","Norway pout","Trisopterus esmarkii",NA,NA,0.1347,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Oct-Mar","Daan 1989 Table 8E","1980-1982","Sandeel spp.","Ammodytidae spp.",NA,NA,0.2404,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Oct-Mar","Daan 1989 Table 8E","1980-1982","European sprat","Sprattus sprattus",NA,NA,0.0392,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Oct-Mar","Daan 1989 Table 8E","1980-1982","Norway pout","Trisopterus esmarkii",NA,NA,0.479,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Apr-Sep","Daan 1989 Table 8E","1980-1982","Sandeel spp.","Ammodytidae spp.",NA,NA,0.2722,"by weight","percents are averaged across age classes of the predator"
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens","300 mm","mm","Apr-Sep","Daan 1989 Table 8E","1980-1982","European sprat","Sprattus sprattus",NA,NA,0.003,"by weight",NA
"Pollock Europe","Europe",NA,NA,"Pollock","Pollachius virens",NA,NA,"Apr-Sep","Daan 1989 Table 8E","1980-1982","Norway pout","Trisopterus esmarkii",NA,NA,0.2131,"by weight","percents are averaged across age classes of the predator"
"Black-legged kittiwake Europe","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","adult","age class","Feb-Apr","Coulston and Thomas 1985 Table 4","1968-1973","Sandeel spp.","Ammodytidae spp.",NA,NA,0.13,"by weight",NA
"Black-legged kittiwake Europe","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","chick","age class","Jun-Jul","Coulston and Thomas 1985 Table 4","1968-1973","Sandeel spp.","Ammodytidae spp.",NA,NA,0.66,"by weight",NA
"Black-legged kittiwake Europe","Europe","England","Farne Islands","Black-legged kittiwake","Rissa tridactyla",NA,NA,"Jun-Jul","Pearson 1968 in Coulston and Thomas 1985","1961-1963","Sandeel spp.","Ammodytidae spp.",NA,NA,0.56,"by weight",NA
