"stocklong","region","area","location","pred_comm","pred_species","reference","year","n","n_units","notes"
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1978,2000,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1979,4450,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1980,4200,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1981,1900,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1982,1259,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1983,1150,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1984,274,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1986,643,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1987,300,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1988,300,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1989,300,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1990,115,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1991,1010,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1992,1500,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1993,1500,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1994,1000,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1995,1000,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1996,505,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1997,1000,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1998,750,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",1999,750,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2000,952,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2001,800,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2002,400,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2003,50,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2004,0,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2005,107,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2006,79,"occupied territory",NA
"Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","Arctic tern","Sterna paradisaea","JNCC Data",2007,95,"occupied territory",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1983,79680,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1984,68920,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1985,60560,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1986,53640,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1987,44240,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1988,43160,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1989,45760,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1990,55040,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1991,50120,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1992,52360,"number of occupied burrows",NA
