"stocklong","region","area","location","pred_comm","pred_species","reference","year","n","n_units","notes"
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1980,24079.082,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1981,20363.6,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1982,19341.646,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1983,16728.152,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1984,15787.824,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1988,17250.445,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1989,17575.225,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1990,19042.932,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1991,17000.678,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1992,16754.025,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1993,19772.588,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1994,18383.328,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1995,15035.154,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1996,14951.813,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1997,15072.66,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1998,13928.208,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1999,16497.775,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",2000,15639.134,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",2001,14086.625,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",2002,12942.363,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",2003,12654.963,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",2004,11347.198,"nests, occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",2005,12284.413,"nests, occupied",NA
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1976,96.58703544,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1977,97.59782666,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1978,100,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1979,99.79596594,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1980,99.93801827,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1981,107.3788661,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1982,107.0003759,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1983,103.4951452,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1984,98.25313385,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1985,84.67054496,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1986,78.03784864,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1987,76.7913307,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1988,72.7641437,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1989,65.26271406,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1990,49.94194557,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1991,63.29021135,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1992,77.8540042,"index relative to 1978","mean colony index over all colonies"
"Common guillemot All Shetland Islands colonies (index relative to 1978)","Europe","Shetland Islands","All Shetland Islands colonies","Common guillemot","Uria aalge","Dunnet and Heubeck 1995 Figure 8",1993,76.43232836,"index relative to 1978","mean colony index over all colonies"
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1986,13571.429,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1987,11596.639,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1988,11134.454,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1989,12647.059,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1990,12605.042,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1991,11302.521,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1992,11428.571,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1993,12352.941,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1994,13781.513,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1995,15294.117,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1996,14453.781,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1997,17100.84,"population size",NA
"Common guillemot Isle of May (population size)","Europe","Scotland","Isle of May","Common guillemot","Uria aalge","Rindorf et al 2000 Figure 5",1998,17352.941,"population size",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1978,43,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1979,41,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1980,31,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1981,27,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1982,27,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1983,25,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1984,25,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1985,26,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1986,28,"nests, max number",NA
"European shag Burravoe (nests, max number)","Europe","Shetland Islands","Burravoe","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1987,23,"nests, max number",NA
"European shag Isle of May (number of breeding pairs)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Wanless et al 1993 pdf p 10",1987,1700,"number of breeding pairs",NA
"European shag Isle of May (number of breeding pairs)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Wanless et al 1993 pdf p 10",1988,1700,"number of breeding pairs",NA
"European shag Isle of May (number of breeding pairs)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Wanless et al 1993 pdf p 10",1989,1700,"number of breeding pairs",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1986,1292.181,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1987,1893.0042,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1988,1267.4897,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1989,1695.4733,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1990,1374.4856,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1991,1481.4814,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1992,1613.1687,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1993,707.8189,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1994,395.06174,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1995,502.05762,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1996,518.5185,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1997,502.05762,"population size",NA
"European shag Isle of May (population size)","Europe","Scotland","Isle of May","European shag","Phalacrocorax aristotelis","Rindorf et al 2000 Figure 5",1998,617.28394,"population size",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1978,313,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1979,300,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1980,340,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1981,312,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1982,288,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1983,277,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1984,271,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1985,290,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1986,255,"nests, max number",NA
"European shag Sumburgh (nests, max number)","Europe","Shetland Islands","Sumburgh","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1987,277,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1977,12,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1978,13,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1979,10,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1980,10,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1981,12,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1982,14,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1983,14,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1984,15,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1985,13,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1986,10,"nests, max number",NA
"European shag Troswick (nests, max number)","Europe","Shetland Islands","Troswick","European shag","Phalacrocorax aristotelis","Dunnet and Heubeck 1995 Table 4",1987,12,"nests, max number",NA
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1953,13821666.67,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1954,21275000,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1955,20806666.67,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1956,17780833.33,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1957,9131666.667,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1958,6332500,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1959,11223333.33,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1960,10960833.33,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1961,13506666.67,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1962,13043333.33,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1963,10850000,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1964,13270833.33,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1965,3858333.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1966,2273333.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1967,2815833.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1968,2983333.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1969,1906666.667,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1970,2085833.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1971,3015833.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1972,1084166.667,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1973,703333.3333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1974,755833.3333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1975,1033333.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1976,887500,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1977,1134166.667,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1978,1109166.667,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1979,1765833.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1980,2083333.333,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1981,2776666.667,"number of adults","average of monthly counts"
"Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Guanay cormorant","Phalacrocorax bougainvillii","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3",1982,3135833.333,"number of adults","average of monthly counts"
"Guanay cormorant Grupo Pescadores (number of breeders)","Humboldt","Peru","Grupo Pescadores","Guanay cormorant","Phalacrocorax bougainvillii","Table A.5.1 in Boyd 2012 ",2008,190000,"number of breeders",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1953,13821666.67,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1954,21275000,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1955,20806666.67,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1956,17780833.33,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1957,9131666.667,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1958,7e+06,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1959,11223333.33,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1960,10960833.33,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1961,13506666.67,"number of adults",NA
"Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","Guanay cormorant","Phalacrocorax bougainvillii","IMARPE.Renato",1962,13043333.33,"number of adults",NA
