year,catch_usa_comm_mt,catch_usa_rec_mt,catch_usa_discards_mt,catch_usa_tot_mt,catch_can_mt,catch_foreign_mt,catch_tot_mt,b_jan_mt,ssb_mt,b_exp_mt,f
1960,1396,,,1396,5957,0,7353,,,,
1961,1361,,,1361,5459,11,6831,,,,
1962,938,,,938,6865,175,7978,,,,
1963,1320,,,1320,6473,1299,9092,,,,
1964,1644,,,1644,10960,801,13405,,,,
1965,1998,,,1998,11590,2945,16533,,,,
1966,2724,,,2724,12821,7951,23496,,,,
1967,3891,,,3891,11243,19047,34181,,,,
1968,3929,,,3929,26097,65747,95773,1330598,621759,599392,0.186
1969,4364,,,4364,21247,114189,139800,1490085,854505,949934,0.171
1970,4049,,,4049,19613,210864,234526,1606842,967918,1155152,0.244
1971,2406,,,2406,24280,355892,382578,1531212,1042578,1293566,0.371
1972,2006,,,2006,26183,391464,419653,1521799,1134034,1435015,0.378
1973,1336,,,1336,34513,396759,432608,1301412,814768,1111667,0.526
1974,1042,,,1042,42300,321837,365179,978359,620472,846915,0.571
1975,1974,,,1974,24773,271719,298466,760288,509803,601148,0.630
1976,2712,,,2712,25425,223275,251412,530772,377976,456040,0.739
1977,1377,,,1377,22511,56067,79955,365995,359134,372910,0.259
1978,1605,,,1605,25432,841,27878,363602,379297,379817,0.084
1979,1990,,,1990,30245,440,32675,399577,352118,383747,0.099
1980,2683,,,2683,22136,566,25385,369037,346861,358019,0.081
1981,2941,3210,,6151,19296,5361,30808,341985,300168,325027,0.109
1982,3330,1191,,4521,16378,6647,27546,366914,305313,310570,0.101
1983,3805,3002,,6807,19792,5955,32554,506171,360459,333740,0.114
1984,5954,2319,,8273,17331,15045,40649,516880,393831,409916,0.117
1985,6632,2713,,9345,29862,32409,71616,566401,583088,563437,0.150
1986,9637,4223,,13860,28469,26507,68837,581679,525549,534490,0.155
1987,12310,4032,,16342,27492,36564,80398,481482,411664,451024,0.227
1988,12309,3265,,15574,24051,42858,82483,402102,338213,394780,0.276
1989,14556,1787,160,16503,20854,36823,74180,393556,326577,335816,0.290
1990,31261,1867,827,33955,21790,30678,86423,316956,258213,276268,0.425
1991,26961,2566,1098,30625,25899,15714,72238,289298,245469,265101,0.348
1992,11761,365,2072,14198,26382,0,40580,242694,177878,186729,0.273
1993,4662,652,3902,9216,26712,0,35928,194746,158500,168772,0.267
1994,8917,1815,5409,16141,20830,0,36971,163047,122523,140980,0.336
1995,8468,1587,54,10109,18309,0,28418,157003,113974,121685,0.290
1996,15728,1517,2053,19297,21025,0,40322,151923,104193,118234,0.466
1997,15403,1982,229,17614,21306,0,38920,153541,100988,109277,0.498
1998,14525,814,98,15436,18940,0,34376,129393,97210,98455,0.481
1999,12031,1501,771,14303,17695,0,31998,122726,82218,91505,0.493
2000,5649,1680,153,7482,17856,0,25338,305472,181497,110751,0.282
2001,12340,1832,718,14890,24474,0,39364,303849,268593,186865,0.255
2002,26530,1430,155,28115,34847,0,62962,283480,255991,244107,0.322
2003,34298,837,264,35399,44912,0,80311,286614,226488,240812,0.445
2004,54990,516,2141,57647,53730,0,111377,300142,172130,206778,0.771
2005,42209,1029,1083,44321,55282,0,99603,231655,149476,183060,0.725
2006,56640,1690,135,58465,53960,0,112425,224272,129322,157851,1.047
2007,25546,633,159,26339,53394,0,79733,157846,103390,118570,1.016
2008,21734,857,747,23338,29671,0,53008,112584,66969,81692,0.926
2009,22635,684,125,23443,42232,0,65676,100048,43732,66599,1.616
2010,9877,938,97,10912,38736,0,49648,56766,24001,43776,2.086
2011,533,1042,38,1613,11534,0,13147,32710,16899,19592,1.059
2012,5333,767,33,6133,6468,0,12601,28855,16837,16971,1.211
2013,4372,951,20,5343,9017,0,14360,32850,18849,20529,1.120
2014,5905,1142,52,7099,6872,0,13971,38105,17007,19157,1.014
2015,5616,1384,13,7013,4937,0,11950,51906,24328,21747,0.746
2016,5687,1611,18,7316,8000,0,15316,101687,43519,40998,0.468
