sort_cmf,sort_orig,ecoregion,country,island group,location,pred_common,pred_scientific,predator stage,stage units,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1971,,20018,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1972,,21917,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1973,,14253,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1974,,23697,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1975,,15022,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1976,,14248,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1977,,21613,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1978,,6760,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1979,,18759,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1980,,15490,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1981,,17984,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1982,,14299,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1983,,4199,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1984,,4435,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1985,,8236,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1986,,6333,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1987,,8352,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1988,,5023,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1989,,11022,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1990,,6446,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1991,,10128,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1992,,2998,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1993,,4601,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1994,,11728,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1995,,10598,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1996,,8042,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1997,,7446,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1998,,5128,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,1999,,6315,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2000,,5898,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2001,,6609,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2002,,9400,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2003,,11181,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2004,,16704,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2005,,11653,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2006,,15572,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2007,,20561,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2008,,4817,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2009,,1311,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2010,,5052,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2011,,4872,Breeding Adults,,,,,,,
,,CA Current,CA,South Farallon Island,,Brandt Cormorant,,,,,,Elliot et al 2015,2012,,3505,Breeding Adults,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1979,,10947,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1980,,8575,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1986,,3537,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1987,,4618,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1988,,6407,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1989,,8455,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1990,,5097,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1993,,5688,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1994,,6816,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1995,,6589,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1997,,6789,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1998,,3526,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,1999,,5509,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2000,,5682,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2001,,6522,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2002,,9976,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2003,,9447,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2004,,12357,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2005,,10959,Total Nests,,,,,,,
,,CA Current,CA,Gulf of the Farallones,,Brandt Cormorant,,,,,,Capitolo et al 2014,2006,,17438,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1971,,663,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1972,,531,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1973,,616,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1974,,1305,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1975,,633,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1976,,933,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1977,,348,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1978,,466,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1979,,2202,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1980,,2977,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1981,,3732,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1982,,2757,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1983,,2733,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1984,,1500,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1985,,6964,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1986,,7977,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1987,,7900,Total Nests,,,,,,,
